village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Patai,0,1,16,0,16,1,2,15,0,11,6,1,7,9,0,0,17,10,7,7,10,16,1,11,6,14,3
Mehgawan,0,1,42,0,33,2,10,25,0,29,14,4,24,7,1,0,42,31,12,18,17,30,5,33,6,40,3
Bhuwara,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Kuchwada,0,0,3,0,3,0,2,1,0,3,0,0,1,2,0,0,3,2,1,1,2,3,0,3,0,3,0
Sahajpuri,0,0,6,0,6,0,3,3,0,0,6,0,4,2,0,0,6,5,1,3,3,6,0,6,0,6,0
Bijanhai,0,3,22,0,25,0,4,20,1,21,4,4,8,13,0,1,24,16,9,6,19,22,3,16,9,25,0
Tikhawan,0,0,52,1,50,0,4,47,1,47,5,1,16,35,0,0,52,29,23,10,42,47,5,26,26,41,11
Deori,0,0,33,3,27,0,4,26,0,31,2,3,12,15,0,0,33,19,14,1,29,26,4,19,11,30,1
Bamhori Basoda,0,8,85,3,82,1,30,56,0,55,38,17,52,17,0,0,93,64,29,40,46,73,13,72,17,89,4
Sultanganj,0,0,13,0,13,0,4,9,0,8,5,1,6,6,0,0,13,8,5,2,11,12,1,6,7,11,2
Chikali,0,1,25,0,25,1,2,24,0,23,3,2,11,13,0,0,26,18,8,7,19,23,3,14,12,26,0
Chhikra,0,0,5,0,4,1,2,3,0,2,3,1,3,1,0,0,5,5,0,2,3,5,0,2,3,5,0
Kakrua,0,2,19,0,15,2,9,8,0,14,7,3,14,0,0,0,21,12,9,7,10,12,5,14,3,20,0
Bamhori Bhuwari,0,0,41,0,37,0,2,35,0,39,2,1,21,15,0,0,41,15,26,12,25,36,1,19,19,31,9
Uradmau,0,2,24,0,26,0,1,24,1,25,1,1,12,13,0,0,26,14,12,2,24,21,1,18,8,21,5
Berkhedi,0,0,41,0,40,1,1,40,0,38,3,1,16,24,0,0,41,16,25,15,26,39,1,27,14,35,6
Sihora Dungriya,0,0,2,0,2,0,1,1,0,1,1,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0
Kiragi Khurd,0,2,42,0,32,0,7,27,0,39,5,1,17,16,0,0,44,26,18,12,22,34,0,23,12,35,8
Rahali,0,1,31,0,22,0,0,22,0,30,2,6,12,4,0,0,32,23,9,2,20,22,0,10,12,26,4
Dholpur,0,0,14,0,14,0,2,12,0,12,2,1,9,3,0,0,14,11,3,5,9,9,3,14,0,14,0
Chirchita,0,0,4,0,3,1,2,2,0,1,3,0,4,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Chouras,0,3,56,3,46,1,17,33,0,45,14,6,27,17,0,0,59,39,20,24,26,46,4,42,8,53,2
Noornagar,0,1,66,3,63,0,13,52,0,59,8,1,23,41,0,1,67,29,38,10,55,58,8,39,28,61,7
Noniya Bareli,0,5,49,1,50,3,5,49,0,49,5,3,25,26,0,0,54,25,29,14,40,46,8,37,17,41,13
Nayagaon,0,0,89,2,77,4,31,52,0,65,24,5,42,36,0,0,89,56,33,37,46,66,17,65,19,78,11
Khursuroo,0,0,22,0,15,0,1,12,1,20,2,4,8,2,0,0,22,17,5,3,11,11,3,13,4,17,4
Chilli,0,2,6,0,7,1,2,6,0,7,1,2,4,2,0,0,8,4,4,3,5,6,2,3,5,7,1
Simariya,0,0,18,1,17,0,2,15,1,18,0,0,8,10,0,0,18,13,5,1,17,14,4,6,12,18,0
Dholshri,0,0,21,1,13,0,3,10,0,18,3,0,6,7,0,0,21,9,12,5,8,11,2,11,4,18,1
Bilgawan,0,0,10,0,10,0,3,7,0,7,3,0,6,4,0,0,10,9,1,6,4,10,0,8,2,10,0
