village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jawara,0,0,25,0,23,2,25,0,0,2,23,0,2,23,0,0,25,1,,0,25,5,20,25,0,3,22,23,2
Kamnapur,0,1,32,0,28,5,33,0,0,3,30,0,1,32,0,0,33,0,,0,33,7,26,33,0,11,22,33,0
Hartala,0,6,54,1,27,32,59,1,0,3,57,1,3,56,1,0,59,0,,0,60,21,39,59,1,9,51,60,0
Dhamori,0,0,54,0,1,53,54,0,0,2,52,0,2,52,6,0,48,0,,2,52,1,52,52,0,21,33,49,5
Dadhi,0,0,62,4,32,26,58,2,2,0,62,0,3,59,0,0,62,0,,2,60,10,52,62,0,27,35,59,3
Saur,2,1,55,0,23,35,57,1,0,0,58,0,8,50,0,0,58,0,,56,2,32,26,58,0,3,55,56,2
Asara bhag 1,0,0,60,0,14,46,59,1,0,0,60,2,11,47,1,0,59,1,,1,59,36,24,60,0,30,30,38,22
Ganori,0,0,39,0,6,33,37,1,1,0,39,0,2,37,0,0,39,0,,0,39,26,13,39,0,5,34,38,1
Nindodi,0,0,6,0,0,6,6,0,0,0,6,0,0,6,1,0,5,0,,0,6,1,5,6,0,2,4,5,1
Bhatkuli bhag 1,0,0,59,0,6,53,59,0,0,1,58,0,0,59,0,0,59,0,,59,0,36,23,59,0,20,39,47,12
Pohara,0,0,30,0,0,30,22,8,0,30,0,0,0,30,1,0,29,0,,30,0,0,30,30,0,30,0,30,0
Purnanagar,0,0,25,0,1,24,10,15,0,25,0,4,0,21,1,0,24,0,,17,8,0,25,25,0,24,1,25,0
Virshi,0,0,60,3,27,30,59,0,1,3,57,0,4,56,0,0,60,0,,60,0,34,26,60,0,29,31,49,11
Khalkhoni,0,0,40,2,7,31,35,2,3,0,40,0,3,37,2,0,38,0,,33,7,38,2,40,0,23,17,40,0
Dhangarkheda,0,0,45,0,16,29,45,0,0,0,45,0,4,41,0,0,45,0,,43,2,34,11,45,0,20,25,45,0
Bhalsi,0,0,23,0,14,9,23,0,0,0,23,0,0,23,0,0,23,0,,23,0,13,10,23,0,8,15,23,0
Ashti,0,0,37,0,1,36,6,31,0,11,26,0,7,30,0,0,37,0,,34,3,14,23,37,0,13,24,37,0
Dastarapur,0,0,18,0,4,14,18,0,0,2,16,0,0,18,0,0,18,0,,17,1,5,13,18,0,0,18,18,0
Mhaispur,0,0,40,1,31,8,40,0,0,32,8,0,27,13,0,0,40,15,,0,40,8,32,40,0,8,32,38,2
Takarkheda Shambhu,0,1,79,4,40,36,78,0,2,5,75,2,12,66,0,1,79,1,,41,39,35,45,80,0,18,62,78,2
Tuljapur,0,0,13,1,8,4,13,0,0,13,0,1,1,11,0,0,13,0,,0,13,0,13,13,0,2,10,13,0
Sawarkheda,0,0,22,5,11,6,21,0,1,22,0,0,8,14,0,0,22,0,,0,22,17,5,22,0,5,12,22,0
