village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Limba,0,19,15,0,29,5,34,0,0,34,0,2,24,8,14,0,20,0,,0,34,1,33,31,3,34,0,34,0
Kamleshwar Dhanora,0,19,2,10,10,1,19,2,0,21,0,0,11,10,1,0,20,0,,2,19,0,21,19,2,21,0,17,4
Jamb,0,38,1,5,33,1,37,2,0,39,0,0,18,21,3,0,36,0,,3,36,1,38,39,0,39,0,34,5
Raimoha,0,28,32,8,52,0,44,16,0,60,0,51,9,0,5,0,55,0,,0,60,5,55,57,2,60,0,41,19
Khokermoha,0,31,50,23,58,0,52,29,0,81,0,37,20,24,15,0,66,0,,0,81,7,74,76,5,80,1,37,44
Bawi,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,0,1,1,0,1,0,1,0
Matori,0,41,8,3,43,3,24,25,0,49,0,9,31,9,10,0,38,0,,0,49,7,42,48,0,49,0,26,23
Shripatwadi,0,38,26,14,50,0,2,61,1,64,0,10,49,5,8,0,56,0,,0,64,0,64,53,5,64,0,5,59
Mangewadi,0,1,59,10,50,0,12,48,0,60,0,5,42,13,2,2,56,0,,0,60,0,60,59,1,60,0,54,6
Pangri,0,5,59,7,57,0,56,8,0,63,0,15,20,29,20,0,44,0,,13,51,10,54,63,1,64,0,45,19
