village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhortek Bk,0,0,60,0,58,2,53,7,0,30,30,0,14,46,27,0,33,0,60,17,43,60,0,47,13,59,1
Warkhed,0,0,60,0,58,2,56,4,0,23,37,21,20,19,0,0,60,0,60,13,47,60,0,60,0,60,0
Wadajee,0,0,60,0,60,0,47,13,0,0,60,6,49,5,0,0,60,19,41,18,42,60,0,56,4,60,0
Pasardi,0,0,15,0,15,0,8,7,0,8,7,0,5,10,1,0,14,0,15,2,13,15,0,11,4,15,0
Malgaon,0,0,64,0,64,0,52,12,0,29,35,0,32,32,0,0,64,0,64,27,37,64,0,50,14,64,0
Kajgaon,0,0,45,1,43,1,37,8,0,13,32,0,32,13,31,0,14,0,45,13,32,45,0,35,10,33,12
Juwardi,0,0,60,0,60,0,51,9,0,1,59,0,29,31,0,0,60,0,60,24,36,60,0,53,7,60,0
Girad,0,0,60,0,60,0,47,13,0,0,60,0,19,41,0,0,60,0,60,21,39,60,0,57,3,60,0
Anjan Vihire,0,0,60,0,58,2,57,3,0,30,30,11,21,28,3,0,57,0,60,16,44,60,0,60,0,60,0
Wade,0,0,60,0,60,0,45,15,0,0,60,0,27,33,0,0,60,19,41,20,40,60,0,59,1,60,0
Lon Pr. Bhadgaon,0,0,56,0,56,0,43,13,0,0,56,5,16,35,0,0,56,0,56,12,44,56,0,56,0,56,0
