village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhagwanpur,0,0,25,12,8,5,21,3,1,1,24,0,0,25,0,0,25,0,,5,20,20,5,24,0,21,4,18,7
Indapur,0,0,26,5,12,9,6,4,16,0,26,1,16,9,0,0,26,0,,2,24,16,10,26,0,7,19,18,8
Alesur,0,1,43,5,30,9,35,6,3,12,32,0,10,34,0,0,44,0,,5,39,23,21,42,0,25,19,19,25
Lonara,0,0,45,6,30,9,28,15,2,3,42,0,3,42,0,0,45,0,,6,39,34,11,45,0,32,13,43,2
Ukhali,0,13,73,38,40,8,83,1,2,0,86,0,0,86,0,0,86,0,,12,74,47,39,86,0,65,21,79,7
Panjarepar,0,0,29,11,10,8,18,11,0,0,29,1,0,28,0,0,29,0,,5,24,24,5,29,0,29,0,15,14
Wani,0,0,71,0,54,17,64,4,3,3,68,0,2,69,0,0,71,0,,7,64,65,6,71,0,37,34,66,5
Chorvihira,0,2,24,4,15,7,20,3,3,0,26,2,0,24,0,0,26,0,,9,17,21,5,26,0,9,17,19,7
SHIVANFAL,0,1,24,9,8,8,9,16,0,0,25,0,0,25,0,0,25,0,,0,25,19,6,25,0,6,19,16,9
Murharpur,0,0,25,9,12,4,4,8,13,0,25,0,0,25,0,0,25,0,,3,22,20,5,23,0,0,25,15,10
Tatoli,0,5,22,0,17,10,7,18,2,0,27,0,0,27,0,0,27,0,,21,6,20,7,27,0,26,1,27,0
Wasi,0,0,10,0,9,1,3,6,1,0,10,0,0,10,0,0,10,0,,4,6,5,5,10,0,7,3,10,0
Kolari,0,6,51,0,34,23,22,32,3,0,57,0,3,54,0,0,57,0,,28,29,39,18,57,0,43,14,57,0
Rohana,0,0,25,0,13,12,9,16,0,0,25,0,0,25,0,0,25,0,,18,7,14,11,25,0,25,0,25,0
Chikhali,0,2,17,0,12,7,2,15,2,0,19,0,0,19,0,0,19,0,,12,7,10,9,19,0,19,0,19,0
Somanala,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Dhaparla,0,1,9,0,6,4,5,5,0,0,10,0,0,10,0,0,10,0,,1,9,5,5,10,0,6,4,10,0
Gondbori,0,9,46,39,16,0,46,9,0,0,55,0,0,55,0,0,55,0,,0,55,22,33,55,0,52,3,55,0
Sukali,0,6,8,10,4,0,14,0,0,0,14,0,0,14,0,0,14,0,,0,14,8,6,14,0,14,0,14,0
Kholdoda,0,0,49,2,33,14,47,2,0,4,45,0,6,43,0,0,49,0,,5,44,38,11,49,0,48,1,49,0
Kharkada,0,0,40,0,36,4,40,0,0,0,40,0,0,40,0,0,39,0,,0,40,40,0,40,0,33,7,40,0
Zilbodi,0,0,17,0,13,4,17,0,0,0,17,0,0,17,0,0,17,0,,1,16,4,13,17,0,10,7,17,0
Adyal(punarvasit),0,0,20,0,16,4,20,0,0,0,20,0,0,20,0,0,20,0,,0,20,18,2,20,0,14,6,20,0
Hattibodi,0,0,10,0,9,1,10,0,0,0,10,0,0,10,0,0,10,0,,8,2,0,10,10,0,8,2,10,0
Somanala (Pullar),0,3,71,0,64,10,66,6,2,0,74,0,0,74,0,0,74,0,,22,52,26,48,74,0,72,2,74,0
Jamgaon Rithi,0,0,11,0,7,4,11,0,0,2,9,0,2,9,0,0,11,0,,0,11,6,5,11,0,11,0,11,0
Manora,0,0,3,0,1,2,3,0,0,0,3,0,0,3,0,0,3,0,,1,2,3,0,3,0,1,2,3,0
Pandharwani,0,0,17,1,15,1,17,0,0,0,17,0,0,17,0,0,17,0,,2,15,4,13,16,1,11,6,17,0
Dhamangaon (Gawali),0,0,12,0,10,2,12,0,0,0,12,0,0,12,0,0,12,0,,5,7,5,7,12,0,8,4,12,0
Pandharwani,0,0,17,1,15,1,17,0,0,0,17,0,0,17,0,0,17,0,,2,15,4,13,16,1,11,6,17,0
Dhamangaon (Gawali),0,0,12,0,10,2,12,0,0,0,12,0,0,12,0,0,12,0,,5,7,5,7,12,0,8,4,12,0
Adyal,0,0,17,0,14,3,17,0,0,0,17,0,0,17,0,0,17,0,,0,17,15,2,17,0,12,5,17,0
