village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rawangaon (tamasa),0,0,60,13,32,15,59,0,1,0,60,1,28,31,0,1,59,0,,57,3,56,4,60,0,38,22,60,0
Nimtok,0,0,61,8,35,18,60,0,1,0,61,0,32,29,0,0,60,0,,37,24,54,7,61,0,49,12,61,0
Kharbi,0,0,60,13,29,18,60,0,0,0,60,0,27,33,0,0,60,0,,56,4,54,6,60,0,46,14,60,0
Karla (M),0,0,57,4,42,11,56,0,1,2,55,0,25,31,0,0,57,0,,50,7,48,9,57,0,46,11,57,0
Dorli,0,0,59,8,27,24,58,0,1,1,58,16,18,25,1,0,58,0,,46,13,57,2,59,0,57,2,59,0
Navha,0,0,61,6,31,24,61,0,0,1,60,0,28,33,0,0,61,1,,48,13,53,8,61,0,43,18,61,0
Belmandal,0,0,60,11,36,13,60,0,0,1,59,2,31,27,0,0,60,0,,45,15,58,2,60,0,45,15,60,0
Walki Bk,0,0,59,11,35,13,58,0,1,10,49,0,29,30,1,0,58,1,,48,11,53,6,59,0,41,18,59,0
Ada,0,0,4,1,2,1,4,0,0,0,4,0,2,2,0,0,4,0,,4,0,4,0,4,0,3,1,4,0
Shivani,0,0,59,14,32,13,58,0,1,15,44,0,28,31,0,1,58,0,,22,37,55,4,59,0,56,3,59,0
Loha,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
