village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Vathode,0,0,25,0,25,0,0,25,0,4,21,0,24,1,0,0,25,0,,6,19,6,19,25,0,8,17,25,0
Tilwan,0,0,25,0,25,0,25,0,0,9,16,0,1,24,0,0,25,0,,1,24,9,16,25,0,2,23,25,0
Pathave Digar,0,0,25,4,21,0,25,0,0,7,18,0,11,14,0,0,25,0,,25,0,5,20,25,0,15,10,25,0
Nandin,0,0,25,2,23,0,1,24,0,4,21,0,20,5,1,0,24,0,,7,18,1,24,25,0,10,15,25,0
Manur,0,0,100,0,100,0,11,89,0,30,70,0,0,100,0,0,100,0,,36,64,4,96,100,0,52,48,100,0
Dodheshwar,0,0,25,3,22,0,21,4,0,4,21,20,5,0,0,0,25,0,,6,19,16,9,25,0,8,17,25,0
Dahindule,0,0,100,1,99,0,27,73,0,6,94,0,72,28,0,0,100,0,,75,25,66,34,100,0,34,66,100,0
Bordaiwat,0,13,51,2,62,0,16,48,0,28,36,5,41,18,0,0,64,0,,38,26,40,24,64,0,35,29,54,10
Bhimkhet,0,5,13,1,17,0,7,11,0,11,7,6,6,6,0,0,18,0,,8,10,14,4,18,0,10,8,15,3
Bhildar,0,0,25,3,22,0,25,0,0,7,18,19,2,4,0,0,25,0,,25,0,10,15,25,0,16,9,25,0
Jamoti,0,0,3,0,3,0,2,1,0,0,3,0,2,1,0,0,3,0,,2,1,2,1,3,0,3,0,3,0
Golwad,0,0,149,2,139,8,59,89,1,39,110,14,89,46,1,1,147,1,,72,77,59,90,149,0,56,93,149,0
Dagadpada,0,20,52,1,70,1,25,45,2,51,21,0,54,18,0,1,71,0,,16,56,50,22,72,0,34,38,69,3
Sompur,0,22,36,9,43,6,58,0,0,3,55,2,7,49,2,0,56,0,,1,57,3,55,58,0,47,11,58,0
Aliyabad,0,16,23,0,39,0,18,18,3,39,0,0,31,8,0,0,39,0,,13,26,39,0,38,0,22,17,28,11
Parshuramnagar,0,4,5,0,9,0,2,6,1,9,0,1,6,2,0,0,9,0,,4,5,9,0,9,0,6,3,3,6
Babhulane,0,1,1,0,2,0,1,1,0,2,0,0,2,0,0,0,2,0,,1,1,2,0,2,0,1,1,0,2
Mailwade,0,8,18,0,26,0,8,15,3,26,0,0,22,4,0,0,26,0,,4,22,24,2,26,0,14,12,6,20
Jaitapur,0,1,11,0,12,0,3,8,1,12,0,0,8,4,0,0,12,0,,2,10,11,1,12,0,7,5,9,3
Ganeshnagar,0,2,10,0,12,0,3,7,2,12,0,0,7,5,0,0,12,0,,2,10,12,0,12,0,3,9,9,3
Moholangi,0,26,25,1,50,0,24,25,2,49,2,2,35,14,0,1,50,0,,23,28,50,1,51,0,10,41,46,5
Mahatma Phule Nagar,0,11,14,0,25,0,12,13,0,25,0,0,12,13,0,1,24,0,,4,21,22,3,25,0,9,16,17,8
Tungan Digar,0,17,36,2,51,0,18,31,4,52,1,2,39,12,0,1,51,0,,6,47,51,2,53,0,30,23,46,7
Salher,0,12,13,0,25,0,5,18,2,25,0,0,15,10,0,1,24,0,,0,25,25,0,25,0,4,21,11,14
Waghambe,0,0,6,0,6,0,3,3,0,6,0,0,4,2,0,0,6,0,,0,6,5,1,6,0,3,3,4,2
Kadyachamala,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
