village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Arwade,0,0,56,38,14,4,42,14,0,56,0,18,18,20,0,0,56,52,4,50,6,56,0,56,0,56,0
Anjani,0,0,51,10,38,3,46,5,0,5,46,10,21,20,6,0,45,12,39,46,5,51,0,50,1,51,0
Savarde,0,0,57,10,41,6,50,7,0,10,47,21,25,11,1,0,56,29,28,44,13,57,0,57,0,56,1
Borgaon,0,0,56,50,6,0,51,4,1,56,0,44,11,1,1,0,55,56,0,56,0,56,0,56,0,56,0
Chinchani,0,0,54,27,26,1,37,14,3,34,20,24,22,8,1,0,53,54,0,54,0,54,0,54,0,54,0
Chikhal Gothan,0,0,54,31,21,2,34,19,1,53,1,19,19,16,0,0,54,54,0,51,3,54,0,54,0,54,0
Jarandi,0,0,55,31,20,4,0,52,3,51,4,26,11,18,3,0,52,2,53,54,1,55,0,55,0,55,0
Punadi (Tasgaon),0,0,56,4,51,1,38,18,0,12,44,37,13,6,0,0,56,53,3,51,5,56,0,55,1,56,0
Gavhan,0,0,57,2,53,2,33,24,0,31,26,29,21,7,0,0,57,55,2,54,3,57,0,56,1,57,0
Waifale,0,0,57,7,47,3,34,23,0,48,9,18,26,13,0,0,57,57,0,51,6,57,0,57,0,57,0
