village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Delewadi,0,16,44,13,38,9,60,0,0,1,59,0,0,60,0,0,60,32,28,21,39,60,0,0,60,59,1
Dushere,0,20,40,17,36,7,49,11,0,1,59,0,0,60,0,0,60,8,52,44,16,60,0,0,60,54,6
Antvadi,0,32,53,11,41,33,72,13,0,2,83,0,8,77,0,0,85,16,69,41,44,85,0,0,85,83,2
Shirgaon,0,16,44,8,17,35,47,11,2,0,60,0,0,60,0,0,60,41,19,55,5,60,0,0,60,47,13
Shindewadi (Kolewadi),0,16,68,18,41,25,67,10,7,11,73,1,0,83,0,0,84,36,48,59,25,83,1,0,84,82,2
Vahagaon,0,19,41,25,29,6,48,10,2,1,59,0,1,59,0,0,60,56,4,42,18,60,0,0,60,59,1
Maharugadewadi,0,8,52,16,32,12,54,6,0,3,57,0,0,60,0,0,60,2,58,25,35,60,0,4,54,60,0
Koriwale,0,23,32,33,14,8,50,5,0,4,51,0,0,55,0,0,55,0,55,2,53,55,0,0,55,15,40
Vadoli Nileshwar,0,12,15,0,9,18,25,2,0,0,27,0,0,27,0,0,27,23,4,27,0,27,0,0,27,25,2
Vagheri,0,5,20,3,15,7,21,4,0,0,25,0,0,25,0,0,25,0,25,21,4,25,0,0,25,21,4
Shiravade,0,13,12,8,12,5,16,9,0,0,25,0,0,25,0,0,25,14,11,24,1,25,0,0,25,11,14
Munawale,0,7,53,29,24,7,59,1,0,7,53,0,0,60,0,0,60,0,60,29,31,60,0,0,60,54,6
Ving,0,16,41,6,34,17,53,4,0,0,57,1,4,52,0,0,57,30,27,55,2,57,0,0,57,51,6
Pachund,0,1,24,0,12,13,13,12,0,0,25,0,0,25,0,0,25,19,6,24,1,25,0,0,25,23,2
Maskarwadi,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
Parle,0,17,8,1,17,7,25,0,0,0,25,1,1,23,0,0,25,19,6,25,0,25,0,0,25,25,0
Shindewadi,0,9,30,0,30,9,39,0,0,0,39,0,10,29,0,0,39,10,29,37,2,39,0,0,39,35,4
Meravewadi,0,9,15,7,9,8,16,8,0,0,24,0,0,24,0,0,24,1,23,24,0,24,0,0,24,22,2
OndoshI,0,9,51,28,21,11,57,3,0,4,56,2,0,58,0,0,60,27,33,24,36,60,0,0,60,58,2
Navin kavathe,0,7,23,0,22,8,22,8,0,0,30,0,0,30,0,0,30,8,22,24,6,30,0,0,30,29,1
Kharade,0,4,16,0,9,11,12,8,0,0,20,0,0,20,0,0,20,5,15,15,5,20,0,0,20,20,0
Vadoli bhikeshwar,0,6,14,5,15,0,18,2,0,0,20,0,0,20,0,0,20,11,9,19,1,20,0,0,20,20,0
June Kavathe,0,9,21,1,24,5,26,4,0,0,30,0,0,30,0,0,30,21,9,24,6,30,0,0,30,30,0
Kolewadi,0,1,25,0,19,7,18,8,0,0,26,0,0,26,0,0,26,9,17,25,1,26,0,0,26,26,0
Ambavade,0,1,4,0,4,1,2,3,0,0,5,0,0,5,0,0,5,0,5,5,0,5,0,0,5,5,0
Ane,0,0,10,0,7,3,10,0,0,0,10,0,0,10,0,0,10,8,2,8,2,10,0,0,10,10,0
Supane,0,4,8,0,10,2,12,0,0,0,12,0,0,12,0,0,12,12,0,12,0,12,0,0,12,12,0
Karavadi,0,14,11,0,16,9,23,2,0,0,25,2,11,11,0,0,25,18,7,19,6,25,0,0,25,25,0
Pashchimsupane,0,2,10,0,1,11,10,2,0,0,12,0,0,12,0,0,12,6,6,12,0,12,0,0,12,12,0
Abachiwadi,0,2,15,0,9,8,17,0,0,0,17,1,0,16,0,0,17,14,3,17,0,17,0,0,15,17,0
Kole,0,9,23,0,23,9,19,13,0,0,32,0,0,32,0,0,32,4,28,29,3,32,0,0,32,32,0
Koparde Haveli,0,15,10,0,11,14,25,0,0,0,25,0,0,25,0,0,25,13,12,25,0,25,0,0,25,25,0
Beldare,0,3,6,0,7,2,7,2,0,0,9,0,2,7,0,0,9,2,7,9,0,9,0,0,9,9,0
Tulsan,0,4,6,0,6,4,8,2,0,0,10,0,0,10,0,0,10,10,0,10,0,10,0,0,10,10,0
Wadgaon Haveli,0,3,22,0,19,6,21,4,0,0,25,0,0,25,0,0,25,19,6,21,4,25,0,0,25,25,0
Rethare kh.,0,4,21,0,14,11,23,2,0,0,25,0,0,25,0,0,25,24,1,25,0,25,0,0,25,25,0
Yelgaon,0,2,23,0,17,8,22,3,0,0,25,1,1,23,0,0,25,16,9,21,4,25,0,0,25,25,0
Talgaon,0,5,20,0,20,5,18,7,0,0,25,0,0,25,8,0,17,6,19,21,4,25,0,0,25,25,0
Savade,0,0,10,0,5,5,9,1,0,0,10,0,0,10,0,0,10,2,8,10,0,10,0,0,10,10,0
Mhasoli,0,16,19,4,19,12,25,10,0,0,35,0,0,35,0,0,35,16,19,28,7,35,0,0,35,29,6
Vathar,0,12,13,0,12,13,19,6,0,0,25,0,0,25,4,0,21,19,6,25,0,25,0,0,25,25,0
Belavade bk,0,4,21,0,17,8,20,5,0,0,25,0,0,25,1,0,24,16,9,25,0,25,0,0,25,25,0
Manu,0,19,31,7,28,15,32,18,0,0,50,0,0,50,0,0,50,29,21,44,6,50,0,0,50,24,26
Padali Helgaon,0,1,31,1,24,7,27,5,0,0,32,0,0,32,0,0,32,27,5,32,0,32,0,0,32,32,0
Gholapwadi,0,8,42,0,43,7,37,13,0,0,50,0,0,50,0,0,50,2,48,48,2,50,0,0,50,50,0
Gharalwadi,0,3,1,0,4,0,4,0,0,0,4,0,0,4,0,0,4,2,2,3,1,4,0,0,4,4,0
Jinti,0,4,6,1,6,3,8,2,0,0,10,0,0,10,0,0,10,10,0,8,2,10,0,0,10,10,0
