village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chibongga A,0,18,2,0,20,0,4,11,5,0,0,16,4,0,0,12,8,18,2,7,13,15,5,0,0,18,2
New Amerim,0,16,4,0,19,1,2,15,3,0,0,18,2,0,0,0,20,20,0,11,9,10,10,0,0,18,2
Manchang,0,15,5,0,20,0,0,20,0,0,0,20,0,0,0,0,20,20,0,8,12,15,5,0,0,19,1
Rangga,0,20,0,0,20,0,13,7,0,0,0,19,1,0,0,0,20,19,1,5,15,17,3,0,0,18,2
Lower Kharkutta,0,10,1,1,10,0,0,6,5,1,10,11,0,0,0,6,5,10,1,3,8,9,2,6,5,10,1
Nachirongdik,0,20,0,2,17,1,6,9,5,0,0,20,0,0,0,13,7,17,3,10,10,8,12,0,0,16,4
Baksalpara Songgital,0,16,3,0,19,0,0,18,1,0,0,19,0,0,0,0,19,19,0,5,14,17,2,0,0,17,2
Illagittim Songma,0,20,0,0,9,11,2,9,9,0,0,16,4,0,0,14,6,15,5,14,6,14,6,0,0,12,8
Chima Apal,0,17,3,0,14,6,1,17,2,0,0,17,2,0,0,0,20,20,0,11,9,14,6,0,0,16,4
Lower Sambrak,0,20,1,0,18,3,2,18,1,0,0,14,6,1,0,21,0,19,2,9,12,15,6,0,0,17,4
Kalwe,0,20,0,0,20,0,7,11,2,0,0,16,4,0,0,9,11,20,0,8,12,15,5,0,0,18,2
Kharkutta Songgital,0,9,10,0,19,0,4,11,4,0,0,19,0,0,0,1,18,19,0,7,12,14,5,0,0,16,3
Baksalpara,0,17,4,0,21,0,2,18,1,0,0,20,1,0,0,0,21,21,0,8,13,9,12,0,0,21,0
