village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mangalpura,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,,0,1,0,1,1,0,0,0,1,0
Chandras,0,0,0,26,12,0,38,0,0,38,0,1,20,17,9,0,29,7,,30,8,23,15,38,0,0,0,38,0
Kabradiya,0,0,0,10,1,0,11,0,0,11,0,3,2,6,0,0,11,3,,11,0,11,0,11,0,0,0,11,0
Chitamba,0,0,0,12,8,0,20,0,0,20,0,6,3,11,0,0,20,12,,20,0,11,9,20,0,0,0,20,0
Laduwas,0,0,0,1,24,0,25,0,0,25,0,10,5,10,6,0,19,2,,21,4,25,0,25,0,0,0,25,0
Sooliya,0,0,0,0,22,1,22,0,1,23,0,4,4,15,4,0,19,6,,23,0,12,11,23,0,0,0,13,10
Rampuriya (Nareli),0,0,0,18,2,0,14,6,0,20,0,18,1,1,0,0,20,0,,20,0,10,10,20,0,0,0,20,0
Kidimal,0,0,0,20,4,1,11,14,0,25,0,22,2,1,13,0,12,5,,21,4,10,15,25,0,0,0,25,0
Barawalon Ka Khera,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,0,1,0,1,1,0,0,0,1,0
Gorkhiya,0,0,0,24,0,0,15,9,0,24,0,1,5,18,0,0,24,16,,21,3,15,9,24,0,0,0,24,0
Debipura,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Kherimata,0,0,0,10,3,0,7,6,0,13,0,7,4,2,4,0,9,5,,11,2,13,0,13,0,0,0,13,0
Jarana,0,0,0,3,0,0,2,1,0,3,0,0,1,2,0,0,3,0,,2,1,2,1,3,0,0,0,3,0
Dhaniya Somaniya,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,,0,1,1,0,1,0,0,0,1,0
Sabal Pura,0,0,0,3,1,0,2,2,0,4,0,0,1,3,0,0,4,0,,3,1,4,0,4,0,0,0,4,0
Chawandiya,0,0,0,8,2,0,8,2,0,10,0,4,3,3,1,0,9,6,,2,8,10,0,10,0,0,0,10,0
Rampuriya,0,0,0,12,1,0,8,5,0,13,0,4,3,6,0,0,13,2,,9,4,13,0,13,0,0,0,13,0
Bheelo Ka Kheda,0,0,0,1,2,1,4,0,0,4,0,3,1,0,0,0,4,0,,3,1,4,0,4,0,0,0,4,0
Chauhanon Ki Kameri,0,0,0,2,0,0,2,0,0,2,0,1,1,0,0,0,2,1,,2,0,2,0,2,0,0,0,2,0
Chileshwar,0,0,0,15,6,0,21,0,0,21,0,13,5,3,0,0,21,6,,13,8,21,0,21,0,0,0,21,0
Umri,0,0,0,1,1,0,2,0,0,2,0,2,0,0,0,0,2,1,,2,0,2,0,2,0,0,0,2,0
Dhunwala (Kareda),0,0,0,15,9,1,25,0,0,25,0,16,7,2,3,0,22,15,,18,7,21,4,25,0,0,0,25,0
Rooppura,0,0,0,5,5,0,10,0,0,10,0,4,4,2,0,0,10,3,,5,5,7,3,10,0,0,0,10,0
Hathi Bhata,0,0,0,12,8,0,20,0,0,20,0,6,3,11,1,0,19,0,,17,3,13,7,20,0,0,0,20,0
Gyangarh,0,0,0,3,6,1,10,0,0,10,0,7,1,2,0,0,10,0,,10,0,10,0,10,0,0,0,10,0
Ajeetpura,0,0,0,0,2,0,2,0,0,2,0,1,0,1,0,0,2,2,,2,0,2,0,2,0,0,0,2,0
Amdala,0,0,0,7,12,4,23,0,0,23,0,9,10,4,0,0,23,19,,23,0,20,3,23,0,0,0,23,0
Reh,0,0,0,1,1,0,2,0,0,2,0,0,1,1,0,0,2,0,,2,0,1,1,2,0,0,0,2,0
Dahimatha,0,0,0,5,9,0,14,0,0,14,0,0,1,13,0,0,14,0,,14,0,8,6,14,0,0,0,14,0
Bemali,0,0,0,4,4,0,8,0,0,8,0,0,2,6,0,0,8,4,,8,0,4,4,6,0,0,0,8,0
