village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Barfoo,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Bakshpura,0,0,0,32,4,0,32,4,0,0,0,10,10,16,0,0,36,34,2,36,0,36,0,0,0,36,0
Badoonda,0,0,0,15,0,0,15,0,0,0,0,2,8,5,2,0,13,15,0,15,0,15,0,0,0,15,0
Jalodi,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,2,1,1,2,0,2,0,0,0,2,0
Dhaneshwar,0,0,0,12,2,0,13,1,0,0,0,0,5,9,5,0,9,9,5,14,0,14,0,0,0,14,0
Gopalpura (Barad),0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0
Theekariya Charnan,0,0,0,16,2,0,10,8,0,0,0,0,2,16,0,0,18,18,0,14,4,18,0,0,0,18,0
Peetambpura,0,0,0,13,0,0,13,0,0,0,0,0,2,11,5,0,8,11,2,8,5,12,1,0,0,10,3
Sootra,0,0,0,9,2,0,10,1,0,0,0,0,3,8,0,0,11,11,0,9,2,11,0,0,0,11,0
Leelera Charnan,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Peepalda Hadon Ka,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,2,2,0,2,0,2,0,0,0,2,0
Seeta Pura,0,0,0,9,0,0,6,3,0,0,0,1,5,3,0,0,9,9,0,9,0,9,0,0,0,9,0
Dabi,0,0,0,10,0,0,8,2,0,0,0,1,5,4,2,0,8,9,1,6,4,10,0,0,0,10,0
Rajpura,0,0,0,2,0,0,1,1,0,0,0,0,0,2,1,0,1,2,0,2,0,2,0,0,0,2,0
Suwasan,0,0,0,11,4,0,13,2,0,0,0,4,5,6,0,0,15,15,0,13,2,15,0,0,0,15,0
Lamba Peepal,0,0,0,3,0,0,3,0,0,0,0,0,1,2,1,0,2,3,0,2,1,3,0,0,0,3,0
Jameetpura,0,0,0,4,0,0,4,0,0,0,0,0,3,1,2,0,2,4,0,4,0,4,0,0,0,4,0
Bhagwanpura @Chainpuriya,0,0,0,6,0,0,6,0,0,0,0,0,4,2,3,0,3,5,1,6,0,6,0,0,0,6,0
Ladpur,0,0,0,17,1,0,15,3,0,0,0,2,8,8,0,0,18,18,0,12,6,18,0,0,0,18,0
Sapteeja,0,0,0,8,1,0,9,0,0,0,0,0,0,9,0,0,9,9,0,3,6,9,0,0,0,9,0
Talera (CT),0,0,0,9,0,0,9,0,0,0,0,0,1,8,5,0,4,5,4,4,5,9,0,0,0,8,1
Kherla,0,0,0,10,0,0,10,0,0,0,0,0,2,8,6,0,4,7,3,5,5,10,0,0,0,9,1
Teetarwasa,0,0,0,23,1,0,19,5,0,0,0,10,5,9,0,0,24,24,0,21,3,24,0,0,0,24,0
Daboosar,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Lambakhoh,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Leelera Vyasan,0,0,0,17,1,0,9,9,0,0,0,0,2,16,0,0,18,18,0,7,11,18,0,0,0,18,0
Kethooda,0,0,0,19,1,0,20,0,0,0,0,1,3,16,6,0,14,16,4,14,6,19,1,0,0,12,8
Peepalda,0,0,0,3,1,0,4,0,0,0,0,0,1,3,1,0,3,4,0,4,0,4,0,0,0,4,0
Delunda,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,1,1,2,0,2,0,0,0,2,0
Bhoomakhera,0,0,0,9,0,0,6,3,0,0,0,0,6,3,1,0,8,9,0,7,2,9,0,0,0,9,0
Dasalya,0,0,0,5,0,0,4,1,0,0,0,0,2,3,0,0,5,5,0,3,2,5,0,0,0,5,0
Kothya,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
Gordhanpura(T),0,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,1,2,0,2,0,2,0,0,0,2,0
Ganeshpura(T),0,0,0,3,0,0,2,1,0,0,0,0,1,2,1,0,2,3,0,3,0,3,0,0,0,3,0
Budhpura (CT),0,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,1,2,0,2,0,2,0,0,0,2,0
