village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Akarsada ,0,0,0,13,9,3,24,1,0,25,0,11,3,11,0,0,25,23,2,21,4,25,0,0,0,25,0
Rayra,0,0,0,11,4,4,15,4,0,19,0,5,7,7,0,0,19,19,0,19,0,19,0,0,0,19,0
Jagpura,0,0,0,1,3,1,2,3,0,5,0,0,1,4,0,0,5,5,0,5,0,5,0,0,0,5,0
Sangram Garh,0,0,0,8,4,2,2,12,0,14,0,5,3,6,1,0,13,14,0,13,1,14,0,0,0,14,0
Raghunath Garh,0,0,0,7,4,0,0,11,0,11,0,0,3,8,0,0,11,8,3,5,6,11,0,0,0,11,0
Chainpura,0,0,0,16,6,1,23,0,0,23,0,16,2,5,0,0,23,23,0,16,7,23,0,0,0,22,1
Badnor,0,0,0,25,0,0,25,0,0,25,0,1,3,21,1,0,24,25,0,7,18,25,0,0,0,25,0
Motras,0,0,0,3,2,0,5,0,0,5,0,5,0,0,0,0,5,4,1,0,5,5,0,0,0,5,0
Akhegarh,0,0,0,14,5,0,19,0,0,19,0,19,0,0,0,0,19,17,2,10,9,19,0,0,0,19,0
Indrapura,0,0,0,8,0,0,8,0,0,8,0,0,5,3,0,0,8,8,0,6,2,8,0,0,0,8,0
Govindpura,0,0,0,10,2,0,12,0,0,12,0,0,1,11,0,0,12,12,0,6,6,12,0,0,0,12,0
