village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Amalda,0,0,0,9,18,0,2,23,2,21,6,1,7,19,0,0,27,3,24,21,6,27,0,0,0,22,5
Bhatkhera Naya,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Rawarda,0,0,0,8,4,0,2,9,1,4,8,0,6,6,0,0,12,2,10,10,2,12,0,0,0,12,0
Rayti,0,0,0,9,8,0,3,13,1,4,13,1,4,12,0,0,17,7,10,16,1,15,2,0,0,13,4
Kalabar,0,0,0,1,2,0,0,3,0,1,2,0,2,1,0,0,3,1,2,2,1,3,0,0,0,3,0
Gurha,0,0,0,18,11,1,6,24,0,24,6,0,12,18,11,0,19,0,30,20,10,29,1,1,0,24,6
Umar,0,0,0,8,5,1,5,9,0,3,11,0,1,13,0,0,14,1,13,12,2,14,0,0,0,14,0
Kulatiya Nai,0,0,0,1,2,0,0,2,1,2,1,0,0,3,0,0,3,0,3,0,3,3,0,0,0,3,0
DHUL KHEDA,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Garhwara,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
Samron Ka Lewa,0,0,0,4,0,0,1,3,0,3,1,0,1,3,0,0,4,0,4,4,0,4,0,0,0,4,0
Kishorpura,0,0,0,1,2,0,0,2,1,2,1,0,1,2,0,0,3,1,2,2,1,3,0,0,0,3,0
Balwantnagar,0,0,0,5,11,0,0,16,0,13,3,0,4,12,2,0,14,0,16,12,4,15,1,0,0,6,10
Jainagar,0,0,0,3,11,2,1,14,1,6,10,0,10,6,0,0,16,0,16,11,5,16,0,0,0,14,2
Meghniwas,0,0,0,8,16,0,6,18,0,7,17,0,8,16,2,0,22,1,23,15,9,24,0,0,0,22,2
Suratpura,0,0,0,0,6,0,4,1,1,6,0,2,0,4,2,0,4,2,4,2,4,5,1,0,0,5,1
Shrinagar,0,0,0,12,18,0,5,22,3,16,14,0,7,23,24,0,6,24,6,27,3,28,2,0,0,25,5
Barniyas,0,0,0,0,4,0,2,2,0,3,1,1,3,0,0,0,4,0,4,4,0,4,0,0,0,4,0
Dorai,0,0,0,6,20,4,2,24,4,21,9,0,5,25,2,0,28,0,30,15,14,29,1,0,0,19,11
Anandpura,0,0,0,1,3,0,0,3,1,1,3,0,2,2,3,0,1,0,4,3,1,4,0,0,0,4,0
Bamanhera,0,0,0,5,4,0,3,6,0,2,7,0,4,5,0,0,9,1,8,8,1,8,1,0,0,6,3
Rajpura,0,0,0,4,5,0,0,8,1,9,0,2,7,0,0,0,9,2,7,7,2,9,0,0,0,9,0
Rughnathpura,0,0,0,1,4,0,0,4,1,5,0,0,3,2,0,0,5,0,5,2,3,5,0,0,0,3,2
Bichhor,0,0,0,28,2,0,2,25,3,24,6,0,15,15,24,0,6,0,30,26,4,30,0,0,0,30,0
Kanthariya,0,0,0,1,5,0,0,6,0,4,2,0,3,3,4,0,2,2,4,6,0,5,1,0,0,6,0
Chainsingh Ji Ka Rajpura,0,0,0,6,8,0,0,9,5,9,5,2,6,6,0,0,14,1,13,6,8,14,0,0,0,13,0
Gopalpura,0,0,0,1,3,0,0,3,1,2,2,1,2,1,0,0,4,1,3,3,1,4,0,0,0,3,1
Fatehpur,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Madhopur,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0
Dekri Khera,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Chechi,0,0,0,7,9,0,1,13,2,11,5,1,4,11,0,0,16,6,10,14,2,16,0,0,0,14,2
Nahargarh,0,0,0,2,1,0,0,3,0,0,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,3,0
Hamepur,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
Anwalhera,0,0,0,8,14,0,3,18,1,8,14,0,4,18,13,0,9,2,20,10,12,21,1,0,0,22,0
Bara Khera,0,0,0,24,5,0,0,26,3,28,1,0,6,23,0,0,29,2,27,16,13,29,0,0,0,28,1
Rampuriya,0,0,0,3,5,0,0,6,2,2,6,0,3,5,2,0,6,1,7,8,0,8,0,0,0,6,2
Govindpura,0,0,0,2,9,0,1,6,4,5,6,1,1,9,2,0,9,0,11,8,3,8,3,0,0,10,1
Bor Baori,0,0,0,3,7,0,3,7,0,7,3,0,4,6,0,0,10,1,9,9,1,8,2,0,0,10,0
Kanwarpura,0,0,0,11,12,1,3,20,1,20,4,2,22,0,0,0,24,3,21,21,3,24,0,0,0,21,3
Nandwai,0,0,0,0,3,0,0,2,1,2,1,0,1,2,1,0,2,0,3,3,0,3,0,0,0,3,0
Marawada,0,0,0,1,1,0,1,1,0,0,2,0,0,2,2,0,0,0,2,2,0,2,0,0,0,2,0
Parawas,0,0,0,1,4,0,0,5,0,4,1,1,2,2,0,0,5,1,4,4,1,5,0,0,0,1,4
Menal,0,0,0,0,2,0,0,2,0,0,2,0,1,1,0,0,2,0,2,2,0,2,0,0,0,2,0
Amarpura,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Rajgarh,0,0,0,3,6,0,1,6,2,2,7,9,0,0,1,0,8,1,8,6,3,8,1,0,0,6,3
Kerpura,0,0,0,5,15,0,1,14,5,18,2,4,9,7,0,0,20,0,20,14,6,19,1,0,0,8,12
Gulana,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Deori,0,0,0,0,8,0,1,5,2,5,3,5,3,0,0,0,8,2,6,6,2,8,0,0,0,6,2
Banora,0,0,0,1,1,0,0,1,1,2,0,0,1,1,0,0,2,0,2,1,1,2,0,0,0,0,2
Haripura,0,0,0,10,13,0,5,16,2,16,7,4,17,2,0,0,23,3,20,16,7,23,0,0,0,22,1
Deolachh,0,0,0,1,1,0,0,2,0,1,1,0,2,0,0,0,2,0,2,0,2,2,0,0,0,0,2
Gopalpura,0,0,0,1,1,0,0,2,0,1,1,0,0,2,0,0,2,1,1,2,0,2,0,0,0,1,1
Khalda,0,0,0,1,2,0,0,2,1,2,1,0,1,2,0,0,3,0,3,3,0,2,1,0,0,3,0
Bagpachhli Kheri,0,0,0,7,3,0,0,5,5,7,3,0,8,2,0,0,10,0,10,10,0,10,0,0,0,8,2
Hanutiya,0,0,0,0,2,0,0,1,1,1,1,0,0,2,0,0,2,0,2,1,1,2,0,0,0,2,0
Ramnagar @ Rojtalai,0,0,0,4,6,0,0,7,3,6,4,0,0,10,1,0,9,0,10,5,5,9,1,0,0,7,3
Khardi,0,0,0,7,11,0,0,13,5,11,7,0,7,11,4,0,14,0,18,11,7,18,0,0,0,18,0
Amartiya,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
Jalampura,0,0,0,3,3,0,0,5,1,5,1,0,2,4,0,0,6,0,6,3,3,6,0,0,0,4,2
Dhamancha,0,0,0,6,17,2,1,21,3,17,8,0,15,10,0,0,25,0,25,16,9,24,1,0,0,24,1
Jharol,0,0,0,2,4,0,1,5,0,3,3,0,2,4,5,0,1,0,6,3,3,6,0,0,0,6,0
Samariya Khurd,0,0,0,8,22,0,9,21,0,6,24,1,10,19,18,0,11,1,29,20,10,30,0,0,0,28,2
Chanda Kheri,0,0,0,9,2,0,1,10,0,8,3,0,4,7,7,0,4,0,11,4,7,11,0,0,0,8,3
Mandawari,0,0,0,6,13,1,3,13,4,12,8,5,11,4,1,0,19,0,20,7,12,20,0,0,0,6,14
Charchha,0,0,0,6,14,1,1,18,2,14,7,1,11,9,0,0,21,1,20,11,10,21,0,0,0,4,17
Dhanora,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Muroli,0,0,0,3,17,1,5,12,4,7,14,1,7,13,1,0,20,2,19,17,4,20,1,0,0,19,2
Anoppura,0,0,0,4,3,1,0,6,2,5,3,0,5,3,0,0,8,0,8,7,1,8,0,0,0,0,8
Chomu,0,0,0,24,5,0,1,26,2,24,5,4,23,2,0,0,29,1,28,16,13,29,0,0,0,29,0
Haripura,0,0,0,4,6,0,0,9,1,5,5,0,7,3,1,0,9,0,10,5,5,10,0,0,0,7,3
Ganeshpura,0,0,0,2,4,0,2,4,0,1,5,0,1,5,2,0,4,0,6,5,1,6,0,0,0,6,0
Turkari,0,0,0,2,1,0,0,3,0,0,3,0,1,2,0,0,3,3,0,3,0,3,0,0,0,2,1
Jodhpuriya,0,0,0,2,1,0,1,2,0,3,0,0,3,0,0,0,3,0,3,3,0,3,0,0,0,3,0
Sonagar,0,0,0,4,6,1,1,8,2,9,2,0,8,3,0,0,11,0,11,6,5,11,0,0,0,8,3
Neemoda,0,0,0,6,3,0,1,8,0,4,5,2,7,0,0,0,9,2,7,6,3,9,0,0,0,5,4
Sarlasiya,0,0,0,3,3,0,1,5,0,4,2,1,1,4,0,0,6,1,5,6,0,6,0,0,0,6,0
Galyabaori,0,0,0,3,6,0,0,9,0,6,3,0,2,7,0,0,9,2,7,8,1,9,0,0,0,9,0
Jodhapatel Ki Kheri,0,0,0,2,5,0,2,4,1,6,1,0,5,2,0,0,7,0,7,5,2,7,0,0,0,3,4
Mahesara,0,0,0,6,12,0,4,14,0,9,9,4,8,6,0,0,18,5,13,12,6,18,0,0,0,18,0
Bandan Ka Rajpura,0,0,0,3,5,0,0,6,2,7,1,6,0,2,0,0,8,1,7,7,1,8,0,0,0,6,2
Luhariya,0,0,0,12,13,0,1,21,3,22,3,0,4,21,3,0,22,0,25,13,12,25,0,0,0,15,10
Naya Gaon,0,0,0,2,3,0,1,4,0,3,2,0,1,4,3,0,2,1,4,5,0,5,0,0,0,4,1
Semaliya,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
KHASA KA KHEDA,0,0,0,1,1,0,0,2,0,2,0,0,0,2,0,0,2,0,2,1,1,2,0,0,0,2,0
Shadi,0,0,0,10,9,1,4,15,1,12,8,0,7,13,15,0,5,2,18,14,6,20,0,0,0,19,1
Parsoli,0,0,0,11,12,2,4,19,2,14,11,1,16,8,1,0,24,2,23,16,9,23,2,0,0,12,13
Meghniwas,0,0,0,18,11,0,2,26,1,5,24,5,7,17,1,0,28,13,16,29,0,29,0,0,0,22,7
Girdiya,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
