village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bilasi,0,0,0,0,2,1,0,3,0,0,0,0,1,2,0,0,3,0,3,0,3,3,0,0,0,3,0
Dhani Govind Pura,0,0,0,0,4,2,0,5,1,0,0,0,0,6,0,0,6,0,6,0,6,6,0,0,0,6,0
Tada,0,0,0,0,2,1,0,3,0,0,0,0,0,3,0,0,3,0,3,0,3,3,0,0,0,3,0
Salasar,0,0,0,0,33,17,1,48,1,0,0,0,14,36,0,0,50,0,50,0,50,50,0,0,1,50,0
Bara,0,0,0,19,4,0,15,8,0,0,0,0,8,15,0,0,23,0,23,0,23,23,0,0,0,23,0
Gudabari,0,0,0,0,13,20,2,27,4,0,0,0,10,23,0,0,33,0,33,0,33,33,0,0,0,33,0
Lodsar,0,0,0,0,2,20,0,22,0,0,0,0,2,20,0,1,21,0,22,1,21,22,0,0,0,22,0
Bhagiwad,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Shobhasar,0,0,0,0,7,20,0,25,2,0,0,0,4,23,0,0,27,0,27,0,27,27,0,0,0,27,0
Murdakiya,0,0,0,0,8,13,0,21,0,0,0,0,0,21,0,0,21,0,21,0,21,21,0,0,0,21,0
Karejra,0,0,0,13,3,0,10,6,0,0,0,0,3,13,0,0,16,0,16,0,16,16,0,0,0,16,0
Chariya,0,0,0,0,4,10,0,14,0,0,0,0,0,14,0,0,14,0,14,0,14,14,0,0,0,14,0
Malsisar,0,0,0,0,1,9,0,10,0,0,0,0,1,9,0,0,10,0,10,0,10,10,0,0,0,10,0
Meegna,0,0,0,0,4,8,0,12,0,0,0,0,2,10,0,0,12,0,12,2,10,12,0,0,0,12,0
Barabar,0,0,0,0,8,17,0,25,0,0,0,0,6,19,0,0,25,0,25,3,22,25,0,0,1,25,0
Kanoota,0,0,0,18,24,0,27,15,0,0,0,0,22,20,0,2,40,0,42,4,38,41,0,0,0,40,2
Likhmansar,0,0,0,14,12,0,19,7,0,0,0,0,13,13,0,0,26,1,25,2,24,26,0,0,0,26,0
Magrasar,0,0,0,18,15,1,17,17,0,0,0,0,6,28,1,0,33,1,33,3,31,34,0,0,0,31,3
Baghsara Athuna,0,0,0,22,8,1,16,15,0,0,0,0,5,26,0,0,31,0,31,0,31,31,0,0,0,31,0
Jindrasar,0,0,0,0,2,7,0,9,0,0,0,0,1,8,0,0,9,0,9,1,8,9,0,0,0,9,0
Charla,0,0,0,16,8,0,11,13,0,0,0,0,3,21,0,0,24,0,24,0,24,24,0,0,0,24,0
Gedap,0,0,0,21,20,4,16,29,0,0,0,0,3,42,0,0,45,1,44,0,45,45,0,0,0,45,0
Baghsara ( East ),0,0,0,0,2,5,0,7,0,0,0,0,2,5,0,0,7,0,7,0,7,7,0,0,0,7,0
Dhan Charnan,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,2,0,2,2,0,0,0,2,0
KASBA SUJANGARH,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Bhaseena,0,0,0,10,7,0,10,7,0,0,0,0,2,15,0,0,17,0,17,0,17,17,0,0,0,17,0
Mundra,0,0,0,2,6,0,6,2,0,0,0,0,1,7,1,0,7,0,8,0,8,8,0,0,0,7,1
Guleriya,0,0,0,0,16,5,13,8,0,0,0,0,0,21,0,0,21,0,21,0,21,20,1,0,0,21,0
Bhojlai,0,0,0,0,7,7,10,4,0,0,0,0,0,14,0,0,14,0,14,0,14,14,0,0,0,14,0
Dewani,0,0,0,0,2,2,3,1,0,0,0,0,0,4,0,0,4,0,4,0,4,4,0,0,0,4,0
Soorwas,0,0,0,0,5,1,5,1,0,0,0,0,0,6,0,0,6,0,6,0,6,6,0,0,0,6,0
Gopalpura,0,0,0,0,26,7,29,4,0,0,0,0,0,33,0,0,33,0,33,1,32,33,0,0,0,32,1
Neemri Charnan,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,2,0,2,0,2,2,0,0,0,2,0
Bheenwsar,0,0,0,0,15,5,0,20,0,0,0,0,0,20,0,0,20,0,20,0,20,20,0,0,0,20,0
Kolasar,0,0,0,0,12,4,0,16,0,0,0,0,0,16,0,0,16,0,16,0,16,16,0,0,0,16,0
Harasar,0,0,0,0,17,20,0,37,0,0,0,0,0,37,0,0,37,0,37,0,37,37,0,0,0,37,0
Khariya Kaniram,0,0,0,0,5,4,0,8,1,0,0,0,0,9,0,0,9,0,9,0,9,9,0,0,0,9,0
Khuri,0,0,0,0,26,12,0,37,1,0,0,0,3,35,1,0,37,0,38,0,38,38,0,0,0,38,0
Bobasar Bidawatan,0,0,0,0,9,3,0,12,0,0,0,0,0,12,1,0,11,0,12,0,12,12,0,0,0,12,0
Bamaniya,0,0,0,5,11,0,0,16,0,0,0,0,0,16,0,0,16,0,16,1,15,16,0,0,0,16,0
Rajiyasar Meetha,0,0,0,0,1,3,0,4,0,0,0,0,0,4,0,0,4,0,4,0,4,4,0,0,0,4,0
Abasar,0,0,0,0,25,16,0,41,0,0,0,0,3,38,1,0,40,0,41,0,41,41,0,0,0,40,1
Randhisar,0,0,0,0,22,12,0,34,0,0,0,0,4,30,0,0,34,0,34,0,34,34,0,0,0,34,0
Dhatri,0,0,0,0,20,15,0,35,0,0,0,0,3,32,0,0,35,0,35,0,35,35,0,0,0,35,0
Jaitasar,0,0,0,0,16,3,1,17,1,0,0,0,3,16,0,0,19,0,19,0,19,19,0,0,0,19,0
Jogliya,0,0,0,0,21,14,0,35,0,0,0,0,3,32,0,0,35,0,35,0,35,35,0,0,0,34,1
Tharda,0,0,0,0,13,3,0,16,0,0,0,0,0,16,0,0,16,0,16,0,16,16,0,0,0,16,0
Khora,0,0,0,0,4,1,0,5,0,0,0,0,0,5,0,0,5,0,5,0,5,5,0,0,0,5,0
Sandan,0,0,0,0,4,3,0,7,0,0,0,0,0,7,0,0,7,0,7,0,7,7,0,0,0,7,0
Khadaya,0,0,0,0,8,3,0,11,0,0,0,0,0,11,0,0,11,0,11,0,11,11,0,0,0,11,0
Parwatisar,0,0,0,0,18,9,6,21,0,0,0,0,0,27,0,0,27,0,27,0,27,27,0,0,0,27,0
Nyama,0,0,0,0,6,7,0,10,3,0,0,0,3,10,0,0,13,0,13,0,13,13,0,0,0,13,0
Ranwan Ki Dhani,0,0,0,0,30,25,0,55,0,0,0,0,12,43,2,0,53,0,55,0,55,55,0,0,0,55,0
Rajiyasar Khara,0,0,0,0,21,9,0,30,0,0,0,0,5,25,0,0,30,0,30,0,30,30,0,0,0,30,0
Rajpura,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,4,0,4,0,4,4,0,0,0,4,0
Lona,0,0,0,0,6,2,0,8,0,0,0,0,0,8,5,0,3,0,8,0,8,8,0,0,0,8,0
Malasi,0,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,3,0,3,0,3,3,0,0,0,3,0
Aasi Agooni,0,0,0,0,9,10,0,19,0,0,0,0,0,19,1,0,18,0,19,0,19,19,0,0,0,19,0
Bobasar Charnan,0,0,0,0,2,3,0,4,1,0,0,0,0,5,0,0,5,0,5,0,5,5,0,0,0,5,0
Bhanisar Tejsinghotan,0,0,0,0,10,4,0,14,0,0,0,0,0,14,0,0,14,0,14,0,14,14,0,0,0,14,0
Khariya Bara,0,0,0,0,23,15,0,37,1,0,0,0,2,36,0,0,38,0,38,0,38,38,0,0,0,38,0
