village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Popawas,0,0,0,5,2,0,7,0,0,0,0,0,0,7,7,0,0,0,,0,7,0,7,7,0,0,0,7,0
Rohila Khurd,0,0,0,2,1,0,2,1,0,0,0,0,0,3,2,0,1,0,,0,3,0,3,3,0,0,0,3,0
Joliyali,0,0,0,12,6,0,14,4,0,0,0,0,0,18,8,0,10,0,,0,18,0,18,18,0,0,0,18,0
Manai,0,0,0,12,6,0,15,3,0,0,0,0,0,18,18,0,0,0,,0,18,0,18,18,0,0,0,18,0
Ghantiyala,0,0,0,12,6,0,14,4,0,0,0,0,0,18,12,0,6,0,,0,18,0,18,18,0,0,0,17,1
Rohila Kalan,0,0,0,8,5,0,12,1,0,0,0,0,0,13,8,0,5,0,,0,13,0,13,13,0,0,0,13,0
Barli Ner,0,0,0,9,2,0,7,4,0,0,0,0,0,11,8,0,3,1,,0,11,0,11,11,0,0,0,11,0
Lordi Daijagra,0,0,0,6,2,0,8,0,0,0,0,0,0,8,8,0,0,0,,0,8,0,8,8,0,0,0,8,0
Chawanda,0,0,0,12,3,0,15,0,0,0,0,0,0,15,14,0,1,0,,0,15,0,15,15,0,0,0,14,1
Karwar,0,0,0,12,6,0,13,5,0,0,0,0,0,18,18,0,0,0,,0,18,1,17,18,0,0,0,17,1
Keroo,0,0,0,12,7,0,16,2,1,0,0,0,0,19,19,0,0,0,,0,19,0,19,19,0,0,0,19,0
Shiv Sarnon Ki Dhani,0,0,0,5,2,0,7,0,0,0,0,0,0,7,7,0,0,0,,0,7,0,7,7,0,0,0,7,0
Meglasiya,0,0,0,3,1,0,3,1,0,0,0,0,0,4,3,0,1,0,,0,4,0,4,4,0,0,0,4,0
Rajwa,0,0,0,7,4,0,9,2,0,0,0,0,0,11,11,0,0,0,,0,11,0,11,11,0,0,0,11,0
Karani,0,0,0,4,3,0,6,1,0,0,0,0,0,7,7,0,0,0,,0,7,0,7,7,0,0,0,7,0
Lordi Doliya,0,0,0,7,3,0,8,1,1,0,0,0,0,10,10,0,0,0,,0,10,0,10,10,0,0,0,10,0
Palri Mangaliya,0,0,0,13,5,0,1,17,0,0,0,0,0,18,14,0,4,0,,0,18,0,18,18,0,0,0,18,0
Daijar,0,0,0,9,8,0,17,0,0,0,0,0,0,17,15,0,2,1,,0,17,0,17,17,0,0,0,17,0
Naron Ki Dhani,0,0,0,6,3,0,7,2,0,0,0,0,0,9,9,0,0,0,,0,9,0,9,9,0,0,0,9,0
Daon Ki Dhani,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,0,0,0,,0,2,0,2,2,0,0,0,2,0
Hem Nagar,0,0,0,9,2,0,9,2,0,0,0,0,0,11,3,0,8,0,,0,11,0,11,11,0,0,0,10,1
Legon Ki Dhani,0,0,0,8,3,0,8,3,0,0,0,0,0,11,6,0,5,0,,0,11,0,11,11,0,0,0,11,0
Barli,0,0,0,12,6,0,15,3,0,0,0,0,0,18,16,0,2,0,,0,18,0,18,18,0,0,0,18,0
Jasnath Nagar,0,0,0,5,2,0,5,2,0,0,0,0,0,7,2,0,5,0,,0,7,0,7,7,0,0,0,7,0
Mahadeonagar Undera,0,0,0,8,3,0,11,0,0,0,0,0,0,11,11,0,0,0,,0,11,0,11,11,0,0,0,11,0
Basni Sepha,0,0,0,2,1,0,1,2,0,0,0,0,0,3,2,0,1,0,,0,3,0,3,3,0,0,0,3,0
Salori,0,0,0,11,7,0,15,3,0,0,0,0,0,18,18,0,0,0,,0,18,0,18,18,0,0,0,18,0
Indroka,0,0,0,12,6,0,1,16,1,0,0,0,0,18,9,0,9,0,,0,18,0,18,18,0,0,0,18,0
Narwa Khichiyan,0,0,0,11,5,0,3,13,0,0,0,0,0,16,13,0,3,2,,0,16,0,16,16,0,0,0,16,0
Shivnagar,0,0,0,6,2,0,7,1,0,0,0,0,0,8,8,0,0,0,,0,8,0,8,8,0,0,0,8,0
Jakharo Ki Dhani,0,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,,0,2,0,2,2,0,0,0,2,0
Manaklao,0,0,0,14,3,0,11,6,0,0,0,0,0,17,17,0,0,0,,0,17,0,17,17,0,0,0,17,0
Pooniyon Ki Pyau,0,0,0,3,1,0,3,1,0,0,0,0,0,4,3,0,1,0,,0,4,0,4,4,0,0,0,4,0
Mokalawas,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,,0,1,0,1,1,0,0,0,1,0
Beroo,0,0,0,8,2,0,6,4,0,0,0,0,0,10,10,0,0,0,,0,10,0,10,10,0,0,0,10,0
Chaukhan,0,0,0,8,0,0,4,4,0,0,0,0,0,8,6,0,2,0,,0,8,0,8,8,0,0,0,8,0
