village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nareda - 79034,0,0,0,4,24,0,17,11,0,28,0,0,0,28,0,0,28,1,,13,15,10,18,28,0,0,0,28,0
Kharab - 79045,0,0,0,3,23,1,13,14,0,27,0,1,0,26,3,0,24,0,,16,11,12,15,27,0,0,0,27,0
Paniyala,0,0,0,1,11,1,7,6,0,12,1,0,0,13,5,0,8,0,,9,4,5,8,13,0,0,0,13,0
Malpura - 79021,0,0,0,3,10,0,8,5,0,13,0,0,0,13,0,0,13,0,,8,5,3,10,13,0,0,0,13,0
Narsinghpura - 79036,0,0,0,1,2,0,2,1,0,3,0,0,0,3,1,0,2,0,,2,1,3,0,3,0,0,0,3,0
Nangal Panditpura - 79090 - 79090,0,0,0,2,13,2,8,9,0,17,0,0,0,17,6,1,10,0,,14,3,10,7,17,0,0,0,17,0
Hansiyawas,0,0,0,2,5,0,1,6,0,7,0,0,0,7,2,0,5,0,,4,3,2,5,7,0,0,0,7,0
Aspura ,0,0,0,3,20,0,4,18,1,23,0,0,0,23,1,0,22,0,,5,18,14,9,23,0,0,0,23,0
Jagdishpura - 79077,0,0,0,4,19,1,10,14,0,24,0,0,0,24,0,0,24,0,,14,10,16,8,23,1,0,0,23,1
Khera Nihalpura - 79078,0,0,0,7,17,1,7,17,1,25,0,0,0,25,0,0,25,0,,19,6,5,20,25,0,0,0,25,0
Karwas - 79015,0,0,0,2,7,1,7,3,0,10,0,0,0,10,0,0,10,0,,9,1,7,3,10,0,0,0,10,0
Jaisinghpura - 79013,0,0,0,1,14,0,8,7,0,14,1,0,0,15,0,0,15,0,,14,1,10,5,15,0,0,0,15,0
Bamanwas - 79088,0,0,1,4,19,1,15,8,1,24,0,1,0,23,0,0,24,0,,16,8,13,11,24,0,0,0,24,0
Buchahera (Rural) - 79087 - 79087,0,0,0,2,9,1,5,7,0,12,0,0,0,12,0,0,12,0,,8,4,5,7,12,0,0,0,12,0
Chaturbhuj - 79085,0,0,0,3,21,0,10,14,0,24,0,0,0,24,3,0,21,0,,20,4,12,12,24,0,0,0,24,0
Pootli - 79100,0,0,0,3,18,1,7,15,0,21,1,0,0,22,1,0,21,0,,20,2,10,12,22,0,0,0,22,0
Kalyanpura Khurd - 79105,0,0,0,0,2,0,1,1,0,2,0,0,0,2,0,0,2,0,,1,1,0,2,2,0,0,0,2,0
Saroond - 79075,0,0,0,4,20,0,8,16,0,24,0,0,0,24,16,0,8,0,,13,11,7,17,24,0,0,0,24,0
Fatehpura Kalan - 79074,0,0,0,1,23,0,11,13,0,24,0,0,0,24,0,0,24,1,,15,9,5,19,24,0,0,0,24,0
Basri (Rural),0,0,0,1,5,0,3,3,0,6,0,0,0,6,0,0,6,0,,4,2,4,2,6,0,0,0,6,0
Barabas (Urban) - 79083,0,0,0,1,5,0,3,3,0,5,1,0,0,6,1,0,5,0,,3,3,3,3,6,0,0,0,6,0
Mahrampur Rajput - 79108,0,0,0,5,18,1,10,14,0,24,0,0,0,24,2,0,22,0,,15,9,13,11,24,0,0,0,24,0
Khurdi - 79098,0,0,0,9,15,0,10,10,4,23,1,0,0,24,0,0,24,0,,18,6,11,13,24,0,0,0,24,0
