village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Achalpur,0,0,1,28,10,0,38,0,0,0,0,2,17,19,0,0,38,32,6,30,8,32,6,0,0,37,1
Sitamagri,0,0,0,12,15,0,21,6,0,0,0,1,17,9,0,0,27,22,5,19,8,22,5,0,0,25,2
Khanan,0,0,0,9,2,0,7,2,2,0,0,1,8,2,0,0,11,9,2,10,1,7,4,0,0,11,0
Dama Kheri,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Varmandal,0,0,0,37,0,0,4,33,0,0,0,0,14,23,0,0,37,19,18,26,11,36,1,0,0,32,5
Sajanpuriya,0,0,0,2,1,0,1,2,0,0,0,1,1,1,0,0,3,3,0,1,2,3,0,0,0,3,0
Magroda,0,0,0,9,0,0,0,8,1,0,0,0,4,5,0,0,9,1,8,7,2,9,0,0,0,9,0
Gadola,0,0,0,16,8,0,1,23,0,0,0,0,11,13,0,0,24,12,12,17,7,22,2,0,0,22,2
Manawala,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Ranchhorpura,0,0,0,8,2,0,0,10,0,0,0,0,0,10,0,0,10,0,10,7,3,7,3,0,0,8,2
Angora,0,0,0,10,1,0,1,10,0,0,0,0,0,11,0,0,11,0,11,5,6,10,1,0,0,9,2
Luhariya,0,0,0,9,1,0,0,10,0,0,0,0,2,8,0,0,10,0,10,3,7,7,3,0,0,10,0
Biyapathar,0,0,0,3,1,0,0,4,0,0,0,0,1,3,0,0,4,0,4,2,2,3,1,0,0,4,0
Amli Khera,0,0,0,25,0,0,0,25,0,0,0,0,4,21,0,0,25,9,16,9,16,17,8,0,0,22,3
Manohar Garh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Panriya,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0,2,2,0,0,0,2,0
Baneriya Khurd,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,9,4,5,2,7,5,4,0,0,8,1
Panmodi,0,0,0,35,2,0,16,21,0,0,0,0,10,27,0,0,37,14,23,18,19,31,6,0,0,32,5
Amlawad,0,0,0,3,0,0,0,3,0,0,0,0,1,2,0,0,3,1,2,1,2,3,0,0,0,3,0
Bamotar,0,0,0,34,0,0,0,34,0,0,0,1,6,27,0,0,34,20,14,25,9,31,3,0,0,31,3
Khatori,0,0,0,11,0,0,9,2,0,0,0,0,1,10,0,0,11,0,11,0,11,8,3,0,0,11,0
Kherot,0,0,0,24,0,0,23,1,0,0,0,0,2,22,0,0,24,0,24,1,23,20,4,0,0,23,1
RAGHNATHPURA,0,0,0,2,18,0,0,19,1,0,0,4,8,8,0,0,20,0,20,14,6,18,2,0,0,14,6
Kamliya,0,0,0,3,0,0,0,3,0,0,0,0,2,1,0,0,3,3,0,3,0,3,0,0,0,3,0
Sidhpura,0,0,0,11,0,0,0,11,0,0,0,1,5,5,0,0,11,7,4,9,2,11,0,0,0,11,0
Jhasri,0,0,0,7,0,0,5,2,0,0,0,0,2,5,0,0,7,7,0,5,2,7,0,0,0,7,0
Gandher,0,0,0,10,0,0,10,0,0,0,0,1,3,6,0,0,10,8,2,7,3,10,0,0,0,10,0
Sohanpur,0,0,0,17,0,0,8,9,0,0,0,0,3,14,0,0,17,16,1,15,2,17,0,0,0,17,0
Belara,0,0,0,10,0,0,2,8,0,0,0,0,7,3,0,0,10,4,6,9,1,10,0,0,0,10,0
Belari,0,0,0,5,0,0,2,3,0,0,0,1,3,1,0,0,5,4,1,3,2,5,0,0,0,5,0
Sodalpuriya,0,0,0,5,0,0,2,3,0,0,0,0,4,1,0,0,5,5,0,5,0,5,0,0,0,5,0
Barkheri,0,0,0,2,14,0,11,5,0,0,0,0,2,14,0,0,16,15,1,5,11,16,0,0,0,16,0
Akhepur,0,0,0,10,11,0,12,9,0,0,0,0,6,15,0,0,21,20,1,15,6,21,0,0,0,21,0
Karyawad,0,0,0,7,0,0,6,1,0,0,0,0,6,1,0,0,7,7,0,5,2,7,0,0,0,7,0
Maje Sariya Chhota,0,0,0,7,0,0,0,7,0,0,0,0,5,2,0,0,7,7,0,7,0,7,0,0,0,7,0
Bori,0,0,0,10,0,0,0,9,1,0,0,2,5,3,0,0,10,10,0,10,0,10,0,0,0,10,0
Kariyawad,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,2,2,0,1,1,2,0,0,0,2,0
Bhunwasiya,0,0,0,6,0,0,0,6,0,0,0,1,3,2,0,0,6,5,1,6,0,6,0,0,0,6,0
Kulthana,0,0,0,5,0,0,1,4,0,0,0,1,2,2,0,0,5,2,3,1,4,5,0,0,0,5,0
Selarpura Khurd,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,4,4,0,3,1,4,0,0,0,4,0
Keet Kheri,0,0,0,4,0,0,4,0,0,0,0,0,3,1,0,0,4,3,1,3,1,4,0,0,0,4,0
Ghotarsi,0,0,0,4,0,0,1,3,0,0,0,0,0,4,0,0,4,4,0,2,2,4,0,0,0,4,0
Theekariya,0,0,0,8,0,0,1,7,0,0,0,0,0,8,0,0,8,3,5,3,5,6,2,0,0,8,0
Barodiya,0,0,0,3,2,0,0,5,0,0,0,0,2,3,1,0,4,4,1,4,1,5,0,0,0,5,0
Sekri,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
Umar Kheri,0,0,0,18,0,0,1,17,0,0,0,0,9,9,0,0,18,17,1,2,16,18,0,0,0,17,1
Basera,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,0,2,0,0,0,2,0
Karadiya,0,0,0,4,3,0,4,3,0,0,0,0,1,6,0,0,7,2,5,6,1,7,0,0,0,7,0
Barotha,0,0,0,7,0,0,7,0,0,0,0,0,5,2,0,0,7,4,3,2,5,7,0,0,0,7,0
Rajpuriya,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,0,2,0,0,0,2,0
Pratappura,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,2,0,2,2,0,0,0,2,0
Mokhampura,0,0,0,4,3,0,2,5,0,0,0,0,0,7,0,0,7,5,2,6,1,7,0,0,0,6,1
Awleshwar,0,0,0,27,2,0,5,24,0,0,0,0,16,13,0,0,29,21,8,15,14,29,0,0,0,29,0
Gardori,0,0,0,3,3,0,3,3,0,0,0,0,4,2,0,0,6,3,3,5,1,6,0,0,0,6,0
Jaswant Pura,0,0,0,14,5,0,5,14,0,0,0,0,7,12,0,0,19,15,4,9,10,19,0,0,0,17,2
Takrawad,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,2,1,1,1,1,2,0,0,0,2,0
Bhanawada,0,0,0,6,0,0,0,6,0,0,0,0,3,3,0,0,6,5,1,2,4,6,0,0,0,6,0
Asawata,0,0,0,6,1,0,1,6,0,0,0,1,6,0,0,0,7,6,1,3,4,7,0,0,0,7,0
Arniya,0,0,0,6,0,0,2,4,0,0,0,0,2,4,0,0,6,6,0,0,6,6,0,0,0,6,0
Dhanesari,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,2,0,1,1,2,0,0,0,2,0
Rajora,0,0,0,3,0,0,0,3,0,0,0,0,1,2,0,0,3,2,1,2,1,3,0,0,0,3,0
Dewad,0,0,0,3,3,0,5,1,0,0,0,0,4,2,0,0,6,1,5,5,1,6,0,0,0,6,0
Seengpuriya,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,0,2,0
Kalyanpura,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,2,1,1,1,1,2,0,0,0,2,0
Hatuniya,0,0,0,21,4,0,4,21,0,0,0,1,6,18,0,0,25,21,4,15,10,25,0,0,0,25,0
Kachnara,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Karmadi Khera,0,0,0,34,3,0,21,16,0,0,0,1,19,17,0,0,37,25,12,31,6,37,0,0,0,36,1
Basad,0,0,0,23,1,0,18,6,0,0,0,0,10,14,0,0,24,18,6,14,10,24,0,0,0,21,3
Dabra,0,0,0,22,4,0,15,11,0,0,0,0,14,12,0,0,26,21,5,15,11,26,0,0,0,26,0
Achalpuriya,0,0,0,10,1,0,5,6,0,0,0,0,6,5,0,0,11,8,3,6,5,11,0,0,0,11,0
Bari,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Cheniya Kheri,0,0,0,8,5,0,10,3,0,0,0,0,6,7,0,0,13,6,7,7,6,13,0,0,0,12,1
Samli Phatar,0,0,0,13,0,0,10,3,0,0,0,0,5,8,0,0,13,8,5,6,7,13,0,0,0,13,0
Pyar Ji Ka Pathar,0,0,0,9,0,0,5,4,0,0,0,0,4,5,0,0,9,7,2,6,3,9,0,0,0,9,0
