village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gyalshing,1,85,14,60,40,0,22,74,4,99,1,24,68,8,0,57,43,100,0,99,1,100,0,2,98,100,0
Darap,0,118,37,92,63,0,51,100,4,153,2,24,109,22,0,103,52,155,0,155,0,155,0,4,151,155,0
Nambu,2,49,7,35,22,1,20,37,1,57,1,11,41,5,0,35,23,58,0,57,1,58,0,2,56,58,0
Omchung,0,14,1,6,9,0,6,9,0,15,0,3,12,0,0,10,5,15,0,15,0,15,0,0,15,15,0
Tikjya,0,25,3,16,12,0,9,19,0,28,0,5,23,0,0,19,9,28,0,28,0,28,0,2,26,28,0
Lingchom,0,29,4,15,18,0,14,19,0,33,0,7,25,1,0,23,10,33,0,33,0,33,0,0,33,33,0
Sindrangbong,0,11,2,7,6,0,4,8,1,13,0,1,12,0,0,10,3,13,0,12,1,13,0,1,12,13,0
Yangthang,0,42,15,33,24,0,23,32,2,57,0,21,28,8,0,37,20,57,0,57,0,57,0,12,45,57,0
Kyongsa,0,61,15,42,34,0,31,39,6,74,2,12,56,7,0,50,26,76,0,76,0,76,0,6,70,76,0
Singyang,0,23,4,19,8,0,8,18,1,27,0,4,19,4,0,16,11,27,0,27,0,27,0,0,27,27,0
Naku,0,27,3,14,16,0,8,21,1,30,0,8,19,3,0,21,9,30,0,30,0,30,0,0,30,30,0
Yangten,0,14,4,11,6,1,4,13,1,18,0,3,12,3,0,13,5,18,0,18,0,18,0,0,18,18,0
Unglok,0,36,6,24,18,0,10,30,2,42,0,8,32,2,0,26,16,42,0,42,0,42,0,0,42,42,0
Bhaluthang,0,23,5,17,7,4,4,24,0,28,0,6,15,7,0,19,9,28,0,28,0,28,0,0,28,28,0
Chumbung,0,20,7,14,13,0,10,17,0,27,0,1,24,2,0,15,12,27,0,27,0,27,0,0,27,27,0
Sindrang,0,13,0,6,7,0,6,7,0,13,0,1,11,1,0,10,3,13,0,13,0,13,0,0,13,13,0
