village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mamring,0,3,6,4,5,0,7,2,0,7,2,9,0,0,0,2,7,7,2,9,0,9,0,7,2,3,6
Pamphok,2,35,60,80,17,0,50,46,1,95,2,94,2,1,0,31,66,52,45,94,3,97,0,73,24,37,60
Turung,0,31,50,65,16,0,79,2,0,81,0,79,2,0,0,31,50,50,31,78,3,81,0,60,21,32,49
Rameng,0,7,13,19,1,0,20,0,0,20,0,17,1,2,0,5,15,11,9,20,0,20,0,19,1,12,8
Maneydara,0,1,1,1,1,0,1,1,0,1,1,2,0,0,0,1,1,2,0,1,1,2,0,1,1,2,0
Donak,0,9,11,20,0,0,4,15,1,20,0,20,0,0,0,8,12,8,12,20,0,20,0,15,5,6,14
Barul,0,11,9,14,6,0,0,19,1,20,0,20,0,0,0,7,13,6,14,20,0,20,0,15,5,9,11
Nizrameng,0,24,36,44,16,0,23,34,3,58,2,59,1,0,0,25,35,31,29,58,2,60,0,42,18,31,29
Perbing,0,26,35,52,9,0,61,0,0,61,0,60,1,0,0,29,32,31,30,61,0,61,0,50,11,24,37
Chuba,0,6,9,15,0,0,15,0,0,15,0,15,0,0,0,7,8,15,0,14,1,15,0,13,2,6,9
Phong,0,5,10,15,0,0,15,0,0,15,0,15,0,0,0,5,10,14,1,15,0,15,0,15,0,7,8
