village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kurubarapalli,0,0,3,3,0,0,0,3,0,3,0,0,1,2,0,0,3,3,0,3,0,3,0,3,0,3,0
Kundarapalli,0,0,101,79,21,1,46,39,16,101,0,2,14,85,2,0,99,101,0,95,6,101,0,101,0,101,0
Ragimakanapalli,0,0,99,94,5,0,8,16,75,99,0,3,6,90,5,0,94,99,0,96,3,99,0,99,0,99,0
Marachandiram,0,0,100,27,23,50,1,22,77,100,0,20,12,68,21,0,79,100,0,94,6,99,1,100,0,100,0
Beemandapalli,0,0,100,25,55,20,4,27,69,100,0,3,5,92,2,0,98,100,0,98,2,100,0,100,0,100,0
Nallur,0,0,98,72,23,3,33,35,30,98,0,14,13,71,1,2,95,97,1,94,4,98,0,98,0,98,0
Kariyasagaramthalav,0,0,100,54,32,14,48,41,11,100,0,2,13,85,0,0,100,100,0,100,0,100,0,100,0,100,0
Pannapalli,0,0,99,85,12,2,2,60,37,98,1,2,17,80,1,0,98,97,2,95,4,99,0,99,0,99,0
Balanapalli,0,0,100,72,25,3,49,22,29,100,0,7,18,75,0,0,100,100,0,100,0,100,0,100,0,100,0
Kondappanayanapalli,0,0,99,89,9,1,36,51,12,99,0,2,7,90,4,1,94,99,0,93,6,99,0,99,0,99,0
