village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kuvalaiveli,0,0,80,2,60,18,75,5,0,70,10,0,0,80,1,0,79,78,2,32,48,77,3,49,31,80,0
Senthattiendal,0,0,101,19,53,29,92,7,2,93,8,0,1,100,0,1,100,101,0,25,76,99,2,69,32,100,1
Kilangattur,0,0,100,5,54,41,68,32,0,58,42,0,0,100,53,0,47,84,16,15,85,99,1,66,34,79,21
Vilathur,0,0,104,43,50,11,23,56,25,84,20,0,0,104,3,0,101,104,0,13,91,104,0,102,2,104,0
Thamaraikudi,0,0,95,0,55,40,49,46,0,53,42,0,0,95,22,1,72,86,9,17,78,88,6,54,41,88,7
Soorakulam,0,0,88,8,58,22,80,7,1,65,23,1,1,86,15,2,71,83,5,21,67,78,10,79,9,87,1
Perumbacheri,0,0,53,1,41,11,30,23,0,53,0,0,0,53,0,0,53,53,0,24,29,53,0,48,5,53,0
Melanettur,0,0,100,4,60,36,81,19,0,84,16,0,9,91,18,0,82,97,3,10,90,98,1,56,44,93,7
Manamadurai,0,0,2,0,2,0,0,2,0,2,0,0,0,2,1,0,1,2,0,2,0,2,0,2,0,2,0
Puliyankulam,2,0,98,1,27,72,54,45,1,66,34,0,1,99,26,0,74,100,0,12,88,100,0,36,64,99,1
