village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Banduvarpatti,1,0,99,0,12,88,26,72,2,28,72,0,0,100,29,0,71,0,100,50,49,100,0,12,88,96,4
D.Chinnodaipatti,0,0,24,0,0,24,24,0,0,0,24,0,0,24,6,0,18,0,24,12,12,24,0,14,10,22,2
Subramaniyapuram,0,0,14,2,7,5,14,0,0,14,0,0,0,14,0,1,12,0,14,0,14,14,0,14,0,14,0
Peddureddipatti,0,0,149,1,50,98,111,35,3,98,51,1,0,148,46,0,103,0,149,102,46,145,4,132,17,148,1
Othaiyal Mettupatti,1,0,99,0,0,100,17,81,2,4,96,0,0,100,100,0,0,11,89,2,98,91,9,69,31,100,0
Chinnagollapatti,0,0,100,1,82,17,100,0,0,99,1,0,2,97,16,0,84,3,97,1,99,100,0,98,2,99,1
Perayyampatti,0,0,100,16,35,49,94,5,1,57,43,0,0,100,5,0,95,12,88,26,73,100,0,22,78,99,1
Padandal (CT),0,0,100,0,1,99,73,21,6,6,94,0,1,99,92,0,8,13,87,44,56,100,0,82,18,100,0
Madamchinnodaipatti,0,0,27,0,0,27,27,0,0,0,27,0,0,27,12,0,15,0,27,15,12,25,2,15,12,26,1
Melamadai,0,0,100,59,27,14,100,0,0,85,15,0,0,100,3,0,97,16,84,14,86,29,71,31,69,40,60
