village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Loharkhet,0,0,0,32,81,89,25,66,111,186,16,72,91,39,0,0,202,200,2,190,12,202,0,185,17,201,1
Panaura,0,0,0,25,21,3,49,0,0,44,5,28,18,3,0,0,49,49,0,49,0,49,0,49,0,49,0
Utaraura,0,0,0,14,32,2,47,1,0,45,3,42,6,0,0,0,48,48,0,47,1,48,0,48,0,48,0
Supi,0,1,1,187,142,22,232,44,76,296,55,293,41,17,0,0,352,344,7,339,13,351,1,346,6,347,5
Badiyakot,0,0,0,133,51,16,156,44,0,183,17,196,4,0,2,0,197,199,1,197,3,200,0,200,0,200,0
Ason,0,0,0,62,10,6,39,31,8,78,0,77,1,0,0,0,78,76,2,78,0,76,2,78,0,76,2
Sumti,0,0,0,2,3,0,3,0,2,4,1,4,0,1,0,0,5,5,0,5,0,5,0,5,0,5,0
Wachham,0,0,0,22,1,1,24,0,0,22,2,23,1,0,0,0,24,24,0,23,1,24,0,24,0,24,0
Simgari,0,0,0,3,36,74,3,110,0,103,10,113,0,0,0,0,113,113,0,106,7,113,0,111,2,113,0
Kuroli,0,0,1,9,62,36,14,58,35,99,8,103,4,0,0,0,107,105,2,104,3,107,0,99,8,106,1
Majkhet,0,0,1,9,54,46,59,31,19,97,12,104,4,1,0,0,109,104,5,107,2,108,1,109,0,107,2
Sama,0,0,0,8,122,71,16,184,1,172,29,200,1,0,1,0,200,200,1,196,5,201,0,198,3,201,0
Aithar,0,0,0,81,74,23,48,127,3,149,29,169,3,6,0,1,177,169,9,177,0,176,1,176,2,175,3
Bamsera,0,0,0,6,4,0,4,6,0,9,1,9,1,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Syunigaon,0,0,0,8,4,2,11,3,0,14,0,14,0,0,0,0,14,14,0,14,0,14,0,14,0,14,0
Bisha Jajari,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Dayali,0,0,1,6,17,18,6,19,16,34,7,41,0,0,0,0,41,41,0,40,1,41,0,41,0,41,0
Wafilagaon Malla,0,0,1,5,23,5,10,13,10,32,1,28,5,0,0,0,33,33,0,33,0,33,0,32,1,33,0
