village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jamuwa,0,0,0,48,6,0,54,0,0,43,11,54,0,0,0,0,54,0,,54,0,54,0,54,0,48,6,54,0
Kwarana,0,0,0,57,9,0,2,64,0,12,54,52,14,0,0,0,66,0,,66,0,66,0,65,1,50,16,66,0
Hajta,0,0,0,117,9,0,80,46,0,102,24,126,0,0,0,0,126,0,,126,0,126,0,126,0,102,24,126,0
Naraya,0,0,0,116,14,0,20,110,0,114,16,125,5,0,0,0,130,0,,130,0,130,0,130,0,76,54,113,17
Sakani,0,0,0,64,8,0,72,0,0,26,46,72,0,0,0,0,72,0,,72,0,72,0,72,0,58,14,72,0
Rupau,0,0,0,76,9,0,84,1,0,30,55,85,0,0,0,0,85,0,,85,0,84,1,85,0,72,13,85,0
Pihani,0,0,0,46,8,0,53,0,1,21,33,53,0,1,0,0,54,0,,54,0,53,1,54,0,47,7,54,0
Khari,0,0,0,30,13,0,8,35,0,0,43,43,0,0,0,0,43,0,,43,0,43,0,43,0,36,7,43,0
Suryo,0,0,0,106,8,0,114,0,0,42,72,114,0,0,0,0,114,0,,114,0,114,0,114,0,92,22,114,0
Timara,0,0,0,52,7,0,59,0,0,18,41,59,0,0,0,0,59,0,,59,0,59,0,59,0,49,10,59,0
Jadana,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Jaindau,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Hamarau,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
