village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jashaikati,0,21,25,22,14,10,1,32,13,13,33,5,15,26,0,0,46,0,,46,0,15,31,46,0,12,34,40,6
Joypur,2,3,4,7,2,0,1,6,2,2,7,4,0,5,0,0,9,1,,6,3,2,7,9,0,7,2,6,3
Kirttipur,0,4,13,8,7,2,2,14,1,3,14,0,4,13,0,0,17,0,,17,0,12,5,17,0,1,16,17,0
Kulia,0,24,18,20,14,8,5,28,9,11,31,6,17,19,0,0,42,0,,42,0,17,25,42,0,19,23,25,17
Gokna,0,19,9,10,13,5,2,21,5,11,17,1,19,8,0,0,28,0,,28,0,14,14,28,0,27,1,27,1
Chandpur,0,4,3,1,4,2,1,5,1,3,4,2,3,2,0,0,7,0,,7,0,6,1,7,0,2,5,6,1
Hugle,0,7,1,3,3,2,0,4,4,1,7,2,5,1,0,0,8,0,,8,0,1,7,8,0,1,7,5,3
Ramchandrapur,0,17,27,29,10,5,1,36,7,11,33,3,15,26,0,5,39,0,,43,1,23,21,44,0,8,36,33,11
Atlia,0,6,1,6,1,0,3,4,0,1,6,1,5,1,0,0,7,0,,7,0,1,6,7,0,2,5,1,6
Piyara,0,25,9,15,16,3,7,20,7,10,24,12,15,7,0,0,34,0,,34,0,11,23,34,0,4,30,34,0
Naturia,0,25,12,13,21,3,3,30,4,12,25,4,21,12,0,0,37,0,,37,0,9,28,37,0,5,32,37,0
Maleapur,0,30,4,23,5,6,15,19,0,3,31,22,9,3,0,0,34,0,,34,0,4,30,32,0,10,24,31,3
Jangalpur,0,16,4,13,5,2,8,11,1,7,13,9,5,6,0,0,20,0,,20,0,16,4,20,0,8,12,19,1
Pingaleswar,0,15,3,14,3,1,5,11,2,5,13,13,1,4,0,0,18,0,,18,0,15,3,18,0,6,12,18,0
Aturia,0,20,23,12,17,14,5,15,23,24,19,9,11,23,0,0,43,0,,43,0,7,36,42,0,2,41,42,1
Sayestanagar,0,53,6,45,10,4,7,48,4,23,36,22,31,6,0,0,59,0,,59,0,7,52,59,0,7,52,59,0
Magurali,0,3,0,1,2,0,2,0,1,1,2,1,2,0,0,0,3,0,,3,0,0,3,3,0,0,3,3,0
Labanga,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Gandharbbapur,0,30,27,16,27,14,3,39,15,37,20,4,29,24,0,0,57,1,,57,0,21,36,57,0,26,31,56,1
Punra (P),0,18,19,7,13,17,3,22,12,14,23,6,11,20,0,0,37,0,,37,0,13,24,37,0,3,34,37,0
Paschim Jaynagar,0,15,1,16,0,0,5,11,0,6,10,14,1,1,0,1,15,0,,16,0,1,15,16,0,0,16,16,0
Kefayetkati,0,16,3,16,2,1,7,10,2,6,13,8,8,3,0,0,19,0,,19,0,2,17,19,0,9,10,18,1
Panji,0,4,2,5,1,0,1,4,1,2,4,2,2,2,0,0,6,0,,6,0,5,1,6,0,5,1,6,0
Narayanpur,0,4,2,5,0,1,3,2,1,1,5,2,4,0,0,0,6,0,,5,1,0,6,5,0,1,5,6,0
Purba Jaynagar,0,32,24,16,31,9,9,35,12,30,26,3,30,23,0,0,56,3,,56,0,17,39,56,0,2,54,56,0
Jadurhati,1,11,1,9,4,0,1,8,4,2,11,4,8,1,0,0,13,0,,13,0,6,7,13,0,13,0,13,0
Safirebad,0,6,3,3,5,1,0,6,3,4,5,3,3,3,0,0,9,0,,9,0,5,4,9,0,2,7,9,0
Rajbaria,0,11,3,9,4,1,2,11,1,3,11,1,11,2,0,0,14,0,,14,0,7,7,14,0,14,0,14,0
Uttar Diara,0,15,2,1,7,9,0,11,6,8,9,0,15,2,0,0,17,0,,17,0,6,11,17,0,15,2,17,0
Magurati Shrirampur,0,20,7,2,11,14,2,19,6,14,13,2,19,6,0,0,27,0,,27,0,5,22,27,0,21,6,27,0
Bajitpur,0,0,3,0,1,2,0,3,0,1,2,0,0,3,0,0,3,0,,3,0,1,2,3,0,1,2,3,0
Fatullapur,0,53,49,35,49,18,7,79,16,38,64,6,37,59,0,0,102,6,,102,0,59,43,102,0,40,62,102,0
Khamarpara,0,10,3,1,6,6,0,8,5,9,4,4,6,3,0,0,13,0,,13,0,2,11,13,0,4,9,13,0
Raghunathpur,0,4,3,2,1,4,2,4,1,4,3,0,4,3,0,0,7,0,,7,0,4,3,7,0,4,3,7,0
Padmapukur,0,3,0,2,1,0,1,1,1,2,1,0,2,1,0,0,3,0,,3,0,1,2,3,0,1,2,3,0
Serpur,0,21,5,8,9,9,0,23,3,6,20,0,20,6,0,0,26,0,,26,0,20,6,26,0,24,2,26,0
Media,0,6,15,7,8,6,0,19,2,6,15,0,7,14,0,0,21,0,,21,0,12,9,21,0,8,13,21,0
Agapur,0,3,3,0,3,3,0,6,0,3,3,0,2,4,0,0,6,0,,6,0,3,3,6,0,6,0,6,0
Jagannathpur,0,15,9,2,4,18,1,22,1,8,16,0,15,9,0,0,24,0,,24,0,9,15,24,0,23,1,24,0
