village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kashipur (K),0,30,0,28,2,0,15,15,0,1,29,29,1,0,0,4,26,24,,30,0,21,9,30,0,21,9,30,0
Gumki (K),3,12,4,19,0,0,11,8,0,0,19,12,5,2,0,11,8,2,,19,0,1,18,19,0,13,6,19,0
Khordasadashibpur (K),1,4,5,10,0,0,6,4,0,0,10,4,3,3,0,5,5,0,,9,1,1,9,10,0,4,6,10,0
Chaugharia (K),1,3,2,4,0,2,5,1,0,2,4,2,2,2,0,2,4,2,,6,0,1,5,6,0,3,3,6,0
Khordda Ratneshwarpur (M),2,2,3,7,0,0,3,4,0,0,7,4,3,0,0,1,6,2,,7,0,2,5,7,0,6,1,7,0
Purba Bishnupur (M) (CT),2,16,6,24,0,0,12,12,0,1,23,14,7,3,0,2,22,3,,23,1,3,21,24,0,13,11,24,0
Tekpanza (M),3,11,6,20,0,0,5,13,2,0,20,12,4,4,0,4,16,10,,19,1,1,19,20,0,11,9,18,2
Mallikpratap (M),2,17,3,22,0,0,12,10,0,0,22,18,3,1,0,7,15,9,,22,0,5,17,22,0,12,10,22,0
Ramnathpur (K),1,3,1,5,0,0,2,3,0,0,5,4,0,1,0,3,2,0,,5,0,1,4,5,0,4,1,5,0
Dulalpur (K),5,22,3,30,0,0,18,12,0,2,28,23,5,2,0,10,20,5,,30,0,4,26,30,0,12,18,30,0
Durlavpur (K),0,4,1,5,0,0,0,5,0,0,5,4,1,0,0,1,4,0,,5,0,3,2,5,0,3,2,5,0
Purba Gopalnagar (K),0,15,1,16,0,0,3,13,0,0,16,12,4,0,0,4,12,0,,16,0,5,11,15,1,12,4,16,0
Uttar Jagadeishpur (K),1,9,0,10,0,0,5,5,0,0,10,8,2,0,0,4,6,0,,10,0,2,8,10,0,6,4,10,0
Bansberia Zafarpur (K),1,4,0,5,0,0,4,1,0,0,5,5,0,0,0,2,3,2,,5,0,3,2,5,0,5,0,5,0
Uttar Ballabhpur (K),0,10,0,10,0,0,1,9,0,0,10,10,0,0,0,8,2,0,,10,0,5,5,10,0,9,1,10,0
Kalinga (K),0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Achina (K),0,2,3,5,0,0,4,1,0,0,5,2,1,2,0,3,2,0,,5,0,0,5,5,0,3,2,5,0
