village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sahebpur (CT),0,44,0,40,4,0,31,13,0,44,0,0,44,0,0,20,24,44,0,43,1,44,0,36,8,30,14
Kalikapur (CT),0,14,0,13,1,0,14,0,0,14,0,2,12,0,0,11,3,14,0,13,1,14,0,13,1,14,0
Danga (CT),0,30,0,30,0,0,29,1,0,30,0,0,30,0,0,23,7,30,0,30,0,30,0,24,6,9,21
Radhanagar (CT),0,35,0,29,6,0,27,8,0,30,5,0,35,0,0,5,30,35,0,33,2,35,0,24,11,25,10
Jafarpur,0,11,0,7,4,0,2,9,0,11,0,0,11,0,0,1,10,11,0,11,0,11,0,7,4,9,2
Andharia,9,5,0,13,1,0,12,2,0,4,10,13,1,0,0,0,14,14,0,2,12,14,0,14,0,14,0
Baruli,0,36,0,30,6,0,8,28,0,36,0,0,36,0,0,6,30,36,0,36,0,36,0,31,5,34,2
Dingelpota,0,38,0,37,1,0,33,5,0,38,0,1,37,0,0,27,11,38,0,35,3,38,0,32,6,38,0
Banhugli,0,76,0,71,5,0,32,44,0,76,0,8,68,0,0,26,50,76,0,73,3,76,0,62,14,66,10
Joykrishnapur Chairi,0,28,0,27,1,0,27,1,0,28,0,1,27,0,0,24,4,28,0,28,0,28,0,24,4,14,14
Gopal Pur,0,13,0,13,0,0,3,10,0,0,13,11,2,0,0,0,13,13,0,1,12,13,0,2,11,13,0
Gangajora,0,7,0,7,0,0,5,2,0,6,1,0,7,0,0,4,3,7,0,7,0,7,0,7,0,7,0
Tardaha,0,24,0,24,0,0,9,15,0,23,1,2,22,0,0,0,24,24,0,23,1,24,0,7,17,19,5
Goalapota,0,4,0,4,0,0,1,3,0,4,0,0,4,0,0,0,4,4,0,4,0,4,0,1,3,2,2
Kheadaha,0,37,0,37,0,0,8,29,0,36,1,2,35,0,0,0,37,37,0,33,4,37,0,11,26,28,9
Deara,0,28,0,22,6,0,13,15,0,28,0,2,26,0,0,0,28,28,0,28,0,28,0,24,4,23,5
Ranabhutia,0,20,0,17,3,0,13,7,0,20,0,5,15,0,0,7,13,20,0,20,0,20,0,18,2,13,7
Chak Baria (CT),0,28,0,18,10,0,11,17,0,28,0,2,26,0,0,14,14,28,0,28,0,28,0,17,11,19,9
Raypur,0,30,0,29,1,0,19,11,0,29,1,0,30,0,0,11,19,30,0,30,0,30,0,19,11,21,9
Kharigoda,0,30,0,24,6,0,24,6,0,29,1,0,30,0,0,17,13,30,0,30,0,30,0,18,12,29,1
Jardaha,0,31,0,26,5,0,7,24,0,29,2,1,30,0,0,9,22,31,0,31,0,31,0,24,7,21,10
Natagachhi,0,32,0,28,4,0,20,12,0,32,0,1,31,0,0,18,14,32,0,29,3,32,0,24,8,25,7
Jaynagar,0,10,0,10,0,0,10,0,0,10,0,0,10,0,0,6,4,10,0,10,0,10,0,10,0,10,0
Bamangachhi,0,46,0,37,9,0,4,42,0,46,0,1,45,0,0,2,44,46,0,44,2,46,0,41,5,46,0
Sri Krishnapur,0,6,0,3,3,0,2,4,0,6,0,0,6,0,0,0,6,6,0,6,0,6,0,3,3,6,0
Hogalkuria,0,20,0,14,6,0,19,1,0,20,0,0,20,0,0,17,3,20,0,20,0,20,0,20,0,15,5
Hasanpur,0,8,0,7,1,0,6,2,0,8,0,0,8,0,0,5,3,8,0,8,0,8,0,5,3,7,1
Khurigochhi,0,22,0,19,3,0,16,6,0,22,0,1,21,0,0,2,20,22,0,22,0,22,0,18,4,15,7
Chandpur,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Dihi,0,20,0,20,0,0,19,1,0,19,1,0,20,0,0,1,19,20,0,15,5,20,0,19,1,17,3
Nayabad,0,3,0,3,0,0,0,3,0,2,1,0,3,0,0,0,3,3,0,3,0,3,0,0,3,3,0
Tihuria,0,25,0,20,5,0,6,19,0,23,2,4,21,0,0,0,25,25,0,23,2,25,0,6,19,17,8
Kumar Pukuria,0,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Kharki,0,3,0,1,1,1,2,1,0,3,0,0,3,0,0,2,1,3,0,3,0,3,0,3,0,3,0
Bhagabanpur,0,11,0,10,1,0,2,9,0,11,0,1,10,0,0,0,11,11,0,11,0,11,0,9,2,6,5
Kantipota,0,28,0,26,2,0,12,16,0,28,0,0,28,0,0,6,22,28,0,28,0,28,0,24,4,23,5
Atghara,0,7,0,6,1,0,0,7,0,7,0,1,6,0,0,0,7,7,0,7,0,7,0,4,3,4,3
Jagatipata,0,6,0,6,0,0,1,5,0,6,0,2,4,0,0,0,6,6,0,6,0,6,0,6,0,5,1
Gobindapur,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Radhaballavpur,0,2,0,1,1,0,1,1,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Raghunathpur,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
