village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bara Rampur,0,3,0,0,3,0,0,0,3,3,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Raidihi,0,2,0,1,1,0,1,0,1,2,0,1,1,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Shua Basa,0,9,0,3,5,1,0,7,2,9,0,4,5,0,0,0,9,0,,9,0,9,0,9,0,9,0,9,0
Khajuri,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Sagarya,0,7,1,3,4,1,2,3,3,7,1,7,0,1,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Lachhmanpur,0,20,1,5,11,5,10,7,4,21,0,14,5,2,0,0,21,0,,21,0,19,2,21,0,21,0,21,0
Jenadihi,0,8,1,3,6,0,1,6,2,9,0,7,1,1,0,0,9,0,,9,0,9,0,9,0,9,0,9,0
Deuli,0,14,2,6,10,0,0,15,1,16,0,11,5,0,0,0,16,0,,16,0,15,1,16,0,15,1,16,0
Nadihi,0,9,0,1,7,1,1,6,2,9,0,4,5,0,0,0,9,0,,9,0,9,0,9,0,9,0,9,0
Chururi,0,17,0,5,12,0,1,15,1,17,0,13,3,1,0,1,16,0,,17,0,17,0,17,0,17,0,17,0
Bharadihi,0,11,1,6,5,1,2,6,4,12,0,10,1,1,0,0,12,0,,12,0,12,0,12,0,12,0,12,0
Bishinda,0,14,5,5,12,2,3,13,3,19,0,13,1,5,0,1,18,0,,19,0,19,0,19,0,19,0,19,0
Chhota Lachhipur,0,2,1,0,2,1,1,0,2,3,0,0,2,1,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Balikhun,0,8,2,2,6,2,2,4,4,10,0,5,3,2,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Ramnagar,0,7,1,7,1,0,0,7,1,2,6,3,5,0,0,4,4,0,,8,0,8,0,8,0,8,0,8,0
Jamshala,0,3,2,0,5,0,0,2,3,5,0,1,2,2,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
Tentulia Danga,0,2,0,1,1,0,0,2,0,1,1,1,1,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Kantabani,0,5,2,5,2,0,0,6,1,7,0,2,4,1,0,2,5,0,,7,0,7,0,7,0,7,0,7,0
Dandulya,0,12,3,8,7,0,0,13,2,15,0,9,4,2,0,0,15,0,,15,0,15,0,15,0,15,0,15,0
Jambedya,0,15,2,7,10,0,2,14,1,17,0,14,3,0,0,2,15,0,,17,0,17,0,17,0,17,0,17,0
Jemua,0,1,3,4,0,0,0,4,0,3,1,1,3,0,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Madhabpur,0,8,1,5,4,0,0,7,2,9,0,6,3,0,0,4,5,0,,9,0,9,0,9,0,9,0,9,0
Kenduadihi,0,2,0,1,1,0,0,2,0,2,0,2,0,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Mautara,0,11,2,6,7,0,0,10,3,11,2,6,6,1,0,1,12,0,,13,0,13,0,13,0,13,0,13,0
Ranganathpur,0,19,1,11,7,2,5,15,0,20,0,19,0,1,0,0,20,0,,20,0,20,0,20,0,20,0,20,0
Bhakta Band,0,7,1,6,2,0,1,6,1,8,0,6,2,0,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Ita Dangra,0,18,0,6,11,1,1,16,1,18,0,16,2,0,0,0,18,0,,18,0,18,0,18,0,18,0,18,0
Kudra,0,7,0,3,2,2,0,4,3,6,1,4,3,0,0,1,6,0,,7,0,7,0,7,0,7,0,7,0
Durlabhpur,0,5,2,3,4,0,0,5,2,7,0,3,3,1,0,1,6,0,,7,0,7,0,7,0,7,0,7,0
Dethol,0,9,1,3,7,0,0,7,3,8,2,4,5,1,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Ghanashyampur,0,49,4,29,23,1,0,47,6,53,0,22,30,1,0,2,51,0,,53,0,53,0,53,0,53,0,53,0
Chausal,0,5,2,4,3,0,0,6,1,7,0,4,3,0,0,0,7,0,,7,0,7,0,7,0,7,0,7,0
Dhabani,0,5,0,3,2,0,0,4,1,5,0,3,2,0,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
Barasal Srirampur,0,12,1,7,5,1,0,10,3,12,1,9,3,1,0,0,13,0,,13,0,13,0,13,0,13,0,13,0
Kamalpur,0,3,1,0,4,0,0,3,1,4,0,3,0,1,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
