village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kesaribari,0,3,4,7,0,0,1,1,5,6,1,3,1,3,0,6,1,7,0,7,0,7,0,2,5,7,0
Kajalikura,0,27,4,29,2,0,0,0,31,5,26,29,1,1,0,29,2,31,0,28,3,31,0,13,18,30,1
Petia Adabari,0,7,6,13,0,0,0,0,13,4,9,8,5,0,0,11,2,13,0,12,1,13,0,7,6,13,0
Kayeterbari,0,4,4,8,0,0,0,3,5,7,1,4,1,3,0,6,2,8,0,8,0,8,0,1,7,8,0
Padmamari,0,10,5,13,1,1,1,0,14,7,8,10,5,0,0,13,2,15,0,14,1,15,0,2,13,15,0
Nakarjan,0,2,3,5,0,0,0,5,0,4,1,2,2,1,0,5,0,5,0,5,0,5,0,0,5,5,0
Sitai,0,27,21,46,2,0,1,13,34,5,43,28,10,10,0,22,26,48,0,38,10,48,0,19,29,48,0
Bharali,0,24,28,52,0,0,1,5,46,14,38,26,13,13,0,42,10,52,0,46,6,52,0,24,28,52,0
Brahmottra Chatra,0,38,23,54,5,2,5,28,28,46,15,39,18,4,0,42,19,61,0,61,0,61,0,8,53,61,0
Gabua,0,10,23,31,2,0,5,27,1,18,15,11,17,5,0,31,2,33,0,33,0,33,0,14,19,33,0
Bara Adabari,0,2,0,2,0,0,2,0,0,1,1,2,0,0,0,2,0,2,0,2,0,2,0,1,1,2,0
Atiabari Girda Adabari,0,3,3,6,0,0,0,0,6,0,6,4,0,2,0,6,0,6,0,4,2,6,0,1,5,6,0
Bijlichatka,0,19,1,20,0,0,0,3,17,2,18,19,1,0,0,17,3,20,0,17,3,20,0,8,12,20,0
Hokayaha Adabari,0,8,5,13,0,0,0,5,8,2,11,9,4,0,0,12,1,12,1,12,1,13,0,3,10,13,0
Atharajani,0,26,13,34,3,2,1,1,37,17,22,26,10,3,0,33,6,38,1,38,1,39,0,4,35,38,1
Dhumerkhata,0,40,34,66,4,4,21,6,47,52,22,40,14,20,0,50,24,73,1,74,0,74,0,15,59,74,0
Bara Bangla,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Kismat Adabari,0,9,8,15,2,0,0,3,14,5,12,10,5,2,0,13,4,17,0,12,5,17,0,9,8,17,0
Balapukhari,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Satbhandari,0,5,8,10,2,1,12,0,1,6,7,5,5,3,0,13,0,13,0,12,1,13,0,4,9,13,0
Panikhawa,0,3,4,3,3,1,3,1,3,3,4,3,3,1,0,7,0,7,0,7,0,7,0,0,7,7,0
Chamta,0,3,2,4,1,0,4,0,1,4,1,2,2,1,0,2,3,5,0,5,0,5,0,2,3,5,0
Chhat Singimari,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
