village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Palashi,5,2,0,1,4,2,0,7,0,0,7,6,1,0,1,0,6,0,,7,0,5,2,7,0,0,7,7,0
Baicha,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Panchberya,0,1,1,1,1,0,0,0,2,0,2,0,1,1,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Jagadishpur,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Harinagerya,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kankra Shibram,1,1,1,2,1,0,1,1,1,1,2,1,1,1,0,1,2,0,,3,0,1,2,3,0,1,2,3,0
Aikola,0,1,4,1,1,3,0,1,4,1,4,0,1,4,0,0,5,0,,5,0,5,0,5,0,1,4,5,0
Chak Beochia,2,3,6,2,3,6,4,0,7,0,11,2,2,7,0,4,7,0,,11,0,9,2,11,0,0,11,11,0
Bihari Chak,0,1,1,2,0,0,0,2,0,1,1,0,1,1,0,0,2,0,,2,0,2,0,2,0,1,1,2,0
Jotharo,0,1,3,2,0,2,0,1,3,0,4,0,1,3,0,0,4,0,,4,0,2,2,4,0,0,4,4,0
Khajuri,1,10,0,9,1,1,2,9,0,7,4,1,10,0,0,1,10,1,,11,0,11,0,11,0,7,4,11,0
Malighati,0,14,5,8,6,5,6,6,7,5,14,3,7,9,0,3,16,0,,19,0,16,3,19,0,3,16,19,0
Jagul,2,10,2,3,10,1,5,7,2,5,9,4,8,2,0,3,11,0,,14,0,14,0,14,0,8,6,14,0
Srirampur,0,1,2,1,2,0,0,2,1,1,2,0,1,2,0,1,2,0,,3,0,3,0,3,0,1,2,3,0
Dandeswar,4,4,1,4,4,1,7,2,0,5,4,4,4,1,0,0,9,0,,9,0,2,7,9,0,1,8,9,0
Sijgerya,0,1,4,2,2,1,0,0,5,0,5,0,1,4,0,0,5,0,,5,0,3,2,5,0,1,4,5,0
Dabadari,0,1,1,2,0,0,0,2,0,0,2,0,1,1,0,1,1,0,,2,0,1,1,2,0,0,2,2,0
Bhunabasan,0,2,1,2,1,0,2,1,0,1,2,0,2,1,0,0,3,0,,3,0,2,1,3,0,1,2,3,0
Rasulpur,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Rampura,7,0,0,2,3,2,1,6,0,4,3,7,0,0,0,7,0,0,,7,0,4,2,7,0,1,6,7,0
Kolkuria,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Tangaishri,0,4,6,5,3,2,0,4,6,4,6,0,4,6,0,0,10,0,,10,0,8,2,10,0,3,7,10,0
Antala,0,2,0,1,0,1,1,0,1,1,1,0,2,0,0,1,1,1,,2,0,1,1,2,0,0,2,2,0
Dhobadangi,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Shyampur,1,11,6,17,1,0,4,4,10,3,15,1,5,12,0,15,3,1,,18,0,14,4,18,0,0,18,17,1
Bahadurpur,1,2,1,2,1,1,0,3,1,0,4,2,1,1,1,0,3,0,,4,0,3,1,4,0,1,3,4,0
Khasbazar,2,10,1,6,2,5,4,9,0,3,10,2,8,3,0,1,12,1,,13,0,9,4,13,0,3,10,13,0
Gayaspur,3,25,0,14,13,1,12,15,1,14,14,4,23,1,0,3,25,0,,28,0,25,3,28,0,11,17,28,0
Bishnupur,1,2,1,0,2,2,1,3,0,0,4,1,2,1,0,0,4,0,,4,0,2,2,4,0,0,4,4,0
Madhubanpur,1,5,0,5,1,0,3,3,0,4,2,1,5,0,0,1,5,0,,6,0,5,1,6,0,2,4,6,0
Bishnupur,0,42,0,36,5,1,11,31,0,35,7,2,38,2,0,3,39,1,,42,0,39,3,42,0,28,14,42,0
Bakalsa Ramnarayan,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Ananta Bar,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Chakprasad,1,5,0,0,3,3,3,2,1,0,6,1,2,3,0,3,3,1,,6,0,3,3,6,0,0,6,6,0
Gotgerya,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Radhamohanpur,2,8,0,0,6,4,1,9,0,0,10,2,6,2,0,4,6,0,,10,0,7,3,10,0,2,8,10,0
Khamra,17,43,1,1,39,21,22,39,0,0,61,21,34,6,0,1,60,0,,61,0,43,18,61,0,13,48,61,0
Raghunathpur,0,2,0,0,1,1,0,2,0,0,2,1,0,1,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Jalimanda,4,24,0,0,21,7,11,17,0,0,28,5,22,1,0,0,28,0,,28,0,22,6,28,0,4,24,28,0
Kumarsanda,4,8,0,6,4,2,4,8,0,6,6,6,6,0,0,6,6,0,,12,0,10,2,12,0,10,2,12,0
Singargar,1,1,0,0,2,0,0,2,0,0,2,1,1,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Bankakul,4,18,0,13,6,3,9,12,1,10,12,5,17,0,1,6,15,2,,22,0,18,4,22,0,15,7,22,0
Pandat,2,13,0,6,7,2,7,7,1,4,11,3,12,0,0,1,14,0,,15,0,12,3,15,0,10,5,15,0
Baguyan,3,13,0,9,5,2,5,11,0,9,7,4,12,0,0,2,14,0,,16,0,15,1,16,0,13,3,16,0
Talbandi,1,5,0,0,6,0,1,5,0,1,5,0,6,0,0,1,5,0,,6,0,5,1,6,0,4,2,6,0
Bhagabanpur,1,9,0,6,3,1,2,7,1,6,4,1,9,0,0,3,7,1,,10,0,9,1,10,0,4,6,10,0
Ajodhyapur,2,9,0,6,3,2,3,8,0,5,6,3,8,0,0,3,8,0,,11,0,10,1,11,0,5,6,11,0
Dharmangadpur,1,4,0,2,3,0,2,3,0,0,5,1,3,1,0,0,5,0,,5,0,3,2,5,0,4,1,5,0
Srirampur,24,27,1,4,44,4,25,27,0,6,46,26,23,3,0,5,47,0,,52,0,46,6,52,0,11,41,52,0
Bharatpur,2,7,0,6,2,1,0,8,1,5,4,2,7,0,0,1,8,1,,9,0,8,1,8,0,9,0,9,0
Turia,9,34,1,0,44,0,41,3,0,0,44,13,26,5,0,0,44,0,,44,0,34,10,44,0,40,4,44,0
Patna,0,3,0,0,2,1,2,1,0,0,3,1,2,0,0,1,2,0,,3,0,3,0,3,0,2,1,3,0
Dingal,5,23,1,0,27,2,26,3,0,0,29,6,20,3,0,0,29,0,,29,0,20,9,29,0,22,7,29,0
Kishorpur,9,17,0,10,12,4,10,16,0,11,15,10,16,0,0,6,20,2,,26,0,23,3,26,0,10,16,26,0
Sundarpur,8,17,2,0,26,1,25,2,0,0,27,9,13,5,0,0,27,0,,27,0,22,5,27,0,25,2,27,0
Padima,8,30,9,0,45,2,22,22,3,1,46,13,17,17,0,3,44,1,,47,0,39,8,47,0,33,14,47,0
Nandeshwar,1,2,0,1,2,0,1,1,1,1,2,2,1,0,0,0,3,0,,2,1,1,2,3,0,2,1,3,0
Amdanagar,0,2,0,0,1,1,1,0,1,0,2,1,1,0,0,0,2,0,,2,0,2,0,2,0,1,1,2,0
Mirjjapur,2,2,0,2,2,0,1,3,0,2,2,2,2,0,0,2,2,0,,4,0,4,0,4,0,3,1,4,0
Chak Saora,1,3,2,0,6,0,2,4,0,0,6,1,3,2,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Hijalda,27,16,0,0,42,1,24,19,0,1,42,29,13,1,0,0,43,0,,43,0,35,8,43,0,3,40,42,1
Dayalpur,3,12,4,0,16,3,6,13,0,0,19,3,10,6,0,1,18,0,,19,0,14,5,19,0,12,7,19,0
Kanchan Gerya,5,38,6,3,44,2,20,27,2,5,44,10,20,19,0,5,44,0,,49,0,38,11,49,0,39,10,49,0
Amra Gerya,3,21,7,1,28,2,13,16,2,5,26,2,18,11,0,1,30,0,,31,0,28,3,31,0,26,5,31,0
Baichri,1,3,0,0,3,1,1,2,1,0,4,1,3,0,0,1,3,0,,4,0,2,2,4,0,1,3,4,0
Balai Chak,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Pashang,3,16,4,0,21,2,9,13,1,1,22,4,12,7,0,4,19,0,,23,0,18,5,23,0,13,10,23,0
Balichak (CT),4,16,4,1,22,1,14,9,1,1,23,7,11,6,0,2,22,0,,23,1,18,6,24,0,18,6,24,0
Kismat Duan,1,1,0,0,2,0,1,1,0,0,2,1,1,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Khari Gerya,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Hariharpur,0,4,2,0,6,0,1,5,0,0,6,0,3,3,0,0,6,0,,6,0,6,0,6,0,4,2,6,0
Dhamtor,21,28,1,0,34,16,24,26,0,0,50,28,20,2,0,8,41,0,,50,0,38,12,49,1,12,38,50,0
Pani Gerya,26,45,0,0,58,13,43,28,0,0,71,34,35,2,0,4,67,0,,71,0,54,17,71,0,11,60,71,0
Narayan Bati,10,9,0,0,19,0,10,9,0,0,19,13,6,0,0,0,19,0,,19,0,13,6,19,0,2,17,19,0
Bar Katai,3,2,0,0,4,1,3,1,1,0,5,3,2,0,0,0,5,0,,5,0,4,1,5,0,0,5,5,0
Nankar Katai,3,0,0,0,3,0,2,1,0,0,3,3,0,0,0,0,3,0,,3,0,1,2,3,0,1,2,3,0
Ashutia,3,4,0,0,6,1,3,4,0,0,7,3,3,1,0,1,6,0,,7,0,7,0,7,0,0,6,7,0
Baita Bar,6,9,0,0,14,1,10,5,0,0,15,6,7,2,0,0,15,0,,15,0,11,4,15,0,1,14,15,0
Chak Matkatpur,2,6,0,0,7,1,6,2,0,0,8,3,4,1,0,0,8,0,,8,0,8,0,8,0,0,8,8,0
Kalyanpur,4,7,0,0,9,2,9,2,0,0,11,4,6,1,0,0,11,0,,11,0,9,2,11,0,0,11,11,0
Khar Gerya,2,1,0,1,2,0,1,2,0,1,2,2,1,0,0,0,3,0,,3,0,3,0,3,0,1,2,3,0
Ashariband,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Chandanpur,0,3,0,2,1,0,2,1,0,3,0,0,3,0,0,0,3,0,,3,0,3,0,3,0,2,1,3,0
Daulat Chak,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Chak Ananta,1,12,0,8,3,2,8,5,0,11,2,3,10,0,0,3,10,0,,13,0,12,1,13,0,4,9,13,0
Sriballabhpur,0,6,0,6,0,0,3,3,0,6,0,1,5,0,0,0,6,0,,6,0,6,0,6,0,5,1,6,0
Chandanpur,0,3,0,3,0,0,2,1,0,2,1,0,3,0,0,0,3,0,,3,0,3,0,3,0,2,1,3,0
Bar Madhabpur,0,6,0,4,2,0,4,2,0,5,1,0,6,0,0,0,6,0,,6,0,6,0,6,0,5,1,6,0
Satyapur,0,11,0,11,0,0,1,10,0,11,0,0,11,0,0,0,11,0,,11,0,11,0,11,0,10,1,11,0
Gar Killa,0,25,0,23,1,1,5,20,0,23,2,0,25,0,0,2,23,1,,25,0,25,0,25,0,20,5,25,0
Debra,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Shal Dahari,0,14,0,12,2,0,3,11,0,14,0,0,14,0,0,1,13,1,,14,0,14,0,14,0,11,3,14,0
Gashanipur,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Abdalipur,0,8,0,8,0,0,0,8,0,8,0,0,8,0,0,0,8,0,,8,0,8,0,8,0,6,2,8,0
Khas Bar,0,30,0,28,1,1,3,27,0,29,1,0,30,0,0,8,22,2,,30,0,29,1,30,0,25,5,30,0
Ashari,0,9,0,8,1,0,1,8,0,9,0,0,9,0,0,2,7,0,,9,0,9,0,9,0,8,1,9,0
Chak Lahana,0,13,0,13,0,0,1,12,0,13,0,0,13,0,0,1,12,0,,13,0,13,0,13,0,12,1,13,0
Belar,0,4,0,4,0,0,0,4,0,4,0,0,4,0,0,0,4,0,,4,0,4,0,4,0,3,1,4,0
Jhikuria,1,3,0,3,1,0,1,3,0,3,1,1,3,0,0,1,3,0,,4,0,4,0,4,0,3,1,4,0
Gopalpur,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Kanubar,0,3,0,3,0,0,1,2,0,3,0,0,3,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Jagat Mani,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,2,1,0,,3,0,3,0,3,0,3,0,3,0
Hanuman Dihi,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Radhaballabhpur,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Debpur,1,8,0,4,2,3,5,4,0,4,5,2,6,1,0,6,3,1,,9,0,9,0,9,0,4,5,9,0
