village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dipa,3,8,0,3,3,5,0,10,1,5,6,5,6,0,0,5,5,2,,11,0,10,1,11,0,3,8,11,0
Chakbila,6,8,10,13,7,4,1,12,11,9,15,6,7,11,0,12,11,1,,24,0,24,0,24,0,3,21,24,0
Baramor,8,8,1,2,8,7,4,13,0,5,12,10,5,2,0,4,13,4,,17,0,12,5,17,0,2,15,17,0
Darra,0,11,1,9,2,1,1,11,0,3,9,1,10,1,0,12,0,1,,12,0,11,1,12,0,11,1,12,0
Hari Pura,0,3,0,1,1,1,0,3,0,1,2,0,3,0,0,2,1,0,,3,0,3,0,3,0,2,1,3,0
Gansarisa,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Uttardambur,1,1,0,0,2,0,0,1,1,1,1,1,1,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Jay Pur,7,3,0,0,5,5,0,9,1,2,8,8,1,1,0,7,3,2,,10,0,6,4,10,0,0,10,10,0
Kapurar,2,4,0,0,1,5,0,6,0,4,2,5,0,1,0,6,0,0,,6,0,2,4,6,0,0,6,6,0
Kanpur Baglata,2,4,0,1,1,4,2,4,0,4,2,2,4,0,0,3,2,1,,6,0,4,2,6,0,2,4,6,0
Sukdubi,6,6,0,1,4,7,0,8,4,5,7,6,6,0,0,11,0,1,,12,0,5,7,12,0,0,12,12,0
Pirat,3,7,0,0,7,3,3,5,2,3,7,5,5,0,0,9,1,0,,10,0,5,5,10,0,2,8,10,0
Bari,0,3,1,3,1,0,0,1,3,1,3,0,2,2,0,4,0,1,,4,0,3,1,4,0,0,4,4,0
Senna,5,6,0,0,5,6,1,6,4,5,6,6,5,0,0,10,1,0,,11,0,10,1,11,0,0,11,11,0
Agarpara,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Anar,2,12,0,10,1,3,0,13,2,6,9,5,9,0,0,14,0,0,,14,1,14,1,15,0,13,2,15,0
Bhimrulia,7,5,0,2,3,7,2,8,2,4,8,7,5,0,0,11,1,1,,12,0,7,5,12,0,2,10,12,0
Indra,0,6,0,4,1,1,0,6,0,1,5,1,4,1,0,4,2,1,,6,0,6,0,6,0,4,2,6,0
Chhatrar,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Amhata,4,3,0,2,2,3,0,6,1,4,3,4,3,0,0,6,1,0,,7,0,7,0,7,0,2,5,7,0
Kiar Chandra,4,2,1,2,3,2,1,6,0,3,4,5,1,1,0,5,1,0,,7,0,6,1,7,0,3,4,7,0
Khokra,2,1,0,0,2,1,0,2,1,1,2,2,1,0,0,2,1,0,,3,0,1,2,3,0,0,3,3,0
Pacha Khali,2,12,0,10,1,3,0,14,0,8,6,2,12,0,0,12,2,0,,14,0,12,2,14,0,9,5,14,0
Khajura Bheri,3,19,1,17,4,2,0,21,2,15,8,4,18,1,0,23,0,2,,23,0,20,3,23,0,20,3,23,0
Gopalpur,1,4,1,4,2,0,0,5,1,3,3,1,5,0,0,5,1,0,,6,0,5,1,6,0,3,3,6,0
Panchyar,0,17,1,16,2,0,0,17,1,10,8,1,16,1,0,18,0,0,,18,0,17,1,18,0,12,6,18,0
Sundrar,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Jamdi,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,,1,0,1,0,1,0,0,1,1,0
Kulbani,1,2,1,3,1,0,0,4,0,2,2,1,2,1,0,4,0,0,,4,0,4,0,4,0,2,2,4,0
Barar,1,5,0,5,1,0,0,6,0,5,1,1,5,0,0,6,0,0,,6,0,6,0,6,0,4,2,6,0
Amilasai,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Sukarol,8,3,0,1,7,3,0,11,0,5,6,8,3,0,0,10,1,1,,11,0,8,3,11,0,1,10,11,0
Dhanian,8,3,0,0,8,3,1,7,3,7,4,9,2,0,0,11,0,3,,11,0,6,5,11,0,0,11,11,0
Kulasini,5,13,1,11,7,1,2,16,1,7,12,6,12,1,0,17,1,0,,19,0,18,1,19,0,10,9,19,0
Shibda,2,3,0,0,1,4,1,3,1,1,4,3,1,1,0,5,0,2,,5,0,3,2,5,0,2,3,5,0
Sarisha,6,1,0,1,5,1,2,4,1,1,6,6,1,0,0,7,0,1,,7,0,6,1,7,0,1,6,7,0
Dakshinadiha,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Belut,5,0,0,0,2,3,0,5,0,2,3,5,0,0,0,5,0,0,,5,0,4,1,5,0,0,5,5,0
Bhansra,0,6,1,4,2,1,0,7,0,4,3,0,6,1,0,7,0,0,,7,0,5,2,7,0,5,2,7,0
Siankul,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Nachhi Pur,3,9,0,2,5,5,2,10,0,6,6,3,8,1,0,12,0,1,,12,0,9,3,12,0,3,9,11,1
Hasim Pur,2,0,0,0,1,1,0,2,0,0,2,2,0,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Marrui,0,4,0,1,1,2,1,3,0,3,1,0,4,0,0,2,2,0,,4,0,2,2,3,1,2,2,4,0
Kantabani,10,2,0,1,2,9,0,10,2,2,10,10,1,1,0,11,1,0,,12,0,9,3,12,0,5,7,12,0
Keshiari,1,11,1,8,4,1,0,13,0,2,11,1,12,0,0,13,0,0,,13,0,12,1,13,0,10,3,13,0
Sipurlalpur,8,2,1,0,5,6,0,7,4,6,5,8,2,1,0,11,0,0,,11,0,8,3,11,0,0,11,11,0
Karanjimura,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Hajighat,6,12,1,4,7,8,2,15,2,7,12,7,10,2,1,8,10,0,,19,0,16,3,19,0,2,17,19,0
Siram Pur,5,0,0,0,2,3,0,3,2,3,2,5,0,0,0,5,0,0,,5,0,3,2,5,0,0,5,5,0
Rasikpur,0,9,0,8,1,0,3,6,0,8,1,0,8,1,0,3,6,0,,9,0,8,1,9,0,8,1,9,0
Jhareswarpur,2,10,2,11,2,1,3,10,0,6,8,2,10,2,0,5,9,3,,14,0,14,0,14,0,8,6,14,0
Beniadiha,1,4,0,4,0,1,1,4,0,4,1,1,4,0,0,3,2,0,,5,0,5,0,5,0,4,1,5,0
Pabnia,1,3,0,2,2,0,0,3,1,3,1,2,2,0,0,1,3,0,,4,0,3,1,4,0,1,3,4,0
Katsangra,4,3,0,2,3,2,0,6,1,3,4,5,2,0,0,7,0,1,,7,0,6,1,7,0,1,6,7,0
Tildihi,11,6,0,2,7,8,0,12,5,7,10,11,6,0,0,15,1,2,,17,0,14,3,17,0,1,16,17,0
Nakandi,1,5,0,1,3,2,0,6,1,1,6,3,3,0,0,6,0,1,,7,0,7,0,7,0,2,5,7,0
Singh Pur,6,3,0,3,3,3,0,9,0,4,5,6,3,0,0,9,0,0,,9,0,8,1,9,0,4,5,9,0
Mahi Samura,1,24,3,24,1,3,1,27,0,16,12,1,24,3,0,27,1,1,,28,0,27,1,28,0,21,7,28,0
Srirampur,0,16,2,17,0,1,0,17,1,17,1,0,16,2,0,16,2,0,,18,0,17,1,18,0,14,4,18,0
Barida,1,5,0,4,1,1,0,5,1,4,2,1,5,0,0,5,1,0,,6,0,5,1,6,0,4,2,6,0
Ghritagram,0,8,0,4,4,0,0,8,0,6,2,0,7,1,0,7,1,0,,8,0,6,2,8,0,6,2,8,0
Jagannath Pur,5,6,3,4,7,3,6,5,3,0,14,5,4,5,0,3,11,0,,13,1,10,4,14,0,1,13,14,0
Kalabani,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Bahana,0,0,4,4,0,0,0,2,2,2,2,0,0,4,0,1,3,0,,4,0,4,0,4,0,0,4,4,0
Phandar,0,2,0,1,1,0,0,2,0,2,0,1,1,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Banchatul,0,5,0,3,2,0,0,5,0,3,2,0,5,0,0,4,1,0,,5,0,4,1,5,0,3,2,5,0
Dhalbelun,1,3,0,2,1,1,1,3,0,0,4,1,3,0,0,4,0,0,,4,0,3,1,4,0,2,2,4,0
Jaykrishna Pur,0,10,1,8,2,1,4,7,0,11,0,2,8,1,0,4,7,0,,11,0,11,0,11,0,8,3,11,0
Balichhincha,1,2,0,0,1,3,2,2,0,0,4,3,0,0,0,3,0,0,,4,0,3,1,4,0,1,3,4,0
Bagaria,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Chakla,0,3,0,2,0,1,0,3,0,1,2,0,3,0,0,2,1,0,,3,0,2,1,3,0,1,2,3,0
Murakata,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Chandana,0,28,2,28,2,0,0,30,0,14,16,1,27,2,0,29,1,0,,30,0,30,0,30,0,28,2,30,0
Dainmari,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Amgerya,0,9,1,9,1,0,0,10,0,9,1,0,9,1,0,10,0,0,,10,0,10,0,10,0,8,2,10,0
Alash,0,8,0,7,1,0,1,7,0,6,2,0,8,0,0,8,0,0,,8,0,8,0,8,0,6,2,8,0
Kochra Kunra,0,7,0,4,2,1,0,7,0,2,5,0,7,0,0,7,0,0,,7,0,7,0,7,0,7,0,7,0
Panasganja,0,3,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,,3,0,3,0,3,0,3,0,3,0
Chhatrar,0,13,0,13,0,0,0,13,0,5,8,1,12,0,0,13,0,0,,13,0,13,0,13,0,13,0,13,0
Khejur Kuthi,0,6,0,6,0,0,0,6,0,4,2,0,5,1,0,6,0,0,,6,0,6,0,6,0,6,0,6,0
Santra Pur,0,17,1,16,2,0,0,18,0,17,1,1,16,1,0,18,0,0,,18,0,18,0,18,0,15,3,18,0
Amra Tarya,0,11,0,8,3,0,0,11,0,10,1,0,11,0,0,11,0,0,,11,0,11,0,11,0,9,2,11,0
Bandar Kola,0,6,0,6,0,0,0,6,0,1,5,0,6,0,0,6,0,0,,6,0,6,0,6,0,4,2,6,0
Dalkati,0,1,1,2,0,0,0,2,0,0,2,0,1,1,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Kachra,0,2,0,2,0,0,0,2,0,1,1,1,1,0,0,1,1,0,,2,0,2,0,2,0,2,0,2,0
Simulia,0,5,1,5,1,0,0,6,0,2,4,1,5,0,0,6,0,0,,6,0,6,0,6,0,6,0,6,0
Dana Pur,0,6,0,5,1,0,0,6,0,0,6,0,6,0,0,6,0,0,,6,0,6,0,6,0,6,0,6,0
Arangabad,0,10,0,8,2,0,0,10,0,5,5,0,10,0,0,10,0,0,,10,0,10,0,10,0,9,1,10,0
Muktapur,0,4,0,4,0,0,0,4,0,1,3,0,4,0,0,4,0,1,,4,0,4,0,4,0,4,0,4,0
Jamsol,0,19,2,19,0,2,0,21,0,13,8,0,18,3,0,19,2,0,,21,0,20,1,21,0,18,3,21,0
Hati Gerya,0,15,1,16,0,0,0,16,0,8,8,0,15,1,0,15,1,0,,16,0,16,0,15,0,11,5,16,0
Gila Gerya,0,9,0,9,0,0,1,8,0,7,2,0,9,0,0,6,3,0,,8,1,9,0,9,0,8,1,9,0
Belar,1,18,0,18,0,1,0,19,0,14,5,1,18,0,0,18,1,0,,19,0,19,0,19,0,15,4,19,0
Babuigerya,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Mandar,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Baramara,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Kan Pur,0,9,0,8,1,0,0,9,0,6,3,1,8,0,0,9,0,0,,9,0,8,1,9,0,8,1,9,0
Jatikrishnapur,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Haro Pur,0,3,0,3,0,0,0,3,0,0,3,1,2,0,0,2,1,0,,3,0,3,0,3,0,2,1,3,0
Meghdambur,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Jaka,0,3,0,3,0,0,0,3,0,2,1,1,2,0,0,2,1,0,,3,0,3,0,3,0,2,1,3,0
Durga Pur,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Hijrar,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Haji Pur,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Singai Jamona,0,6,0,6,0,0,0,6,0,3,3,0,6,0,0,6,0,0,,6,0,6,0,6,0,4,2,6,0
Gaganeswar,0,10,0,9,1,0,0,10,0,7,3,0,10,0,0,9,1,0,,10,0,10,0,10,0,8,2,10,0
Kaliapara,0,19,0,19,0,0,0,19,0,10,9,0,19,0,0,19,0,0,,19,0,19,0,19,0,15,4,19,0
Amda,0,6,0,5,0,1,0,6,0,3,3,0,6,0,0,6,0,0,,6,0,5,1,6,0,5,1,6,0
Dudhe Bude,0,5,0,5,0,0,0,5,0,5,0,0,5,0,0,5,0,0,,5,0,5,0,5,0,5,0,5,0
Junbalda,0,8,0,6,2,0,0,8,0,8,0,0,8,0,0,8,0,0,,8,0,8,0,8,0,7,1,8,0
