village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Diar Ramnagar,1,14,0,11,4,0,0,12,3,10,5,0,10,5,0,2,13,0,,12,3,10,5,15,0,1,14,14,1
Bainda,3,4,0,7,0,0,0,7,0,7,0,0,5,2,0,0,7,0,,7,0,3,4,7,0,0,7,7,0
Nait Baidara,2,5,1,7,1,0,0,8,0,8,0,0,5,3,0,0,8,0,,8,0,5,3,8,0,7,1,8,0
Bijoypur,6,6,0,12,0,0,1,11,0,12,0,5,6,1,0,0,12,0,,12,0,5,7,12,0,5,7,12,0
Ramchandrabati,1,14,1,16,0,0,0,16,0,16,0,0,11,5,0,0,16,0,,16,0,10,6,16,0,0,16,16,0
Gankar,3,19,1,21,2,0,0,20,3,13,10,2,12,9,0,0,23,1,,20,3,11,12,23,0,11,12,23,0
Dhalo,1,5,2,6,2,0,0,7,1,7,1,0,6,2,0,4,4,0,,8,0,2,6,8,0,0,8,5,3
Simla,5,6,0,10,1,0,0,7,4,3,8,2,7,2,1,0,10,0,,10,1,5,6,11,0,10,1,11,0
Dakshinpara,1,11,2,14,0,0,0,14,0,14,0,0,6,8,0,4,10,0,,14,0,10,4,14,0,6,8,14,0
Mangaljan,5,4,0,4,5,0,0,8,1,6,3,2,7,0,0,0,9,0,,7,2,4,5,9,0,8,1,9,0
Bagha,4,7,0,9,2,0,0,11,0,11,0,4,6,1,0,0,11,0,,11,0,10,1,11,0,5,6,11,0
Dafarpur (CT),10,10,2,21,1,0,0,21,1,21,1,2,13,7,0,0,22,0,,21,1,18,4,22,0,10,12,22,0
