village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Madna (CT),0,9,6,15,0,0,0,15,0,15,0,2,5,8,0,0,15,15,0,9,6,15,0,0,14,15,0
Arazi Ramakantapur,1,9,1,6,5,0,0,11,0,6,5,1,8,2,0,0,11,11,0,0,11,11,0,1,10,11,0
Ramakantapur (CT),2,27,12,38,3,0,0,39,2,40,1,0,11,30,0,0,41,41,0,7,34,41,0,1,40,41,0
Nayabahadurpur (CT),0,11,17,28,0,0,0,28,0,28,0,0,6,22,0,0,28,28,0,1,27,28,0,2,26,28,0
Chandpur,1,2,0,3,0,0,0,3,0,3,0,0,3,0,0,0,3,3,0,1,2,3,0,0,3,3,0
Ahiron,22,44,7,65,8,0,4,69,0,73,0,5,48,20,0,0,73,69,4,57,16,73,0,0,73,70,3
Chakbahadurpur,1,8,5,14,0,0,0,12,2,14,0,1,3,10,0,0,14,14,0,5,9,14,0,0,14,14,0
Sujanipara,2,11,7,20,0,0,0,18,2,20,0,2,5,13,0,0,20,20,0,18,2,20,0,1,19,20,0
Ghorapakhiagangin,0,5,1,5,1,0,0,6,0,6,0,0,2,4,0,0,6,6,0,1,5,6,0,0,6,6,0
Panchgachhia,1,1,0,2,0,0,0,2,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Jalangapara,2,6,0,8,0,0,0,8,0,8,0,2,4,2,0,0,8,8,0,5,3,8,0,0,8,8,0
Jehelinagar,1,7,0,8,0,0,2,6,0,8,0,1,5,2,0,0,8,8,0,5,3,8,0,0,8,8,0
Arazi Gotha,1,12,0,10,3,0,0,13,0,13,0,0,6,7,0,0,13,13,0,2,11,13,0,2,11,13,0
Dahina,0,4,0,4,0,0,0,4,0,4,0,2,2,0,0,0,4,4,0,0,4,4,0,0,4,4,0
Gopalnagar,1,1,1,3,0,0,0,3,0,3,0,1,1,1,0,0,3,3,0,0,3,3,0,0,3,3,0
Nazirpur,3,3,0,6,0,0,0,6,0,6,0,2,4,0,0,0,6,6,0,2,4,6,0,0,6,6,0
Gambhira,1,6,0,7,0,0,0,7,0,7,0,3,4,0,0,0,7,7,0,3,4,7,0,0,7,7,0
Aluani,2,3,0,5,0,0,0,5,0,5,0,1,4,0,0,0,5,5,0,1,4,5,0,0,5,5,0
Ajagarpara,8,21,0,29,0,0,1,28,0,29,0,5,16,8,0,0,29,29,0,16,13,29,0,0,29,29,0
Harua,21,24,1,44,2,0,0,43,3,46,0,18,22,6,0,0,46,46,0,14,32,46,0,2,44,46,0
Raturi,4,4,0,7,1,0,0,8,0,8,0,3,5,0,0,0,8,8,0,4,4,8,0,0,8,8,0
Gotha,0,11,0,8,3,0,0,10,1,11,0,0,8,3,0,0,11,11,0,0,11,11,0,0,11,11,0
Kadoa,11,22,1,30,4,0,0,34,0,34,0,5,22,7,0,7,27,34,0,23,11,34,0,0,34,34,0
Panchberia,1,2,1,4,0,0,0,4,0,4,0,0,2,2,0,0,4,4,0,1,3,4,0,0,4,4,0
Bahutali,11,33,2,44,2,0,0,39,7,46,0,4,31,11,0,0,46,46,0,5,41,46,0,3,43,46,0
Nadai,2,6,0,8,0,0,0,8,0,8,0,0,7,1,0,0,8,8,0,3,5,8,0,0,8,8,0
Hilora,3,7,0,10,0,0,0,10,0,10,0,3,6,1,0,0,10,10,0,3,7,10,0,0,10,10,0
Alampur,5,21,0,21,5,0,1,25,0,26,0,5,16,5,0,0,26,26,0,15,11,26,0,0,26,26,0
Bagdanga,1,6,0,5,2,0,0,7,0,7,0,0,7,0,0,0,7,7,0,4,3,7,0,0,7,7,0
Chandamari,0,3,8,11,0,0,0,10,1,11,0,1,2,8,0,0,11,11,0,0,11,11,0,0,11,11,0
Bangasbati,6,5,0,11,0,0,0,11,0,11,0,4,7,0,0,0,11,11,0,1,10,11,0,0,11,11,0
Amarpur,13,27,1,41,0,0,0,38,3,41,0,13,25,3,0,0,41,41,0,8,33,41,0,0,41,41,0
Sidhari,3,4,0,6,1,0,0,7,0,7,0,4,2,1,0,0,7,7,0,1,6,7,0,0,7,7,0
Najirpur,2,8,0,10,0,0,1,8,1,10,0,4,6,0,0,0,10,10,0,1,9,10,0,0,10,10,0
Sadikpur,2,12,1,13,2,0,0,15,0,15,0,0,9,6,0,0,15,15,0,0,15,15,0,2,13,15,0
Bahadurpur,2,7,11,16,4,0,0,19,1,18,2,1,4,15,0,0,20,20,0,0,20,20,0,2,18,20,0
