village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gorsai,0,0,10,8,2,0,0,10,0,9,1,0,0,10,0,0,10,0,,10,0,10,0,10,0,9,1,1,9
Damda,0,5,5,10,0,0,2,8,0,5,5,0,5,5,0,0,10,0,,10,0,10,0,10,0,7,3,1,9
Herbana,0,2,7,6,3,0,1,8,0,6,3,1,0,8,0,0,9,0,,9,0,8,0,9,0,6,3,2,7
Kadoyan,1,9,0,8,2,0,3,7,0,6,4,9,1,0,0,0,10,0,,10,0,9,0,10,0,6,4,1,9
Karmabera,0,10,0,6,4,0,1,9,0,8,2,4,6,0,0,0,10,0,,10,0,10,0,10,0,5,5,2,8
Tumrashou,0,5,10,10,5,0,1,14,0,12,3,0,5,10,0,0,15,0,,15,0,15,0,15,0,13,2,5,10
Kudlung,0,1,10,9,2,0,1,10,0,10,1,0,1,10,0,0,11,0,,11,0,11,0,10,0,9,1,2,9
Khawasdih Alias Loadih,2,9,0,8,3,0,4,7,0,9,2,7,4,0,0,0,11,0,,11,0,11,0,11,0,9,2,0,11
Kalpara,1,11,0,9,3,0,2,10,0,8,4,3,9,0,0,0,12,0,,12,0,12,0,12,0,8,4,2,10
Jiling,1,6,10,14,3,0,1,16,0,14,3,1,6,10,0,0,17,0,,17,0,17,0,17,0,15,2,2,15
Bankati,0,13,0,11,2,0,0,13,0,8,5,4,9,0,0,0,13,0,,13,0,13,0,13,0,11,2,0,13
Ransi,0,11,0,8,3,0,2,9,0,7,4,6,5,0,0,0,11,0,,11,0,11,0,11,0,9,2,2,9
Amagara,0,10,5,11,4,0,3,12,0,12,3,2,8,5,0,0,15,0,,15,0,15,0,15,0,12,3,0,15
Hatnadih,0,1,6,5,2,0,0,7,0,7,0,0,1,6,0,0,7,0,,6,1,7,0,6,0,4,3,0,7
Parsa,0,2,13,11,4,0,3,12,0,11,4,1,1,13,0,0,15,0,,14,1,14,0,15,0,12,3,6,9
Suraidih,0,3,5,8,0,0,1,7,0,7,1,0,3,5,0,0,8,0,,8,0,8,0,8,0,4,4,1,7
Banabir,3,22,0,19,6,0,9,16,0,18,7,19,6,0,0,0,25,0,,25,0,25,0,25,0,20,5,1,23
Biskudra,0,6,11,10,7,0,4,13,0,16,1,3,2,12,0,0,17,0,,17,0,17,0,17,0,12,5,1,16
Hijla,0,2,1,3,0,0,1,2,0,2,1,1,1,1,0,0,3,0,,3,0,3,0,3,0,3,0,0,3
Bagalbandh,0,9,0,7,2,0,4,5,0,6,3,4,5,0,0,0,9,0,,9,0,9,0,9,0,7,2,3,6
