village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jammadevipeta,23,23,16,59,3,0,17,41,4,62,0,24,22,16,0,1,61,0,,58,1,39,20,57,2,62,0,57,2
Sagaram,8,9,47,55,8,1,26,37,1,63,1,8,9,47,9,0,55,0,,63,0,16,45,63,0,64,0,63,0
Madugulakotapadu,15,35,13,56,5,2,21,41,1,63,0,15,35,13,0,2,61,0,,63,0,25,36,62,1,63,0,63,0
Madugula Koduru,14,30,20,59,2,3,18,46,0,63,1,14,30,20,0,0,64,0,,63,1,61,3,62,2,64,0,63,1
Gadirai,0,0,2,1,0,1,1,1,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Kinthali Vallapuram,9,18,35,52,9,1,17,42,3,61,1,8,17,37,1,0,61,0,,46,16,59,3,62,0,62,0,62,0
Satyavaram,5,23,32,56,3,1,16,44,0,60,0,5,23,32,0,0,60,0,,60,0,48,11,60,0,60,0,56,4
Pothanapudi Araharam,11,31,18,54,6,0,16,44,0,59,1,11,31,18,0,0,60,0,,57,3,45,15,60,0,60,0,59,1
Lova Krishnapuram,1,1,4,5,1,0,0,4,2,6,0,1,1,4,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Chintaluru,0,0,4,3,1,0,1,2,1,4,0,0,0,4,0,0,4,0,,3,1,4,0,4,0,4,0,4,0
Tatiparthi,13,33,16,57,5,0,28,34,0,62,0,13,32,17,0,1,61,1,,59,3,57,5,62,0,62,0,60,2
Lova Ponnavolu,12,17,22,44,6,1,9,23,19,51,0,11,18,22,0,0,51,0,,48,2,49,1,50,0,51,0,50,0
Gotivada Agraharam,13,18,30,54,5,2,16,44,1,61,0,13,18,30,0,1,60,0,,60,1,60,1,61,0,61,0,61,0
Kurmanadhapuram,0,2,3,5,0,0,1,4,0,5,0,0,2,3,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
Madugula,17,54,95,124,36,6,62,99,5,164,2,18,57,91,0,0,165,0,,158,5,155,8,161,2,166,0,159,3
Sankaram,6,7,50,41,17,5,29,34,0,61,2,6,7,50,0,0,63,0,,51,12,61,2,63,0,63,0,61,2
Kaspa Jagannadhapuram,26,31,53,61,27,22,37,72,1,109,1,28,32,50,0,0,110,5,,108,2,107,3,110,0,110,0,104,6
Veeravilli,15,19,23,54,3,0,31,25,1,56,1,15,18,24,0,0,57,0,,56,0,56,0,56,0,57,0,56,0
Veeranarayanam,20,23,20,51,8,4,36,27,0,62,1,20,23,20,0,0,63,5,,44,18,62,0,61,1,63,0,61,1
Yerukuvada,1,2,2,5,0,0,4,1,0,5,0,1,2,2,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
P.Sivaram Puram,3,4,9,15,1,0,8,7,1,15,1,4,4,8,0,0,16,0,,9,7,16,0,16,0,16,0,16,0
Avuruvada,4,8,9,15,6,0,10,11,0,20,1,4,8,9,0,0,21,0,,12,9,21,0,21,0,21,0,21,0
Lakshmipuram,0,1,2,1,2,0,1,2,0,3,0,0,1,2,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Vommali,3,33,24,51,7,2,24,36,0,59,1,5,32,23,0,0,60,0,,54,6,60,0,60,0,60,0,60,0
Tiruvada,1,3,1,4,1,0,2,3,0,5,0,1,4,0,0,0,5,0,,4,1,5,0,5,0,5,0,5,0
Anukuru,0,4,0,4,0,0,2,2,0,4,0,0,4,0,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Mukundapuram,37,14,13,55,8,1,28,35,1,63,1,34,14,16,0,0,64,0,,64,0,64,0,64,0,64,0,64,0
Pongalipaka,5,17,1,19,4,0,7,16,0,23,0,5,17,1,0,0,23,0,,8,15,23,0,23,0,23,0,23,0
Peda Sarada,0,1,1,2,0,0,1,1,0,2,0,0,1,1,0,0,2,0,,0,2,2,0,2,0,2,0,2,0
Kinthali,4,9,7,17,3,0,9,11,0,20,0,4,7,9,0,0,20,0,,15,5,20,0,20,0,20,0,20,0
Sanghyam,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Vommali Jagannadhapuram,1,2,0,3,0,0,3,0,0,3,0,1,2,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Jalampalle,1,26,39,57,9,0,35,30,1,66,0,1,26,39,0,0,66,0,,65,1,66,0,66,0,66,0,66,0
M.K.Vallapuram,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Lovagavara Varam,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
