village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
S.Rayavaram,8,11,62,61,17,3,15,59,7,81,0,8,14,58,0,0,80,0,,44,27,45,27,71,1,81,0,42,30
Vakapadu,1,7,27,35,0,0,3,31,1,35,0,2,7,26,0,0,35,0,,32,2,31,3,33,1,35,0,33,1
Janguluruvelampalem,9,10,38,55,2,0,3,54,0,57,0,9,11,38,0,0,58,0,,56,2,57,1,58,0,57,0,58,0
Upparapalle,4,4,25,28,1,4,2,27,4,30,3,6,5,22,0,0,33,2,,31,2,30,3,29,4,31,2,33,0
Sarvasiddi,3,6,22,30,1,0,0,31,0,31,0,3,7,21,0,0,31,0,,2,29,2,29,31,0,31,0,22,9
Petasudipuram,7,13,37,56,1,0,7,48,2,56,1,7,14,36,0,0,57,0,,49,8,45,12,56,1,57,0,57,0
Dharmavaram Agraharam,3,6,28,33,4,0,5,32,0,37,0,3,6,28,0,0,37,0,,3,34,4,33,37,0,37,0,25,12
Peda Uppalam,7,4,48,39,19,1,17,40,2,58,1,7,9,43,0,1,58,0,,59,0,59,0,59,0,59,0,59,0
Koruprolu,5,10,70,64,21,0,17,61,7,85,0,7,19,59,0,0,85,0,,81,4,85,0,85,0,84,0,85,0
Lingarajupalem,3,2,23,27,1,0,10,16,2,28,0,3,2,23,0,0,28,0,,27,1,28,0,27,1,28,0,28,0
Karrivanipalem,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Darlapudi,2,10,33,23,22,0,11,31,3,44,1,3,12,30,0,0,45,1,,44,1,43,2,45,0,45,0,44,1
Gudivada,4,2,53,45,10,4,9,46,4,59,0,6,7,46,0,0,59,0,,59,0,59,0,59,0,59,0,59,0
Thimmapuram,2,7,47,32,24,0,7,48,1,56,0,6,14,36,0,0,56,0,,55,0,45,10,55,0,56,0,55,0
Pedagummuluru,6,6,35,32,15,0,9,36,2,47,0,6,11,30,0,0,47,0,,46,1,46,1,47,0,47,0,46,1
Bheemavaram,0,2,2,4,0,0,1,3,0,4,0,0,2,2,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Chinagummuluru,2,2,26,18,12,0,3,23,4,30,0,2,6,22,0,0,30,0,,28,2,30,0,30,0,30,0,30,0
Pettugollapalle,3,1,39,27,15,1,3,36,4,43,0,3,9,31,0,0,43,0,,42,1,42,1,43,0,43,0,42,1
Penugollu,0,3,10,8,5,0,3,10,0,13,0,1,5,7,0,0,13,0,,13,0,13,0,13,0,13,0,13,0
Vommavaram,1,4,41,38,8,0,11,32,3,45,1,4,6,36,0,0,46,0,,45,1,46,0,46,0,46,0,46,0
