village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nagireddipalle (CT),0,0,44,15,18,11,16,28,1,32,13,0,3,41,10,0,33,1,,36,9,31,14,44,0,22,23,43,2
Tangutur Vengamambapuram,0,0,11,3,6,2,4,7,0,7,4,0,0,11,1,0,10,0,,11,0,6,5,11,0,5,6,11,0
Tanguturu,0,1,53,19,18,17,13,40,1,34,20,0,13,40,10,0,43,0,,45,9,40,14,54,0,23,31,52,2
Nandalur,0,2,49,25,14,12,11,37,3,37,14,0,3,48,4,0,46,0,,43,8,30,21,50,1,23,28,49,2
Adapur,0,0,53,23,17,13,11,40,2,32,21,0,12,41,2,0,50,0,,52,1,40,13,51,2,30,23,51,2
Nallathimmayapalle,0,0,18,10,4,4,8,10,0,13,5,0,1,17,5,0,13,0,,16,2,14,4,18,0,11,7,17,1
Patur,0,0,55,22,17,16,7,45,3,34,21,0,2,51,0,0,52,0,,48,7,38,17,53,2,33,21,53,2
Yellamarajupalle,0,0,20,6,8,6,7,12,1,13,7,1,2,17,0,0,20,0,,19,1,18,2,20,0,11,9,20,0
Lebaka,1,2,88,26,36,29,21,66,4,52,39,1,11,79,7,0,84,1,,85,6,54,37,91,0,47,44,89,2
Lebaka Manga Mamba Puram,1,0,16,10,2,5,6,11,0,11,6,0,5,12,2,0,15,0,,15,2,13,4,17,0,8,9,15,2
Nookinenipalle,0,0,22,11,6,5,10,12,0,11,11,1,10,11,1,0,21,0,,21,1,18,4,22,0,13,9,22,0
Kunda Nellore,0,1,32,8,13,12,14,19,0,16,17,0,4,29,4,1,28,0,,28,5,21,12,29,4,10,23,31,2
Chintalakunta,0,0,9,5,2,2,3,6,0,6,3,0,3,6,2,0,7,1,,9,0,8,1,9,0,6,3,9,0
