village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Uppumaguluru,0,0,63,0,12,51,35,21,7,63,0,0,27,36,12,0,51,0,63,40,23,1,62,55,8,44,19
Konidena,0,4,115,0,26,93,49,66,4,111,8,0,12,107,0,0,119,1,118,78,41,106,13,113,6,40,79
Koppera Palem,0,0,40,0,22,18,20,20,0,36,4,0,2,38,0,0,40,4,36,25,15,33,7,38,2,7,32
Vemavaram,0,0,40,0,9,31,30,7,3,39,1,6,18,16,0,0,40,0,40,25,15,18,22,35,5,34,6
Ballikurava,0,2,57,0,18,41,17,26,16,57,2,0,11,48,13,0,46,0,59,31,28,38,21,54,5,39,20
Valla Palle,0,0,80,0,34,46,30,43,7,75,5,1,19,60,0,0,80,0,79,66,14,79,1,78,2,14,66
Mukteswaram,0,1,40,0,18,23,12,27,2,41,0,0,12,29,0,0,41,1,40,24,17,41,0,37,4,21,20
Guntupalle,0,14,65,0,56,23,54,21,4,71,8,3,38,38,1,0,78,0,79,26,53,78,1,70,9,31,48
Chennupalle,0,0,40,0,8,32,5,14,21,37,3,0,2,38,0,0,40,3,37,25,15,35,5,35,5,34,6
Gorre Padu,0,0,80,0,25,55,11,61,8,80,0,0,5,75,0,0,80,0,80,2,77,80,0,71,9,0,79
Koppera Padu,0,0,40,0,14,26,14,19,7,40,0,0,5,35,0,0,40,0,40,39,1,39,1,40,0,19,21
Sankaralingam Gudipadu,0,0,40,0,9,31,12,21,7,40,0,0,3,37,0,0,40,0,40,13,27,39,1,36,4,0,40
Kukatla Palle,0,0,39,0,15,24,0,32,7,38,1,0,4,35,1,0,38,0,39,8,31,39,0,32,7,0,39
Vaidana,0,13,27,0,39,1,40,0,0,36,4,2,36,2,0,0,40,0,40,2,38,40,0,34,6,0,40
