village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Addepalli,0,0,84,0,80,4,84,0,0,82,2,0,0,84,0,0,84,59,25,53,31,78,6,80,4,55,29
Pedapulivarru,0,4,38,0,35,7,42,0,0,37,5,0,11,31,2,0,40,18,24,14,28,35,7,39,3,26,16
Oleru,0,0,42,0,38,4,42,0,0,39,3,0,2,40,0,0,42,0,42,38,4,38,4,41,1,0,42
Konetipuram,0,0,42,1,31,10,42,0,0,42,0,0,41,1,0,0,42,42,0,25,17,42,0,36,6,37,5
Bhattiprolu,0,0,83,0,75,8,83,0,0,79,4,0,57,26,0,0,83,77,6,46,37,81,2,76,7,81,2
Pallekona,0,0,40,0,35,5,40,0,0,40,0,0,24,16,0,0,40,40,0,20,20,40,0,38,2,32,8
Gorigapudi,0,0,42,0,30,12,42,0,0,37,5,0,4,38,0,0,42,5,37,6,36,42,0,42,0,10,32
Vellaturu,0,2,41,0,39,4,42,1,0,38,5,0,31,12,0,0,43,17,26,17,26,43,0,43,0,7,36
Pesarlanka,0,0,21,1,18,2,21,0,0,19,2,0,0,21,3,0,18,0,21,11,10,21,0,21,0,9,12
Surepalle,0,0,40,0,37,3,36,4,0,36,4,0,0,40,0,0,40,5,35,8,32,40,0,40,0,9,31
Pedalanka,0,0,21,0,20,1,21,0,0,21,0,0,0,21,0,0,21,0,21,11,10,21,0,21,0,11,10
