village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ravurupadu,0,16,18,8,9,17,8,18,8,15,19,2,17,15,0,1,33,23,11,18,16,24,10,17,17,17,17
Thupakulagudem,0,4,6,0,5,5,0,5,5,3,7,0,5,5,0,0,10,5,5,4,6,7,3,7,3,4,6
Vegeswarapuram,0,19,69,0,18,70,3,51,34,11,77,0,32,56,0,0,88,39,49,22,66,50,37,21,67,19,69
Thadipudi,0,8,25,1,7,25,1,22,10,9,24,0,16,17,0,0,33,13,20,12,21,16,17,7,26,8,25
Tirugudumetta,0,0,34,9,15,10,0,19,15,0,34,0,13,21,0,0,34,6,28,11,23,8,26,13,21,15,19
Pochavaram,0,4,16,0,4,16,0,12,8,2,18,0,7,13,0,0,20,10,10,5,15,11,9,4,16,4,16
Thallapudi,0,4,27,0,6,25,0,20,11,2,29,0,8,23,0,0,31,10,21,6,25,16,15,9,22,6,25
Bayyavaram,0,2,13,0,2,13,0,8,7,1,14,0,3,12,0,0,15,7,8,2,13,7,8,4,11,2,13
Kukunuru,0,6,36,0,8,34,0,24,18,3,39,0,12,30,0,0,42,16,26,8,34,22,20,12,30,8,34
Gajjaram,0,6,39,0,8,37,0,27,18,3,42,0,12,33,0,0,45,18,27,8,37,22,23,13,32,8,37
Paidimetta,0,6,36,0,8,34,0,25,17,3,39,0,12,30,0,0,42,16,26,9,33,22,20,12,30,8,34
Annadevarapeta,0,14,69,0,14,69,0,51,32,8,75,0,24,59,0,0,83,34,49,18,65,42,41,22,61,14,69
Ballipadu,0,6,38,0,8,36,0,26,18,3,41,0,12,32,0,0,44,17,27,8,36,22,22,12,32,8,36
Ragolapalle,0,2,13,0,3,12,0,8,7,1,14,0,5,10,0,0,15,3,12,2,13,8,7,5,10,3,12
Malakapalle,0,6,28,0,6,28,0,21,13,3,31,0,11,23,0,0,34,11,23,7,27,21,13,8,26,7,27
Nallamillipadu,0,2,8,0,2,8,0,7,3,1,9,0,5,5,0,0,10,2,8,2,8,7,3,1,9,3,7
Pochavaram,0,4,16,0,4,16,0,12,8,2,18,0,7,13,0,0,20,10,10,5,15,11,9,4,16,4,16
Thallapudi,0,4,29,1,6,26,0,22,11,2,31,0,9,24,0,0,33,11,22,6,27,17,16,10,23,6,27
Bayyavaram,0,2,13,0,2,13,0,8,7,1,14,0,3,12,0,0,15,7,8,2,13,7,8,4,11,2,13
Kukunuru,0,7,36,0,8,35,0,24,19,3,40,0,12,31,0,0,43,16,27,9,34,23,20,12,31,8,35
Gajjaram,0,6,39,0,8,37,0,27,18,3,42,0,12,33,0,0,45,18,27,8,37,22,23,13,32,8,37
Paidimetta,0,7,37,0,9,35,0,26,18,3,41,0,12,32,0,0,44,17,27,9,35,24,20,12,32,9,35
Annadevarapeta,0,15,70,0,14,71,0,51,34,9,76,0,25,60,0,0,85,34,51,18,67,44,41,22,63,14,71
Ballipadu,0,6,39,0,8,37,0,26,19,3,42,0,12,33,0,0,45,18,27,8,37,23,22,13,32,9,36
Ragolapalle,0,2,13,0,3,12,0,8,7,1,14,0,5,10,0,0,15,3,12,2,13,8,7,5,10,3,12
Malakapalle,0,6,30,0,6,30,0,22,14,5,31,0,13,23,0,0,36,11,25,7,29,23,13,8,28,7,29
Nallamillipadu,0,2,8,0,2,8,0,7,3,1,9,0,5,5,0,0,10,2,8,2,8,7,3,1,9,3,7
