village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Atchiahpalem,0,0,14,14,0,0,6,5,3,13,1,0,1,13,0,0,14,0,,14,0,5,9,13,1,14,0,14,0
Aliveru,0,1,53,16,31,7,4,50,0,49,5,2,6,46,0,4,50,0,,54,0,52,2,54,0,51,3,54,0
Antarvedigudem,0,0,29,29,0,0,3,25,1,28,1,0,2,27,0,18,11,0,,29,0,15,14,29,0,27,2,29,0
Ammapalem,0,0,8,8,0,0,1,7,0,8,0,0,3,5,0,0,8,0,,8,0,1,7,8,0,6,2,8,0
Bandarlagudem,0,0,4,3,1,0,3,1,0,3,1,0,0,4,0,0,4,0,,1,3,1,3,3,1,3,1,3,1
Busarajupalle,0,0,20,20,0,0,5,15,0,17,3,2,2,16,0,0,20,0,,17,3,0,20,7,13,19,1,16,4
Bothappagudem,0,0,3,2,1,0,3,0,0,2,1,1,0,2,0,0,3,0,,0,3,0,3,1,2,3,0,3,0
Buttayagudem,0,0,210,163,40,7,37,144,29,188,22,23,16,171,0,7,203,1,,201,9,33,177,145,65,197,13,209,1
Chintalagudem,0,0,18,18,0,0,0,18,0,16,2,2,2,14,0,0,18,0,,18,0,18,0,18,0,17,1,18,0
Doramamidi,0,1,103,61,42,1,34,67,3,93,11,3,13,88,0,69,35,0,,99,5,68,36,101,3,97,7,104,0
Jainavarigudem,0,0,48,48,0,0,26,22,0,44,4,9,14,25,0,0,48,0,,48,0,39,9,48,0,46,2,48,0
Koyarajahmundry,0,0,44,37,3,4,36,8,0,42,2,9,6,29,0,0,44,0,,43,1,18,26,44,0,43,1,44,0
Ganapavaram,0,0,56,55,1,0,33,22,1,52,4,1,7,48,0,0,56,0,,56,0,44,12,56,0,53,3,56,0
Kopalle,0,0,14,14,0,0,11,3,0,13,1,0,2,12,0,0,14,0,,11,3,8,6,14,0,13,1,14,0
Kovvada,0,0,10,10,0,0,7,3,0,10,0,0,2,8,0,0,10,0,,10,0,5,5,10,0,10,0,10,0
Kamayyakunta,0,0,16,16,0,0,8,8,0,15,1,0,2,14,0,0,16,0,,16,0,1,15,16,0,15,1,16,0
Gunjavaram,0,0,18,12,6,0,8,10,0,17,1,0,1,17,0,0,18,0,,17,1,14,4,18,0,17,1,18,0
Kotaramachandrapuram,0,0,9,5,4,0,6,3,0,8,1,0,1,8,0,0,9,0,,8,1,0,9,9,0,9,0,9,0
Khandrikagudem,0,0,17,17,0,0,8,7,2,17,0,3,5,9,0,0,17,0,,17,0,3,14,17,0,17,0,17,0
Korsavarigudem,0,0,25,14,9,2,16,9,0,23,2,0,6,19,0,1,24,0,,25,0,18,7,25,0,24,1,25,0
Yerrayagudem,0,0,19,9,6,4,2,10,7,17,2,2,1,16,0,0,19,0,,17,2,4,15,19,0,18,1,18,1
Pandugudem,0,0,5,1,1,3,0,5,0,5,0,0,0,5,0,0,5,0,,4,1,2,3,5,0,5,0,5,0
Nimmalagudem,0,0,3,3,0,0,0,1,2,3,0,0,0,3,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Lakshmipuram,0,0,5,4,1,0,4,1,0,5,0,0,1,4,0,0,5,0,,5,0,1,4,5,0,5,0,5,0
Lanka Palle,0,0,10,1,5,4,4,6,0,10,0,2,1,7,0,0,10,0,,9,1,1,9,10,0,10,0,10,0
Rajanagaram,0,0,27,18,3,6,3,23,1,26,1,0,1,26,0,0,27,0,,27,0,26,1,27,0,27,0,22,5
Merakagudem,0,0,19,3,8,8,7,10,2,17,2,1,1,17,0,0,19,0,,16,3,2,17,19,0,19,0,19,0
Puliramudugudem,0,0,30,23,2,5,0,22,8,27,3,0,2,28,0,0,30,0,,30,0,28,2,30,0,29,1,30,0
Muddappagudem,0,0,12,6,2,4,7,4,1,11,1,1,2,9,0,0,12,0,,12,0,6,6,12,0,12,0,12,0
Nagampalem,0,0,11,10,1,0,0,4,7,10,1,0,0,11,0,0,11,0,,11,0,11,0,11,0,10,1,11,0
Lakshmudugudem,0,0,31,23,4,4,0,26,5,28,3,5,6,20,0,0,31,0,,31,0,1,30,31,0,31,0,31,0
Ragappagudem,0,0,19,19,0,0,0,13,6,18,1,0,2,17,0,0,19,0,,19,0,15,4,19,0,18,1,19,0
Ramannagudem,0,0,3,2,0,1,0,2,1,2,1,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Palakunta,0,0,6,3,3,0,0,1,5,5,1,0,0,6,0,0,6,0,,6,0,5,1,6,0,6,0,6,0
Upparilli,0,0,8,8,0,0,2,3,3,8,0,0,1,7,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Mangaiah Palem,0,0,11,4,3,4,0,6,5,9,2,0,2,9,0,0,11,0,,11,0,10,1,11,0,11,0,11,0
Nutiramannapalem,0,0,7,1,1,5,1,6,0,6,1,0,1,6,0,0,7,0,,7,0,1,6,7,0,7,0,7,0
