village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Allamcherlarajupalem,0,1,47,48,0,0,8,16,24,26,22,3,2,43,0,5,43,0,,36,12,48,0,48,0,45,3,47,1
Bandivarigudem,0,1,100,62,7,32,0,4,97,60,41,3,8,90,1,0,100,0,,83,18,35,66,101,0,90,11,66,35
Borrampalem,0,0,46,12,1,33,0,2,44,29,17,0,0,46,0,1,45,0,,38,8,21,25,46,0,41,5,34,12
Kethavaram,0,0,51,39,6,6,0,42,9,37,14,0,0,51,46,0,5,0,,6,45,22,29,51,0,40,11,50,1
Rajupothepalle,0,0,50,4,8,38,1,40,9,41,9,0,5,45,25,0,25,0,,15,35,43,7,46,4,31,19,50,0
Velagapadu,0,22,31,51,1,1,40,8,5,44,9,25,8,20,0,0,53,29,,44,9,39,14,53,0,47,6,50,3
Kollivarigudem,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
Makkinavarigudem,0,0,49,29,5,15,0,17,32,36,13,0,4,45,0,0,49,0,,31,18,41,8,44,5,38,11,36,13
Krishnapuram,0,0,35,31,3,1,0,2,33,27,8,0,3,32,0,0,35,0,,4,31,35,0,35,0,27,8,29,6
Lingaraopalem,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,0,1,1,0,1,0,1,0,0,1
Epigunta,0,0,52,39,0,13,0,3,49,36,16,0,0,52,0,0,52,0,,13,39,25,27,52,0,44,8,51,1
T.Narasapuram,0,0,64,13,13,38,7,32,25,48,16,0,0,64,7,0,57,0,,0,64,56,8,59,5,44,20,42,22
Krishnaraopalem,0,0,15,15,0,0,0,7,8,11,4,0,0,15,0,0,15,0,,0,15,15,0,15,0,12,3,5,10
Sriramavaram,0,0,35,1,2,32,1,15,19,29,6,0,1,34,0,0,35,0,,3,32,28,7,35,0,24,11,30,5
Tirumaladevipeta,0,0,52,8,3,41,0,48,4,38,14,0,0,52,15,0,37,0,,0,52,33,19,42,10,41,11,40,12
Vallampatla,0,0,53,41,3,9,1,7,45,42,11,1,0,52,0,24,29,0,,0,53,42,11,51,2,40,13,10,43
Bandamcherla,0,0,52,51,1,0,0,25,27,30,22,1,5,46,0,6,46,0,,52,0,52,0,52,0,49,3,52,0
Appalarajugudem,0,0,52,52,0,0,1,25,26,34,18,0,7,45,0,11,41,0,,47,5,52,0,52,0,50,2,52,0
