village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
A.Gokavaram,0,0,60,51,7,2,9,26,25,58,2,0,2,58,3,0,57,58,2,48,12,60,0,58,2,35,25
Chebrole Khandrika,0,0,36,30,3,3,26,10,0,33,3,0,3,33,0,1,35,35,1,1,35,36,0,35,1,35,1
Chebrolu,0,0,93,54,18,21,80,13,0,89,4,1,10,82,0,0,93,63,30,32,61,93,0,88,5,93,0
Bommidi,0,0,67,51,10,6,19,47,1,63,4,7,7,53,0,0,67,67,0,26,41,67,0,64,3,67,0
Badampudi,0,0,92,68,11,13,10,58,24,84,8,0,0,92,0,0,92,90,2,60,32,92,0,89,3,79,13
Kakarlamudi,0,0,40,33,3,4,0,35,5,37,3,0,7,33,0,0,40,25,15,39,1,40,0,38,2,40,0
Dontavaram,0,0,19,18,1,0,19,0,0,17,2,7,5,7,0,0,19,19,0,19,0,19,0,17,2,19,0
Kagupadu,0,0,35,21,7,7,27,8,0,30,5,23,5,7,0,0,35,35,0,27,8,35,0,32,3,35,0
Gopinadhapatnam,0,0,44,41,3,0,2,1,41,39,5,12,7,25,0,0,44,44,0,43,1,44,0,42,2,44,0
Kaikaram,0,0,123,76,20,27,3,48,72,108,15,27,30,66,0,1,122,123,0,115,8,123,0,118,5,123,0
Nallamadu,0,0,175,109,18,48,14,140,21,132,43,14,26,135,0,4,171,154,21,157,18,140,35,171,4,174,1
Unguturu,0,0,233,226,4,3,46,165,22,206,27,1,11,221,1,0,232,222,11,172,61,233,0,223,10,212,21
Tallapuram,0,0,39,31,4,4,38,1,0,30,9,0,1,38,0,0,39,15,24,38,1,39,0,37,2,39,0
Ravulaparru,0,0,40,29,5,6,37,2,1,28,12,0,14,26,0,0,40,31,9,40,0,40,0,38,2,40,0
Venkatadriapparaopuram,0,0,11,11,0,0,2,9,0,9,2,0,1,10,0,0,11,11,0,0,11,11,0,10,1,11,0
Vellamilli,0,0,87,86,0,1,7,80,0,84,3,0,11,76,0,0,87,86,1,56,31,87,0,83,4,87,0
