village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mudunuru,0,66,63,46,58,25,129,0,0,90,39,37,51,41,0,0,129,74,,70,59,57,72,95,7,109,20,87,22
Bollapadu,0,4,26,29,1,0,30,0,0,23,7,19,8,3,1,0,29,30,,4,25,5,25,13,0,12,18,21,9
Kalavapamula,0,30,26,25,18,13,56,0,0,49,7,40,11,5,0,0,56,33,,22,21,56,0,28,12,53,3,9,31
China Ogirala,0,1,29,29,0,1,30,0,0,22,8,2,14,14,0,0,30,30,,19,6,30,0,30,0,24,6,3,27
Vuyyuru,0,67,27,93,0,1,94,0,0,58,36,0,10,84,0,0,94,94,,57,33,87,7,88,1,78,16,20,74
Katuru,0,66,36,65,24,13,99,3,0,62,40,0,22,80,9,0,93,101,,36,66,52,50,65,2,101,1,46,56
Peda Ogirala,0,36,9,42,3,0,43,2,0,41,4,0,0,45,0,0,45,45,,29,5,42,3,45,0,43,2,28,17
Veeravalli Mokhasa,0,8,8,2,6,8,16,0,0,16,0,9,1,6,0,0,16,1,,5,10,15,1,6,2,16,0,2,4
Akunuru,0,0,20,18,2,0,20,0,0,13,7,0,10,10,0,0,20,20,,16,2,20,0,20,0,20,0,16,4
Kadavakollu,0,6,9,2,4,9,14,1,0,11,4,5,1,9,0,0,15,0,,5,1,15,0,14,1,13,2,9,5
