village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Yerravaram,2,33,81,54,53,9,86,30,0,116,0,20,26,69,0,0,116,0,,111,5,92,24,115,0,60,56,101,15
East Lakshmipuram,1,13,36,34,14,2,28,22,0,50,0,9,25,16,0,0,50,3,,35,15,30,20,50,0,2,48,50,0
Bhadravaram,0,5,35,12,25,3,29,12,0,40,0,13,12,14,0,0,41,0,,30,10,23,17,40,0,5,36,28,12
Peravaram,0,4,39,21,15,7,30,10,3,43,0,12,12,19,0,0,43,0,,37,6,9,34,43,0,1,42,37,6
Marriveedu,0,18,31,28,21,0,48,0,1,49,0,3,21,25,0,0,49,0,,28,21,47,2,49,0,29,20,48,1
J. Annavaram,1,18,33,23,28,1,34,15,3,52,0,6,20,26,0,0,52,0,,32,20,34,18,52,0,33,19,51,1
C. Rayavaram,0,11,15,18,12,0,20,9,2,33,0,4,18,7,0,0,35,0,,18,14,11,21,33,0,3,29,30,2
Siripuram,0,12,46,43,15,0,47,10,1,58,0,7,18,33,0,0,58,0,,49,9,2,55,58,0,12,46,38,20
Lingamparthi,1,19,94,72,35,7,73,41,0,114,0,31,37,46,0,0,114,0,,96,18,89,25,114,0,45,69,88,26
Tirumali,0,10,48,24,26,8,38,20,0,58,0,10,20,28,0,0,58,0,,54,4,30,28,58,0,3,55,55,2
Yeleswaram,1,13,9,20,3,0,15,5,3,23,0,2,12,9,0,0,23,0,,11,12,10,13,23,0,5,18,19,4
Peddanapalle,1,19,41,40,18,3,51,10,0,61,0,14,11,36,0,0,61,0,,59,2,25,36,61,0,18,43,34,27
