village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mondepu Lanka,0,10,28,29,9,0,32,6,0,38,0,8,24,6,0,0,38,0,,23,15,28,10,38,0,5,33,38,0
Yenugupalle,1,27,19,34,12,1,19,24,4,46,1,3,34,10,0,0,47,1,,33,10,37,10,47,0,4,43,47,0
Munganda,1,45,17,34,21,8,38,19,6,63,0,20,37,6,0,13,50,4,,36,26,48,15,63,0,12,51,63,0
Ganti Pedapudi,0,15,9,18,4,2,24,0,0,24,0,3,21,0,0,0,24,6,,18,5,10,14,23,0,6,18,24,0
Katharlanka,0,6,4,9,1,0,10,0,0,10,0,2,5,3,0,0,10,0,,8,1,2,8,10,0,1,9,10,0
Kundalapalle,0,30,9,29,10,0,26,12,1,39,0,12,25,2,0,0,39,0,,35,1,27,12,39,0,5,34,38,1
Lankalagannavaram,0,27,36,34,20,9,17,34,12,63,0,9,30,24,0,0,63,0,,52,9,45,16,63,0,8,55,61,2
Bellampudi,0,26,7,18,13,2,9,20,4,33,0,12,21,0,0,5,28,9,,22,8,12,21,33,0,6,27,33,0
Vainateya Kothapalle,3,27,9,29,10,0,35,3,1,39,0,17,17,5,0,0,39,0,,27,12,26,10,39,0,15,24,38,1
Mungandapalem,0,24,15,37,2,0,31,7,1,39,0,8,23,8,0,2,37,0,,25,13,29,10,39,0,7,32,39,0
Patha Gannavaram,0,28,51,42,28,9,66,12,1,79,0,4,43,32,0,0,79,0,,73,6,37,41,78,1,10,69,79,0
Manepalle,0,27,52,49,27,3,26,39,14,79,0,13,47,19,0,0,79,0,,40,39,41,38,78,0,10,69,79,0
Vadrevupalle,0,20,19,29,10,0,22,14,3,39,0,9,22,8,0,0,39,0,,23,16,26,11,39,0,3,36,39,0
Udumudi,0,21,58,56,21,2,61,16,2,79,0,18,51,10,0,0,79,8,,59,20,26,46,79,0,9,70,75,4
Pothavaram,0,14,11,15,10,0,18,7,0,25,0,0,25,0,0,0,25,7,,12,13,7,18,25,0,3,22,25,0
Narendrapuram,0,44,45,58,27,4,58,24,7,89,0,8,55,26,0,0,89,7,,64,25,26,60,89,0,9,80,89,0
Munjavaram,0,5,6,7,4,0,8,3,0,11,0,4,2,5,0,0,11,0,,11,0,5,6,11,0,8,3,11,0
