village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
D Vanipenta,1,4,46,42,9,0,48,2,1,51,0,6,2,43,0,0,51,1,,35,16,17,34,51,0,51,0,51,0
Chagalamarri,18,59,41,64,53,1,114,1,3,118,0,56,20,42,26,0,92,20,,72,46,44,74,118,0,118,0,118,0
Chinna Vangali,0,19,31,18,32,0,49,0,1,50,0,7,12,31,0,0,50,0,,35,15,25,25,50,0,50,0,50,0
Chintala Cheruvu,6,34,9,48,1,0,47,1,1,49,0,28,13,8,14,0,35,0,,34,15,14,35,49,0,49,0,49,0
Muthyalapadu,0,1,51,46,6,0,51,1,0,52,0,0,0,52,0,0,52,0,,35,17,10,42,51,0,52,0,51,1
Gotlur,1,22,10,30,3,0,32,1,0,33,0,7,17,9,10,0,23,0,,21,12,6,27,33,0,33,0,33,0
Godiganuru,0,2,53,49,5,1,54,1,0,55,0,0,2,53,0,0,55,0,,33,22,13,42,55,0,55,0,54,1
Mallavemula,5,8,3,13,3,0,16,0,0,16,0,10,2,4,2,0,14,2,,8,8,0,16,16,0,16,0,16,0
Thodendlapalle,0,1,46,36,10,1,46,1,0,47,0,0,1,46,0,0,47,0,,28,19,12,35,47,0,47,0,47,0
Nelampadu,4,21,9,30,4,0,34,0,0,34,0,13,12,9,1,0,33,0,,22,12,10,24,34,0,34,0,34,0
Pedda Vangali,9,34,5,44,4,0,48,0,0,48,0,37,6,5,3,0,45,0,,30,18,20,28,48,0,48,0,48,0
Settiveedu,6,37,7,42,8,0,48,0,2,50,0,42,2,6,38,0,12,0,,29,21,7,43,49,1,50,0,50,0
Rampalle,1,9,6,13,3,0,16,0,0,16,0,3,7,6,0,0,16,0,,11,5,6,10,16,0,16,0,16,0
Chinna Bodhanam,3,17,6,25,1,0,26,0,0,26,0,21,0,5,0,0,26,0,,18,8,3,23,26,0,26,0,26,0
Pedda Bodhanam,3,16,5,21,3,0,24,0,0,24,0,19,0,5,0,0,24,0,,13,11,3,21,24,0,24,0,24,0
Madduru,0,1,43,42,2,0,42,0,2,43,1,0,1,43,11,0,33,0,,23,21,9,35,44,0,44,0,44,0
Brahmanapalle,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,1,0,1,0
