village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kanalapalle,1,6,35,12,28,2,42,0,0,42,0,1,10,31,2,0,40,1,,15,27,12,30,42,0,42,0,42,0
Julepalle,0,16,26,20,21,1,42,0,0,42,0,5,12,25,0,0,42,33,,24,18,16,26,42,0,42,0,41,1
Jillela,0,11,31,15,27,0,42,0,0,42,0,2,11,29,1,0,41,4,,20,22,17,25,42,0,42,0,42,0
Deebaguntla,0,6,39,26,19,0,45,0,0,45,0,1,10,34,0,0,45,27,,27,18,16,29,45,0,45,0,45,0
Gospadu,0,16,26,18,20,4,42,0,0,42,0,2,16,24,25,0,17,0,,28,14,12,30,42,0,42,0,42,0
Yalluru,0,25,59,39,42,3,84,0,0,84,0,2,31,51,10,0,74,43,,49,35,22,62,84,0,84,0,84,0
Tellapuri,0,5,23,15,13,0,28,0,0,28,0,0,6,22,11,0,17,6,,13,15,6,22,28,0,28,0,28,0
Pasurapadu,0,4,7,6,5,0,11,0,0,11,0,0,3,8,6,0,5,3,,5,6,0,11,11,0,11,0,11,0
M.Krishnapuram,0,12,30,17,22,3,42,0,0,42,0,2,12,28,17,0,25,1,,23,19,26,16,42,0,42,0,42,0
S.Nagulavaram,0,10,32,24,18,0,42,0,0,42,0,1,11,30,7,0,35,28,,18,24,26,16,42,0,42,0,41,1
S.Kuluru,0,1,6,3,4,0,7,0,0,7,0,0,1,6,2,0,5,0,,3,4,3,4,7,0,7,0,7,0
Sambavaram,0,9,33,21,21,0,42,0,0,42,0,3,7,32,0,0,42,0,,33,9,22,20,42,0,42,0,42,0
Rayapadu,0,4,6,7,3,0,10,0,0,10,0,1,3,6,0,0,10,0,,6,4,7,3,10,0,10,0,10,0
Vantivelagala,1,4,20,11,14,0,25,0,0,25,0,1,5,19,7,0,18,5,,6,19,25,0,25,0,16,9,25,0
