village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Vaggampalle,0,0,45,43,2,0,43,1,1,44,1,0,1,44,5,1,39,0,,1,44,38,7,45,0,45,0,45,0
Renimadugu,0,0,14,10,3,1,14,0,0,13,1,0,0,14,3,0,11,0,,0,14,13,1,14,0,14,0,14,0
Bodavada,0,0,27,19,8,0,26,0,1,27,0,0,0,27,5,0,22,0,,0,27,8,19,27,0,27,0,27,0
Ayyavaripalle,0,0,10,7,3,0,10,0,0,10,0,0,0,10,1,0,9,0,,0,10,6,4,10,0,10,0,10,0
Balijapalem,0,0,42,28,14,0,42,0,0,42,0,0,0,42,17,0,25,0,,0,42,7,35,42,0,42,0,42,0
Ayyannakota,0,0,6,5,1,0,6,0,0,6,0,0,0,6,3,0,3,0,,0,6,4,2,6,0,6,0,6,0
Botla Gudur,0,0,87,68,19,0,86,0,1,80,7,0,0,87,46,0,41,0,,0,87,73,14,87,0,87,0,85,2
Pamur (CT),0,0,26,25,1,0,25,1,0,25,1,0,0,26,3,0,23,0,,1,25,5,21,26,0,26,0,26,0
Chilamkur,0,0,24,17,7,0,24,0,0,22,2,0,0,24,11,0,13,0,,1,23,6,18,24,0,24,0,24,0
Dadireddi Pallle,0,0,21,15,6,0,20,0,1,19,2,0,0,21,9,0,12,0,,0,21,3,18,21,0,21,0,21,0
Anumalakonda,0,0,14,14,0,0,14,0,0,14,0,1,0,13,2,0,12,0,,0,14,7,7,14,0,14,0,14,0
Dubagunta,0,0,65,55,10,0,64,1,0,64,1,0,1,64,25,0,40,0,,0,65,26,39,65,0,65,0,65,0
Chinthalapalem,0,0,42,35,7,0,41,1,0,40,2,0,0,42,13,0,29,0,,0,42,4,38,42,0,42,0,41,1
Bukkapuram,0,0,17,13,4,0,17,0,0,17,0,0,0,17,2,0,15,0,,0,17,11,6,17,0,17,0,17,0
Karrollapadu,0,0,14,12,2,0,14,0,0,14,0,0,0,14,3,0,11,0,,0,14,10,4,14,0,14,0,14,0
Inimerla,0,0,46,39,7,0,46,0,0,43,3,1,0,45,17,1,28,0,,18,28,45,1,46,0,46,0,46,0
East Kodigudlapadu,0,0,21,16,4,1,21,0,0,17,4,0,0,21,9,0,12,0,,0,21,21,0,21,0,21,0,20,1
Tiragandla Dinne,0,0,25,24,1,0,25,0,0,18,7,0,0,25,11,0,14,0,,0,25,25,0,25,0,25,0,25,0
Siddavaram,0,0,2,1,1,0,2,0,0,1,1,0,0,2,2,0,0,0,,0,2,2,0,2,0,2,0,2,0
Mopadu,0,0,46,40,6,0,46,0,0,39,7,0,1,45,20,0,26,0,,6,40,46,0,46,0,46,0,40,6
Puttamnaidu Palle,0,0,49,36,13,0,49,0,0,43,6,0,0,49,15,0,34,0,,0,49,46,3,49,0,49,0,48,1
Raviguntapalle,0,0,41,38,3,0,41,0,0,38,3,1,0,40,8,0,33,0,,0,41,41,0,41,0,41,0,41,0
Kambaladinne,0,0,34,26,8,0,33,1,0,29,5,0,0,34,12,0,22,0,,0,34,34,0,34,0,34,0,34,0
WEST KATTAKINDA PALLE,0,0,45,42,3,0,44,1,0,41,4,0,2,43,4,0,41,0,,5,40,44,1,45,0,45,0,44,1
Gummalampadu,0,0,17,14,2,1,17,0,0,15,2,0,0,17,3,0,14,0,,1,16,17,0,17,0,17,0,15,2
Nasikatrayambakam,0,0,5,5,0,0,5,0,0,3,2,0,0,5,1,0,4,0,,0,5,5,0,5,0,5,0,5,0
