village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gottimukkala,2,19,28,41,8,0,0,10,39,49,0,0,4,44,0,0,49,2,,9,40,43,6,49,0,48,1,17,32
Daida,0,11,32,36,6,1,0,6,38,44,0,0,3,37,0,0,27,0,,19,26,39,5,45,0,44,0,16,29
Pulipadu,0,11,86,94,3,0,0,2,95,96,1,1,10,86,1,0,96,0,,30,67,88,9,96,1,90,7,55,42
Telukutla,0,1,42,38,5,0,0,4,39,43,0,0,3,39,0,0,43,3,,4,39,38,5,41,1,30,13,5,38
Gangavaram,0,6,45,24,24,3,3,8,40,50,1,0,6,45,1,0,50,0,,33,18,37,14,51,0,49,2,47,4
Gogulapadu,0,5,41,10,26,10,1,32,13,46,0,1,3,42,0,0,46,0,,40,6,39,7,46,0,27,19,40,6
Pallegunta,0,10,35,0,43,2,0,16,29,45,0,0,11,34,0,0,45,12,,29,16,39,6,45,0,44,1,35,10
Gurazala,2,54,214,23,249,1,2,132,140,273,1,2,51,215,1,0,265,1,,167,107,251,23,272,2,270,4,199,75
Cherlagudi Padu,4,5,81,25,65,0,1,8,81,90,0,4,7,78,1,0,83,0,,82,8,89,1,90,0,90,0,84,6
Madugula,0,2,90,26,66,0,0,6,86,92,0,0,4,86,0,0,83,0,,91,1,88,4,92,0,92,0,91,1
