village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Guvvadi,0,1,35,24,6,6,1,13,22,35,1,0,0,36,20,0,16,26,10,5,31,33,3,11,25,33,3
Ganeswarapuram,0,0,13,8,3,2,0,4,9,13,0,0,0,13,0,0,13,9,4,5,8,12,1,5,8,12,1
Narasimhapuram,0,2,8,8,2,0,0,8,2,9,1,0,2,8,0,0,10,8,2,0,10,10,0,3,7,8,2
Kancheruvu,0,2,14,12,2,2,0,2,14,16,0,0,3,13,0,0,16,13,3,5,11,16,0,4,12,15,1
Iskapalli,0,0,14,8,3,3,0,2,12,14,0,0,3,11,0,0,14,12,2,2,12,13,1,2,12,13,1
Peddireddipalle,0,2,19,11,6,4,1,1,19,20,1,1,1,19,1,0,20,17,4,1,20,18,3,10,11,20,1
Thurpu Boyamadugula,0,1,14,14,0,1,7,8,0,5,10,2,4,9,0,0,15,13,2,1,14,14,1,6,9,12,3
Kondayapalem,0,0,12,4,7,1,0,2,10,11,1,1,2,9,0,0,12,9,3,1,11,9,3,6,6,11,1
Viruvooru,0,0,20,3,9,8,0,5,15,19,1,1,3,16,0,0,20,20,0,0,20,19,1,10,10,16,4
Jadadevi,0,0,14,14,0,0,9,5,0,3,11,1,2,11,5,0,9,12,2,0,14,10,4,7,7,12,2
Damancherla,0,2,26,14,8,6,2,8,18,28,0,2,7,19,2,0,26,24,4,5,23,25,3,10,18,25,3
Alivelumangapuram,0,1,9,9,1,0,7,1,2,7,3,0,2,8,0,0,10,8,2,1,9,10,0,6,4,8,2
Varikuntapadu,0,0,19,5,8,6,0,6,13,19,0,0,0,19,1,0,18,14,5,1,18,19,0,6,13,18,1
Turpurompidodla,0,0,27,19,3,5,2,7,18,23,4,1,9,17,0,0,27,20,7,0,27,27,0,12,15,21,6
Pamurupalle,0,0,12,8,2,2,1,5,6,7,5,0,0,12,0,0,12,12,0,1,11,12,0,5,7,9,3
Mohammadapuram,0,1,12,6,5,2,1,2,10,10,3,1,5,7,0,0,13,12,1,7,6,12,1,11,2,12,1
Vempadu,0,0,30,26,2,2,0,5,25,30,0,3,8,19,2,0,28,22,8,0,30,27,3,15,15,24,6
Gollapalle,0,0,7,3,2,2,0,1,6,7,0,0,0,7,0,0,7,6,1,1,6,7,0,3,4,5,2
Thotalacheruvupalle,0,0,5,4,1,0,0,2,3,5,0,0,2,3,0,0,5,5,0,2,3,5,0,4,1,4,1
Thurpu Chennampalle,0,0,6,3,0,3,0,2,4,4,2,0,1,5,0,0,6,1,5,0,6,5,1,3,3,5,1
