village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rellivalasa,0,5,16,2,19,0,8,12,1,20,1,13,4,4,0,0,21,0,,20,1,19,2,21,0,14,7,21,0
Ambavalli,0,4,17,1,20,0,16,5,0,19,2,17,2,2,0,0,21,0,,21,0,21,0,21,0,17,4,21,0
Anthili,0,0,25,3,21,1,25,0,0,24,1,25,0,0,0,0,25,0,,25,0,23,2,25,0,25,0,25,0
Seedhi,0,0,21,1,20,0,12,9,0,1,20,19,0,2,0,0,21,0,,20,1,16,5,21,0,20,1,21,0
Majjigudem,0,6,12,3,15,0,9,8,1,12,6,7,5,6,0,0,18,0,,17,1,11,7,18,0,13,5,18,0
Hiramandalam (CT),0,1,34,0,33,2,32,3,0,33,2,33,1,1,0,1,34,0,,33,2,33,2,35,0,34,1,35,0
Pindruvada,0,3,19,2,20,0,14,8,0,14,8,17,2,3,0,0,22,0,,22,0,22,0,22,0,21,1,22,0
Komanapalle,0,6,35,8,33,0,21,18,2,14,27,24,12,5,0,0,41,0,,39,2,33,8,41,0,32,9,41,0
Gulumuru,0,5,35,4,34,2,27,13,0,37,3,14,17,8,0,0,40,0,,40,0,35,5,40,0,32,8,40,0
Chorlangi,0,5,28,2,31,0,13,20,0,6,27,17,7,9,0,0,33,0,,32,1,23,10,33,0,30,3,33,0
Kondaragolu,0,6,29,5,30,0,18,16,1,33,2,25,4,6,0,0,35,0,,35,0,34,1,35,0,29,6,34,1
Padali,0,0,5,0,5,0,4,1,0,5,0,5,0,0,0,0,5,0,,5,0,4,1,5,0,4,1,5,0
Durbalapuram,0,2,3,1,4,0,1,4,0,5,0,3,1,1,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Godiapadu,0,2,8,2,8,0,6,4,0,8,2,3,2,5,0,0,10,0,,10,0,10,0,10,0,5,5,10,0
Satyajagannadha Puram,0,1,3,0,4,0,0,4,0,4,0,1,3,0,0,0,4,0,,4,0,3,1,4,0,2,2,4,0
Kittalapadu,0,6,11,2,15,0,8,6,3,9,8,8,3,6,0,0,17,0,,17,0,11,6,17,0,9,8,17,0
Tallapadu,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Mahalakshimipuram,0,2,5,1,6,0,4,3,0,6,1,2,2,3,0,0,7,0,,6,1,6,1,7,0,5,2,6,1
Korada,0,13,69,9,71,2,53,25,4,74,8,57,16,9,0,4,78,0,,80,2,80,2,82,0,68,14,79,3
Kallata,0,2,4,0,6,0,3,3,0,6,0,3,1,2,0,1,5,0,,6,0,6,0,6,0,5,1,6,0
Bhagiradhipuram,0,1,7,2,6,0,4,2,2,8,0,5,2,1,0,0,8,0,,6,2,8,0,8,0,7,1,8,0
Lingupuram,0,1,3,1,3,0,3,1,0,3,1,3,0,1,0,0,4,0,,4,0,3,1,4,0,3,1,4,0
Neeladevipuram,0,2,6,1,7,0,5,2,1,7,1,5,2,1,0,0,8,0,,8,0,5,3,7,1,3,5,8,0
Lokonda,0,3,5,0,8,0,5,3,0,6,2,8,0,0,0,1,7,0,,8,0,7,1,8,0,4,4,8,0
Jagannadhapuram,0,1,4,1,4,0,4,1,0,5,0,4,1,0,0,0,5,0,,5,0,4,1,5,0,5,0,5,0
Tampa,0,4,36,5,35,0,20,18,2,37,3,26,3,11,0,4,36,0,,40,0,39,1,40,0,30,10,39,1
Chinnakollivalasa,0,6,7,4,9,0,1,12,0,13,0,0,7,6,0,0,13,0,,13,0,13,0,13,0,2,11,13,0
Tungatampara,0,3,1,2,2,0,0,4,0,4,0,0,3,1,0,0,4,0,,4,0,4,0,4,0,2,2,4,0
Anthakapalle,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Mamidijola,0,2,3,1,4,0,0,4,1,5,0,0,0,5,0,0,5,0,,5,0,5,0,5,0,2,3,5,0
Gotta,0,3,0,1,2,0,0,3,0,3,0,0,1,2,0,0,3,0,,3,0,3,0,3,0,2,1,3,0
