village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jangalapalle,0,2,2,0,4,0,1,3,0,4,0,0,2,2,0,0,4,2,2,3,1,3,1,4,0,2,2
AMMAVARIPETA,0,2,11,4,8,1,5,6,2,8,5,0,3,10,1,0,12,6,7,9,4,13,0,12,1,7,6
Vallivedu,0,6,14,2,16,2,1,19,0,18,2,0,6,14,0,0,20,13,7,13,7,18,2,20,0,12,8
Busapalem,0,5,7,0,9,3,2,10,0,12,0,1,5,6,1,0,11,7,5,8,4,12,0,12,0,8,4
Thimmayagunta,0,2,3,0,4,1,0,5,0,5,0,0,2,3,0,0,5,2,3,3,2,4,1,5,0,3,2
Peda Bandarupalle,0,2,3,0,4,1,0,5,0,5,0,0,2,3,0,0,5,3,2,5,0,4,1,5,0,3,2
Kandanalapadu,0,0,3,0,3,0,0,3,0,3,0,0,0,3,0,0,3,2,1,2,1,3,0,3,0,2,1
Varadanapalle,0,0,7,1,5,1,2,5,0,7,0,0,0,7,4,0,3,3,4,4,3,7,0,7,0,5,2
Kuppampalle,0,0,3,1,2,0,0,2,1,2,1,0,0,3,1,0,2,3,0,3,0,3,0,3,0,2,1
Lakshmirampalle,0,2,3,0,4,1,1,3,1,4,1,0,2,3,1,0,4,2,3,4,1,5,0,5,0,3,2
Papamambapuram,0,0,7,1,5,1,2,5,0,5,2,0,0,7,2,0,5,4,3,4,3,6,1,7,0,3,4
Kalavalapudi,0,12,27,5,31,3,9,30,0,36,3,0,10,29,0,0,39,22,17,23,16,37,2,38,1,22,16
Ammapalem,0,3,21,2,19,3,6,18,0,23,1,0,2,22,6,0,18,14,10,13,11,24,0,24,0,16,8
Yathaluru,0,3,28,2,27,2,5,26,0,26,5,0,3,28,0,0,31,14,17,15,16,29,2,30,1,17,14
BANGARUPETA,0,6,13,3,16,0,1,18,0,15,4,0,6,13,0,1,18,6,13,10,9,17,2,19,0,6,13
BOPPAPURAM,0,4,14,5,13,0,0,18,0,15,3,0,4,14,0,0,18,7,11,9,9,18,0,18,0,5,13
Kummarapeta,0,2,1,0,3,0,0,3,0,3,0,0,2,1,0,0,3,1,2,2,1,1,2,3,0,1,2
Kammapalle,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Lingamanaidupalle,0,0,3,0,3,0,0,3,0,3,0,0,0,3,0,0,3,3,0,2,1,3,0,3,0,2,1
Alivelu Mangapuram,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Panjam,0,1,5,0,6,0,0,6,0,6,0,0,1,5,0,0,6,1,5,1,5,5,1,6,0,2,4
Chinnannapeta,0,14,28,8,30,4,7,34,1,37,5,0,13,29,0,0,42,17,25,17,25,39,3,41,1,18,24
Petluru,1,9,12,8,13,1,6,16,0,20,2,0,10,12,0,0,22,7,15,11,11,18,4,21,1,7,15
Somasanigunta (Part),0,2,6,1,7,0,1,7,0,7,1,0,2,6,0,0,8,4,4,4,4,8,0,7,1,2,6
Muddampalle,0,2,3,2,3,0,1,4,0,4,1,0,2,3,0,0,5,2,2,1,4,5,0,5,0,3,0
Akkamambapuram,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
Mokkalapudi,0,3,8,2,8,1,1,10,0,10,1,0,3,8,0,0,11,5,6,3,8,10,1,11,0,5,6
Lalapeta,0,4,8,1,11,0,1,11,0,12,0,0,4,8,0,0,12,5,7,5,7,11,1,12,0,6,6
Sunkaravaripalle,0,1,2,1,2,0,1,2,0,2,1,0,1,2,0,0,3,0,3,1,2,2,1,3,0,2,1
Thadikalapadu Khandrika,0,1,3,1,3,0,0,4,0,4,0,0,1,3,0,0,4,2,2,0,4,4,0,4,0,2,2
Mogallagunta,0,4,13,3,14,0,2,15,0,13,4,0,3,14,0,0,17,10,7,10,7,16,1,17,0,6,11
Thripurantaka Bhatlapalle,0,3,8,1,9,1,2,9,0,10,1,0,3,8,0,0,11,4,7,5,6,10,0,11,0,5,5
Patrapalle,0,3,3,2,4,0,3,3,0,3,3,0,3,3,0,0,6,0,3,3,3,6,0,6,0,1,4
Yachasamudram,0,4,4,0,7,1,2,6,0,8,0,0,4,4,0,0,8,2,6,3,5,8,0,8,0,1,7
Palakonda Satram,0,6,13,4,15,0,4,15,0,18,1,0,7,12,0,0,19,10,9,9,10,18,1,18,1,10,9
Palemkota,0,3,14,2,15,0,4,13,0,15,2,0,3,14,0,1,16,6,11,11,6,17,0,17,0,7,10
Kalapadu,0,7,7,2,12,0,0,14,0,13,1,0,7,7,0,0,14,4,9,7,7,12,2,13,1,3,9
Gotlagunta,0,0,2,0,2,0,1,1,0,2,0,0,0,2,0,0,2,1,1,1,1,2,0,2,0,1,1
Siddavaram,0,7,18,1,24,0,1,22,2,23,2,0,7,18,0,0,25,10,15,14,11,24,1,24,0,12,13
Paravolu,0,2,22,0,24,0,1,23,0,21,3,0,3,21,1,0,23,18,6,18,6,21,3,23,1,17,7
Gundalasamudram,0,4,17,1,20,0,1,20,0,21,0,0,4,17,0,0,21,12,9,14,7,19,2,21,0,14,7
Chintala Cheruvu Khandrika,0,1,8,1,8,0,0,9,0,8,1,1,1,7,3,0,6,7,2,8,1,8,1,9,0,7,2
Kurjagunta,0,4,8,0,11,1,1,11,0,12,0,0,3,9,4,0,8,10,2,10,2,11,1,12,0,9,3
Chinthalapallevari Khandrika,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Balasamudram,0,3,10,0,13,0,2,11,0,11,2,0,3,10,0,0,13,8,5,7,6,13,0,12,1,9,4
Chelikampadu,0,2,2,2,2,0,0,4,0,4,0,0,2,2,0,0,4,4,0,3,1,4,0,4,0,3,1
DHARMAPURAM,0,8,16,0,18,6,4,19,1,15,9,0,8,16,0,0,24,21,3,22,2,22,2,22,2,21,3
PERIYAVARAM,0,5,14,0,18,1,3,16,0,13,6,0,5,14,0,0,19,16,3,16,3,18,1,18,1,17,2
Dacheruvu,0,0,6,0,3,3,2,4,0,5,1,0,0,6,0,0,6,6,0,6,0,6,0,5,1,6,0
