village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chatayya Valasa,0,3,13,11,4,1,13,3,0,15,1,1,0,15,0,0,16,0,,16,0,14,2,16,0,13,3,16,0
Tunivada,0,1,27,14,13,1,23,4,1,28,0,2,1,25,0,0,28,0,,28,0,25,3,28,0,24,4,28,0
Kandisa,0,0,40,25,15,0,34,6,0,40,0,3,1,36,0,0,40,0,,40,0,36,4,40,0,37,3,40,0
Venkam Peta,0,0,34,14,16,4,29,5,0,34,0,2,4,28,0,0,34,0,,34,0,32,2,32,2,29,5,34,0
Komera,0,1,32,17,16,0,26,6,1,33,0,2,2,29,0,0,33,0,,33,0,31,2,32,1,32,1,33,0
Khandyam,0,1,50,22,21,8,41,9,1,51,0,6,3,42,0,0,51,0,,50,1,50,1,51,0,50,1,51,0
Vannali,0,0,8,7,1,0,8,0,0,8,0,1,1,6,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Latchanna Valasa,0,16,36,16,28,8,37,14,1,51,1,3,14,35,0,0,52,0,,50,2,51,1,51,1,46,6,52,0
Uppara Naiduvalasa,0,0,13,9,4,0,10,2,1,13,0,1,0,12,0,0,13,0,,13,0,13,0,13,0,12,1,13,0
Somarajupeta,0,4,31,19,12,4,26,8,1,35,0,3,2,30,0,0,35,0,,35,0,33,2,32,3,31,4,35,0
Akkanna Agraharam,0,3,35,21,13,4,34,4,0,38,0,5,3,30,0,0,37,0,,38,0,35,3,37,1,30,7,38,0
Panasala Valasa,0,0,16,9,4,3,14,2,0,16,0,1,2,13,0,0,16,0,,16,0,16,0,16,0,15,1,16,0
Vandanapeta,0,0,5,3,2,0,3,2,0,5,0,0,0,5,0,0,5,0,,5,0,4,1,5,0,4,1,5,0
Mulakala Valasa,0,9,11,12,4,4,17,3,0,20,0,1,9,10,0,0,20,0,,18,2,18,2,20,0,19,1,20,0
Venkatapuram,0,1,23,7,13,4,18,5,1,24,0,5,4,15,0,0,24,0,,24,0,22,2,23,1,20,4,23,1
Parampeta,0,5,19,10,11,3,18,6,0,24,0,5,6,13,0,0,24,0,,24,0,22,2,22,2,24,0,24,0
