village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kopparthi,0,0,35,21,9,5,35,0,0,13,22,4,8,23,1,0,34,0,,2,33,21,14,32,3,10,25,30,5
Apparajupalle,0,0,8,6,0,2,8,0,0,5,3,2,1,5,0,0,7,0,,5,3,3,5,8,0,2,6,0,8
Chinthakommadinne (Part),0,14,89,60,16,27,94,9,0,44,59,5,25,73,5,0,97,0,,22,81,66,37,101,2,15,88,64,39
Thadigotla,0,0,33,18,6,9,33,0,0,18,15,2,8,23,1,0,32,0,,2,31,14,19,32,1,7,26,13,20
Jamal Palle,0,0,6,5,1,0,6,0,0,2,4,1,1,4,1,0,5,0,,0,6,4,2,6,0,1,5,6,0
Chinnakampalle,0,0,26,15,5,6,24,2,0,13,13,0,2,24,0,0,26,0,,6,20,10,16,20,6,7,19,13,13
Boggalapalle (Part),1,0,29,18,7,5,29,1,0,16,14,3,10,17,0,0,30,0,,2,28,21,9,23,3,6,24,13,17
Rudrayagaripalle,0,0,5,2,1,2,3,2,0,2,3,2,0,3,1,0,4,0,,0,5,3,2,5,0,0,5,3,2
Kolumulapalle,0,0,35,27,3,5,34,1,0,12,23,4,8,22,2,0,32,0,,5,30,26,9,35,0,5,30,33,2
Pabbapuram,0,0,35,22,8,5,35,0,0,11,24,5,9,21,0,0,35,0,,6,29,33,2,35,0,10,25,35,0
MAMILLAPALLE,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,,1,1,1,1,2,0,1,1,2,0
Ippapenta,0,0,35,14,10,11,32,2,1,17,18,2,8,25,0,0,34,0,,5,30,25,10,29,0,6,29,13,22
Peddakampalle,0,0,4,4,0,0,3,1,0,1,3,1,1,2,1,0,3,0,,0,4,2,2,4,0,0,4,4,0
T RAMACHANDRAPURAM,0,0,2,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,1,1,2,0,1,1,1,1
KRISHNAPURAM,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
