village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pabua,56,10,0,0,64,2,44,21,1,66,0,61,5,0,0,21,45,66,0,60,6,62,4,66,0,44,22
Jejudada,2,25,20,0,0,47,31,15,1,47,0,13,16,18,0,40,7,47,0,43,4,44,3,47,0,43,4
Tassomlora,36,18,1,0,50,5,34,18,3,55,0,46,4,5,0,16,39,55,0,50,5,53,2,55,0,39,16
Mebuwa - I,31,4,3,0,34,4,30,8,0,38,0,33,3,2,0,6,32,38,0,24,14,36,2,38,0,29,9
Mebuwa - II,2,12,7,0,11,10,9,12,0,21,0,9,5,7,0,15,6,21,0,15,6,21,0,15,6,19,2
Mebua Camp,5,17,11,0,30,3,21,12,0,33,0,14,10,9,0,25,8,33,0,31,2,29,4,31,2,28,5
Mebuwa - III,0,11,7,0,15,3,5,13,0,18,0,6,8,4,0,17,1,18,0,18,0,17,1,14,4,18,0
Tata Tara,40,9,0,0,48,1,32,16,1,49,0,45,4,0,0,15,34,49,0,45,4,47,2,49,0,33,16
Kakukao,25,31,11,0,52,15,44,19,4,41,26,37,18,12,0,48,19,67,0,55,12,63,4,67,0,49,18
Patiwa,17,22,20,0,57,2,50,9,0,59,0,31,8,20,0,33,26,59,0,48,11,57,2,59,0,41,18
Tallong 闁 III,0,13,1,0,13,1,1,13,0,14,0,9,5,0,0,11,3,14,0,13,1,13,1,14,0,11,3
Tallong-I(Res),6,1,0,0,5,2,5,2,0,7,0,7,0,0,0,3,4,7,0,7,0,7,0,7,0,7,0
Tallong 闁 II,11,4,0,0,10,5,10,5,0,15,0,15,0,0,0,7,8,15,0,15,0,15,0,15,0,15,0
Nyari Welly Model Village,0,13,9,0,18,4,8,14,0,22,0,7,7,8,0,19,3,22,0,18,4,22,0,14,8,21,1
Viwa,2,5,3,0,8,2,5,5,0,10,0,3,6,1,0,6,4,10,0,5,5,8,2,9,1,8,2
Sengriwa,3,2,7,0,10,2,3,9,0,11,1,4,1,7,0,7,5,12,0,8,4,10,2,11,1,12,0
Mogkhra,1,15,13,0,29,0,12,17,0,6,23,9,8,12,0,24,5,29,0,19,10,29,0,26,3,28,1
12th Mile Camp,2,6,0,0,8,0,3,5,0,8,0,7,1,0,0,5,3,8,0,7,1,7,1,8,0,5,3
Serewa,5,3,0,0,7,1,3,5,0,8,0,6,1,1,0,2,6,8,0,7,1,7,1,8,0,3,5
Laimoya,16,2,0,0,17,1,14,4,0,18,0,17,1,0,0,4,14,18,0,16,2,17,1,18,0,13,5
Nerewa,4,0,0,0,4,0,3,1,0,4,0,4,0,0,0,1,3,4,0,4,0,4,0,4,0,2,2
Richa,3,1,2,0,6,0,4,2,0,6,0,4,0,2,0,3,3,6,0,5,1,6,0,6,0,6,0
Weshy,15,5,4,0,24,0,17,7,0,24,0,19,1,4,0,11,13,24,0,17,7,22,2,24,0,19,5
Lochung Yangsey,4,1,7,0,11,1,3,9,0,12,0,5,0,7,0,4,8,12,0,10,2,4,8,12,0,12,0
Kamsa,5,5,0,0,9,1,6,4,0,10,0,6,4,0,0,6,4,10,0,6,4,10,0,10,0,7,3
Narangawa,17,30,4,0,50,1,24,27,0,51,0,38,11,2,0,27,24,51,0,42,9,41,10,51,0,49,2
Attarang,3,10,3,0,16,0,5,11,0,16,0,9,5,2,0,11,5,16,0,13,3,15,1,16,0,16,0
Pakoti,19,6,0,0,24,1,18,7,0,25,0,23,2,0,0,10,15,25,0,22,3,22,3,25,0,19,6
Hamba 闁 Pinda,35,19,8,0,59,3,34,28,0,62,0,48,6,8,0,48,14,62,0,52,10,34,28,62,0,61,1
Pampoli,26,29,3,0,44,14,33,24,1,58,0,40,13,5,0,41,17,58,0,54,4,55,3,56,2,42,16
Fengche Jayanti,58,23,4,4,74,7,65,20,0,72,13,71,4,10,0,14,71,85,0,79,6,79,6,85,0,65,20
Sebibok,1,6,0,0,7,0,1,6,0,7,0,4,3,0,0,5,2,7,0,7,0,7,0,7,0,6,1
Pollong (Paswa),29,8,0,0,33,4,26,11,0,37,0,34,3,0,0,14,23,37,0,36,1,34,3,37,0,29,8
Donigaon,2,3,2,0,7,0,2,5,0,7,0,4,1,2,0,6,1,7,0,7,0,3,4,7,0,6,1
Tarang Yangse,16,3,1,0,17,3,14,6,0,20,0,19,1,0,0,6,14,20,0,18,2,20,0,20,0,16,4
