village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Papu,0,16,0,0,16,0,0,16,0,16,0,2,14,0,0,2,14,0,,16,0,16,0,16,0,16,0,16,0
Sangsar,0,6,0,0,6,0,0,4,2,4,2,3,3,0,0,6,0,0,,6,0,6,0,6,0,6,0,6,0
Buyang-II,0,7,0,1,6,0,0,6,1,7,0,0,7,0,0,0,7,0,,7,0,7,0,7,0,4,3,7,0
Chote,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,1,2,0,,3,0,3,0,3,0,3,0,3,0
Rakte,0,6,0,0,6,0,0,6,0,6,0,0,6,0,0,4,2,0,,6,0,6,0,6,0,6,0,6,0
Papin,0,18,0,0,18,0,0,18,0,17,1,0,18,0,0,6,12,0,,18,0,18,0,18,0,18,0,18,0
Chello,0,56,1,0,57,0,0,57,0,57,0,0,53,4,0,14,43,0,,57,0,57,0,57,0,57,0,57,0
Tayeng,0,53,0,0,53,0,0,53,0,53,0,0,50,3,0,7,46,0,,53,0,52,1,53,0,52,1,53,0
Nikja,0,123,0,1,122,0,0,121,2,121,2,0,122,1,0,29,94,0,,123,0,123,0,123,0,122,1,122,1
Chomi,0,14,0,1,13,0,0,13,1,14,0,0,14,0,0,1,13,0,,14,0,14,0,14,0,13,1,14,0
Mara,0,8,0,0,8,0,0,8,0,8,0,0,8,0,0,1,7,0,,8,0,8,0,8,0,7,1,8,0
Pinging,0,35,0,0,35,0,0,32,3,35,0,0,35,0,0,8,27,0,,35,0,35,0,35,0,35,0,35,0
Nyolo,0,25,1,0,26,0,0,26,0,26,0,0,26,0,0,3,23,0,,26,0,26,0,26,0,26,0,26,0
Tabuma,0,24,0,0,24,0,0,22,2,24,0,0,23,1,0,2,22,0,,24,0,23,1,24,0,20,4,24,0
Mange,0,9,0,0,9,0,0,9,0,9,0,0,9,0,0,3,6,0,,9,0,9,0,9,0,9,0,9,0
Yumlam,0,2,0,0,2,0,0,2,0,2,0,0,2,0,0,1,1,0,,2,0,2,0,2,0,2,0,2,0
Ampongne,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Yapha,0,23,0,0,23,0,0,23,0,23,0,0,23,0,0,1,22,0,,23,0,23,0,23,0,23,0,23,0
Relung,0,2,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Pani,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Nangram,0,6,0,0,6,0,0,6,0,6,0,0,6,0,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Satum,0,21,1,0,22,0,0,21,1,22,0,0,22,0,0,7,15,0,,22,0,22,0,22,0,22,0,22,0
Sangkun,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Pari,0,2,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Fua,0,5,0,0,5,0,0,5,0,5,0,0,5,0,0,3,2,0,,5,0,5,0,5,0,5,0,5,0
Furek,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Jiri,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Digging,0,9,0,0,9,0,0,9,0,9,0,0,9,0,0,2,7,0,,9,0,9,0,9,0,9,0,9,0
Degging I,0,4,0,0,4,0,0,4,0,4,0,0,4,0,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
