village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mawai - II,0,115,40,75,19,30,7,33,99,122,29,52,73,30,0,110,44,110,45,136,10,128,13,58,96,86,68
Kanjang,0,81,0,26,2,30,5,48,27,53,28,80,1,0,1,41,38,62,19,51,3,34,9,66,15,55,26
Pukhari,0,110,12,106,13,4,7,17,90,87,32,84,20,18,1,80,40,76,47,104,8,93,10,42,80,72,51
New Phukari,0,24,0,12,0,3,5,8,11,13,11,21,3,0,0,17,3,13,11,6,4,7,4,18,6,13,11
Chereng,0,35,0,17,1,4,3,13,19,21,14,34,1,0,3,10,22,26,9,23,2,8,2,34,1,16,15
Gundri,0,42,0,38,0,0,4,14,23,14,28,42,0,0,7,18,17,32,10,31,4,18,6,41,1,11,29
Mawai,0,68,31,80,5,1,5,9,85,66,30,12,60,27,1,49,48,11,88,38,44,49,13,73,26,86,13
Wakro H.Q.,0,2,2,0,3,1,1,1,2,1,3,0,2,2,0,2,2,4,0,3,1,4,0,3,1,0,4
Medo Camp,0,18,1,12,7,0,0,0,19,19,0,1,18,0,0,7,11,17,2,4,15,18,1,19,0,1,18
Tillai Camp,0,20,27,0,27,17,4,8,35,11,36,9,12,26,0,15,32,47,0,36,10,47,0,47,0,20,27
Medo Village,0,16,7,3,12,8,0,8,15,15,8,15,0,8,0,0,23,23,0,14,9,23,0,23,0,9,14
Towam(New),0,18,0,17,1,0,0,1,17,4,14,16,1,1,0,4,14,11,7,15,3,5,13,14,4,7,11
Tillai,0,10,19,2,11,13,5,5,19,3,26,4,5,20,0,9,20,28,1,25,4,28,1,29,0,9,20
Towam(Old),0,1,12,1,12,0,0,0,14,14,0,0,0,13,0,6,7,13,1,14,0,13,1,0,14,0,14
Kamja,0,20,47,0,54,12,4,1,63,36,32,0,20,47,0,41,26,68,0,34,34,68,0,57,11,29,39
Karhe,0,9,4,0,13,0,0,0,13,7,6,7,3,3,0,3,10,12,1,9,4,13,0,13,0,0,13
Wakro,0,51,26,27,49,0,0,1,76,71,6,5,59,13,0,49,27,66,11,55,22,75,1,38,39,54,23
Hooking,0,10,17,0,6,21,0,16,11,0,27,0,10,17,0,7,20,27,0,20,7,27,0,27,0,27,0
Cibi,0,57,1,58,0,0,0,0,58,58,0,36,22,0,0,0,58,58,0,48,10,58,0,17,41,58,0
Thowang,0,24,8,14,10,8,0,7,25,21,11,10,14,8,0,16,16,26,6,20,12,32,0,27,5,25,7
Chikrolang,0,5,0,0,5,0,0,0,5,5,0,1,4,0,0,1,4,5,0,1,4,5,0,5,0,0,5
New Tumba,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
Kamlang Nagar,0,15,26,23,18,0,2,34,5,39,2,3,2,36,0,2,37,32,9,39,2,39,2,41,0,6,35
Mining Nagar,0,1,2,1,1,1,0,1,2,2,1,1,1,1,0,1,2,3,0,2,1,3,0,2,1,2,1
Tarungalt,0,54,54,1,60,39,18,24,66,32,76,28,27,53,0,44,64,106,2,98,2,108,0,103,5,33,75
Lamliang,0,23,34,0,57,0,0,0,57,56,1,4,19,34,0,21,36,57,0,26,31,57,0,57,0,37,20
Parsuram Kund,0,2,0,1,1,0,0,0,2,1,1,1,1,0,0,0,2,2,0,0,2,2,0,2,0,1,1
Manthi,0,32,0,0,32,0,0,0,32,32,0,19,13,0,0,1,28,31,1,14,18,32,0,32,0,1,31
Kathan,0,7,9,0,16,0,0,0,16,16,0,0,7,9,0,16,0,16,0,1,15,16,0,16,0,16,0
Maruba,0,23,2,17,6,2,0,10,15,9,16,14,9,2,0,17,8,16,9,19,6,18,7,17,8,14,11
Manyuliang,0,45,14,0,49,10,0,10,49,28,31,10,35,14,0,25,34,58,1,24,35,59,0,59,0,45,14
Samblu,0,3,0,3,0,0,0,2,1,0,3,3,0,0,0,3,0,3,0,3,0,0,3,3,0,0,3
Tissue,0,0,81,0,9,62,15,0,66,0,62,0,0,81,0,27,54,81,0,81,0,71,10,81,0,53,28
Ngatai,0,18,0,17,1,0,3,10,5,3,15,18,0,0,0,7,11,14,4,12,6,5,13,18,0,1,17
Hallao,0,6,1,0,7,0,0,0,7,2,5,6,0,1,0,1,6,7,0,1,6,7,0,7,0,6,1
Kathan(New),0,16,16,0,32,0,0,0,32,29,3,0,16,16,0,24,8,32,0,5,27,32,0,29,3,24,8
Dabruliang,0,7,28,0,24,11,1,0,34,8,27,8,0,27,0,0,35,35,0,20,15,35,0,35,0,35,0
Tepliang,0,5,0,3,2,0,0,0,5,0,4,5,0,0,0,4,1,0,5,5,0,0,5,3,2,0,5
