village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kebi,0,1,1,2,0,0,0,0,2,2,0,1,0,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Emchi,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Tamlit,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,1,1,0,,2,0,2,0,2,0,2,0,2,0
Phu-Joram,0,7,0,7,0,0,0,2,5,6,1,0,0,7,0,3,4,0,,7,0,7,0,7,0,4,3,7,0
New Yazali,30,1,0,30,0,1,0,31,0,30,1,30,1,0,0,0,31,0,,31,0,31,0,31,0,31,0,31,0
Yazali,54,3,1,57,0,1,0,55,3,57,1,56,1,1,0,0,56,0,,58,0,58,0,58,0,58,0,58,0
Taki Ko Happa,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Jath,0,93,3,96,0,0,0,94,2,2,94,1,16,79,0,7,87,0,,96,0,96,0,96,0,36,60,96,0
Passa,0,36,0,36,0,0,0,36,0,0,36,0,7,29,0,2,34,0,,36,0,36,0,36,0,14,22,36,0
Taiging,0,2,0,2,0,0,1,0,1,1,1,1,0,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Potin,0,3,0,3,0,0,1,1,1,1,2,1,1,1,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Peni,8,10,0,17,1,0,1,16,1,17,1,9,2,7,0,0,18,0,,18,0,18,0,18,0,18,0,18,0
Toon,0,55,0,55,0,0,0,55,0,0,55,0,4,51,0,3,51,0,,55,0,55,0,55,0,51,4,55,0
Mai,0,100,1,101,0,0,17,84,0,0,101,84,3,13,0,0,100,4,,101,0,101,0,101,0,96,5,101,0
Doka Paya,0,16,0,16,0,0,0,15,1,1,15,0,3,13,0,0,16,0,,16,0,16,0,16,0,2,14,16,0
Yachuli H.Q.,0,21,0,21,0,0,0,21,0,0,21,0,5,16,0,0,21,0,,21,0,21,0,21,0,13,8,21,0
Chulyu,25,4,0,29,0,0,0,27,2,28,1,27,1,1,0,0,29,0,,29,0,29,0,29,0,27,2,29,0
Khoru Yorda,0,9,0,9,0,0,0,9,0,0,9,1,5,3,0,3,6,0,,9,0,9,0,9,0,8,1,9,0
Nima Happa,0,28,0,28,0,0,0,28,0,1,27,0,3,25,0,1,26,0,,28,0,28,0,28,0,17,11,28,0
Lumri,0,19,0,19,0,0,0,17,2,2,17,0,3,16,0,4,15,0,,19,0,19,0,19,0,10,9,19,0
Yaizat,13,4,0,16,1,0,0,16,1,17,0,15,2,0,0,2,15,0,,17,0,17,0,17,0,15,2,17,0
Toll,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Sekh-Jara,0,141,0,137,0,4,0,131,10,141,0,106,32,1,0,38,98,0,,141,0,141,0,141,0,139,2,141,0
Bilo,2,72,0,72,2,0,0,14,60,74,0,17,38,16,0,8,62,0,,74,0,74,0,74,0,65,9,74,0
New Pitapool,0,16,1,16,1,0,0,0,17,17,0,6,7,4,0,0,17,0,,17,0,17,0,17,0,14,3,17,0
Pitapool,1,51,2,53,1,0,0,16,38,54,0,16,16,22,0,8,44,0,,54,0,54,0,54,0,43,11,54,0
Did,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Lokhu,6,0,0,6,0,0,0,6,0,6,0,6,0,0,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Venyi Happa,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Polu Happa,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Talo,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Loth,0,29,0,29,0,0,0,28,1,29,0,28,1,0,0,0,29,0,,29,0,29,0,29,0,29,0,29,0
