village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kaying Village,45,21,0,34,32,0,6,59,1,62,4,55,6,5,0,42,24,56,10,58,7,58,8,25,28,37,29
Rigong,12,1,0,3,9,1,4,7,2,9,4,13,0,0,0,10,3,7,6,12,1,12,1,1,0,6,7
Pagak,19,1,0,5,15,0,7,12,1,20,0,19,0,0,0,14,4,13,6,12,6,17,2,0,8,14,6
Kaying H.Q.,164,60,2,108,114,4,15,190,21,223,3,187,25,14,0,172,52,186,38,199,25,210,16,82,126,157,67
Paksing,36,6,1,15,26,2,2,35,6,43,0,39,4,0,0,43,0,37,6,32,11,39,4,14,28,33,10
Bogne,103,27,1,60,70,1,10,104,17,132,0,118,4,9,0,115,15,94,38,123,9,118,10,78,49,84,48
New Kerang,27,11,0,22,16,0,1,37,0,38,0,29,5,4,0,35,3,34,4,34,4,35,3,17,21,23,15
Kerang I,85,25,0,60,50,0,8,94,8,107,3,96,7,7,0,86,23,93,17,105,4,95,12,53,52,63,47
New Bogne,1,1,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,1,1,1,1
Tuying Village,8,3,0,6,5,0,0,11,0,11,0,9,2,0,0,9,2,9,2,10,1,11,0,4,7,5,6
Tumbin,9,4,0,7,6,0,0,13,0,13,0,11,2,0,0,3,10,10,3,12,1,13,0,6,7,11,2
Sirum,13,1,0,4,7,3,0,14,0,14,0,13,1,0,0,7,7,13,1,14,0,13,1,6,8,11,3
