village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kugging,0,23,9,0,11,21,11,20,1,9,23,16,10,6,0,23,9,32,0,25,7,32,0,11,21,31,1
Gelling H.Q.,0,18,6,0,18,6,0,16,8,13,11,11,7,6,0,6,18,24,0,16,8,24,0,18,6,20,4
Mankota,0,0,14,0,11,3,0,8,6,0,14,2,4,8,0,9,5,14,0,8,6,14,0,6,8,14,0
Tashigong,0,3,7,0,10,0,0,6,4,3,7,6,1,3,0,4,6,10,0,6,4,10,0,4,6,9,1
Kopu,0,21,3,0,16,8,0,15,9,17,7,9,10,5,0,0,24,24,0,19,5,24,0,23,1,19,5
Payindem,0,19,5,0,20,4,0,20,4,17,7,13,6,5,0,0,24,24,0,17,7,24,0,22,2,18,6
Nyukong,0,15,2,0,16,1,0,14,3,12,5,8,3,6,0,0,17,17,0,13,4,17,0,16,1,13,4
Bishing,0,13,9,0,19,3,0,14,8,16,6,12,8,2,0,0,22,22,0,17,5,22,0,20,2,17,5
Bona,0,5,4,0,9,0,0,7,2,6,3,7,2,0,0,0,9,9,0,7,2,9,0,8,1,6,3
Mayum,0,13,9,0,18,4,0,14,8,14,8,17,2,3,0,0,22,22,0,17,5,22,0,20,2,15,7
Norbudling,0,18,11,0,29,0,0,21,8,20,9,24,4,1,0,0,29,29,0,23,6,29,0,26,3,22,7
Nyering,0,12,6,0,16,2,0,15,3,12,6,13,4,1,0,0,18,18,0,14,4,18,0,16,2,14,4
Angachi,0,3,1,0,4,0,0,4,0,2,2,2,2,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Yortung,0,7,5,0,9,3,0,9,3,10,2,7,5,0,0,0,12,12,0,9,3,12,0,11,1,9,3
