village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chetia,0,22,0,0,22,0,0,22,0,22,0,0,22,0,0,2,20,22,0,22,0,22,0,22,0,22,0
Siga,0,24,0,0,24,0,0,24,0,24,0,0,24,0,0,7,17,24,0,23,1,24,0,24,0,24,0
Sera/Tapapu,0,17,0,0,17,0,0,17,0,17,0,0,17,0,0,3,14,17,0,17,0,17,0,17,0,17,0
Dasi,0,39,0,0,38,1,0,39,0,39,0,0,38,1,0,7,32,39,0,39,0,39,0,39,0,39,0
Lechin,0,21,0,0,21,0,0,21,0,19,2,0,21,0,0,1,20,21,0,21,0,21,0,20,1,21,0
Namchi,0,19,0,0,19,0,0,19,0,19,0,0,19,0,0,2,17,19,0,19,0,19,0,19,0,19,0
Sari,0,30,0,0,30,0,0,28,2,30,0,0,30,0,0,7,23,30,0,30,0,30,0,30,0,30,0
Soki,0,9,0,0,9,0,0,9,0,9,0,0,9,0,0,1,8,9,0,9,0,9,0,9,0,9,0
Kari,0,9,0,0,9,0,0,9,0,9,0,0,9,0,0,3,6,9,0,9,0,9,0,9,0,9,0
Marbom,0,19,0,0,19,0,0,19,0,19,0,0,19,0,0,3,16,19,0,19,0,19,0,19,0,19,0
Semma,0,17,0,0,17,0,0,17,0,17,0,0,17,0,0,2,15,17,0,17,0,17,0,17,0,17,0
Maji- Rijo,0,33,0,0,33,0,0,33,0,33,0,0,33,0,0,10,23,33,0,33,0,33,0,33,0,33,0
Chetam,0,31,0,0,31,0,0,31,0,31,0,0,31,0,0,2,29,31,0,31,0,31,0,30,1,31,0
Machi- Rijo,0,14,0,0,14,0,0,14,0,14,0,0,12,2,0,4,10,14,0,14,0,14,0,14,0,14,0
Kikik,0,11,0,0,11,0,0,11,0,11,0,0,11,0,0,5,6,11,0,11,0,11,0,11,0,11,0
Molo,0,10,0,0,10,0,0,10,0,10,0,0,10,0,0,1,9,10,0,10,0,10,0,10,0,10,0
Mengnia,0,7,0,0,7,0,0,7,0,7,0,0,7,0,0,2,5,7,0,7,0,7,0,7,0,7,0
Sera,0,20,0,0,20,0,0,20,0,20,0,0,19,1,0,0,20,20,0,20,0,20,0,20,0,20,0
Bayor,0,32,0,0,32,0,0,32,0,32,0,0,32,0,0,2,30,32,0,32,0,32,0,32,0,32,0
Belu,0,22,1,0,22,1,0,23,0,23,0,0,23,0,0,6,17,23,0,23,0,23,0,22,1,23,0
Raji Moya,0,23,0,0,23,0,0,23,0,23,0,0,22,1,0,2,21,23,0,23,0,23,0,23,0,23,0
Batam,0,16,0,0,16,0,0,15,1,16,0,0,16,0,0,1,15,16,0,16,0,16,0,16,0,16,0
Chorta rijo,0,11,0,0,11,0,0,11,0,11,0,0,11,0,0,1,10,11,0,11,0,11,0,11,0,11,0
Moya,0,23,0,0,23,0,0,22,1,23,0,0,23,0,0,4,19,23,0,23,0,23,0,23,0,23,0
Dabu,0,4,0,0,4,0,0,4,0,4,0,0,4,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Rikung,0,17,0,0,17,0,0,17,0,17,0,0,17,0,0,4,13,17,0,17,0,17,0,17,0,17,0
Nilling,0,46,0,0,46,0,0,43,3,46,0,0,46,0,0,4,43,46,0,46,0,46,0,46,0,46,0
Dadi,0,8,0,0,8,0,0,8,0,8,0,0,8,0,0,3,5,8,0,8,0,8,0,8,0,8,0
Dai,0,18,2,0,20,0,0,20,0,20,0,0,19,1,0,3,17,20,0,20,0,20,0,20,0,20,0
Cheging,0,5,0,0,5,0,0,5,0,5,0,0,5,0,0,0,5,5,0,5,0,5,0,5,0,5,0
Lengking,0,8,0,0,8,0,0,8,0,8,0,0,8,0,0,0,8,8,0,8,0,8,0,8,0,8,0
Bogning,0,8,0,0,8,0,0,8,0,8,0,0,8,0,0,0,8,8,0,8,0,8,0,8,0,8,0
Lokar Rijo,0,3,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Jumbu Rage,0,16,0,0,16,0,0,15,1,16,0,0,16,0,0,2,14,16,0,16,0,16,0,16,0,16,0
Hamriga,0,6,0,0,6,0,0,6,0,6,0,0,6,0,0,0,6,6,0,6,0,6,0,6,0,6,0
Rapi,0,3,0,0,3,0,0,3,0,3,0,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0
Hanju,0,14,0,0,14,0,0,14,0,14,0,0,14,0,0,1,13,14,0,14,0,14,0,14,0,14,0
Dayam,0,11,0,0,11,0,0,11,0,11,0,0,11,0,0,0,11,11,0,11,0,11,0,11,0,11,0
Silu,0,12,0,0,12,0,0,12,0,12,0,0,12,0,0,1,11,12,0,12,0,12,0,12,0,12,0
Sebing,0,11,0,0,11,0,0,11,0,11,0,0,9,2,0,5,6,11,0,11,0,11,0,11,0,11,0
