village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pharizin,0,33,17,14,30,6,12,22,16,50,0,2,30,18,0,47,3,50,,3,47,49,1,45,5,18,32,46,4
Kararamu,2,26,35,22,39,2,2,24,37,55,8,4,24,35,0,59,4,11,,13,50,61,2,62,1,26,37,62,1
Subu,0,20,11,21,10,0,1,23,7,25,6,4,18,9,0,26,5,0,,0,31,23,8,31,0,12,19,31,0
Lower Bhalukpong,4,34,7,28,16,1,2,36,7,45,0,6,16,23,0,41,4,0,,0,45,19,26,44,1,12,33,44,1
Palizi,0,49,4,36,17,0,0,52,1,53,0,11,26,16,0,34,19,0,,0,53,35,18,53,0,0,53,53,0
Giziri,5,16,2,12,11,0,0,8,15,5,18,10,8,5,0,20,3,8,,8,15,22,1,23,0,1,22,23,0
Sakrin,1,36,17,0,54,0,1,35,18,26,28,21,16,17,0,54,0,1,,0,54,13,41,54,0,0,54,54,0
Elephant Flat,0,24,0,0,24,0,0,14,10,24,0,1,12,11,0,24,0,0,,0,24,7,17,19,5,0,24,15,9
Sessa,3,52,0,1,54,0,0,1,54,55,0,0,10,45,0,55,0,0,,0,55,29,24,37,18,0,55,55,0
Palatari,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,,0,1,1,0,1,0,0,1,1,0
Upper Bhalukpong HQ,4,46,20,27,43,0,1,39,30,70,0,10,18,42,0,64,6,0,,0,70,31,39,64,6,3,67,70,0
Doimara,0,36,12,1,46,1,0,35,13,2,46,11,24,13,0,41,7,0,,0,48,46,2,48,0,2,46,48,0
Kamengbari,0,32,10,0,40,2,0,28,14,1,41,8,22,12,0,37,5,0,,0,42,40,2,42,0,0,42,42,0
